Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Brantford Red Sox,Toronto Maple Leafs,"August 16, 2025",Toronto Maple Leafs,Brantford Red Sox,,Brody Black,Ayami Sato,R,R,,Ball,,,000,,,
Top 1,1,0,1,0,'1-0,Brantford Red Sox,Toronto Maple Leafs,"August 16, 2025",,,,Brody Black,Ayami Sato,R,R,,Called Strike,,,000,,,
Top 1,1,0,1,1,'1-1,Brantford Red Sox,Toronto Maple Leafs,"August 16, 2025",,,,Brody Black,Ayami Sato,R,R,,Double,Fly Ball,Opposite Field,000,,,
Top 1,1,0,0,0,'0-0,Brantford Red Sox,Toronto Maple Leafs,"August 16, 2025",,,,Rene Tachioka,Ayami Sato,L,R,,Swinging Strike,,,010,,,
Top 1,1,0,0,1,'0-1,Brantford Red Sox,Toronto Maple Leafs,"August 16, 2025",,,,Rene Tachioka,Ayami Sato,L,R,,Ball,,,001,,,
Top 1,1,0,1,1,'1-1,Brantford Red Sox,Toronto Maple Leafs,"August 16, 2025",,,,Rene Tachioka,Ayami Sato,L,R,,Foul,,,001,,,
Top 1,1,0,1,2,'1-2,Brantford Red Sox,Toronto Maple Leafs,"August 16, 2025",,,,Rene Tachioka,Ayami Sato,L,R,,Ball,,,001,,,
Top 1,1,0,2,2,'2-2,Brantford Red Sox,Toronto Maple Leafs,"August 16, 2025",,,,Rene Tachioka,Ayami Sato,L,R,,Ball,,,001,,,
Top 1,1,0,3,2,'3-2,Brantford Red Sox,Toronto Maple Leafs,"August 16, 2025",,,,Rene Tachioka,Ayami Sato,L,R,,Sacrifice Fly,Fly Ball,Pull,001,,,
Top 1,1,1,0,0,'0-0,Brantford Red Sox,Toronto Maple Leafs,"August 16, 2025",,,,Christian Ortega,Ayami Sato,R,R,,Ball,,,000,,,
