Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,London Majors,Toronto Maple Leafs,"August 2, 2025",Toronto Maple Leafs,London Majors,,Francisco Fajardo,Josh Berenbaum,L,R,Fastball,Single,Ground Ball,Opposite Field,000,-0.35906,0.629246643,
Top 1,1,0,0,0,'0-0,London Majors,Toronto Maple Leafs,"August 2, 2025",,,,Kyle Maves,Josh Berenbaum,L,R,Fastball,Single,Ground Ball,Opposite Field,100,-0.270191429,0.893026148,
Top 1,1,0,0,0,'0-0,London Majors,Toronto Maple Leafs,"August 2, 2025",,,,Eduardo De Oleo,Josh Berenbaum,R,R,Fastball,Foul,,,110,0.351888571,0.48856424,
Top 1,1,0,0,1,'0-1,London Majors,Toronto Maple Leafs,"August 2, 2025",,,,Eduardo De Oleo,Josh Berenbaum,R,R,Fastball,Ball,,,110,1.418311429,0.796306996,
Top 1,1,0,1,1,'1-1,London Majors,Toronto Maple Leafs,"August 2, 2025",,,,Eduardo De Oleo,Josh Berenbaum,R,R,Offspeed,Swinging Strike,,,110,-0.559014286,0.321503887,
Top 1,1,0,1,2,'1-2,London Majors,Toronto Maple Leafs,"August 2, 2025",,,,Eduardo De Oleo,Josh Berenbaum,R,R,Fastball,Strikeout Swinging,,,110,-0.381277143,0.831477597,
Top 1,1,1,0,0,'0-0,London Majors,Toronto Maple Leafs,"August 2, 2025",,,,Tucker Zdunich,Josh Berenbaum,L,R,Fastball,Foul,,,110,0.662928571,0.690795194,
Top 1,1,1,0,1,'0-1,London Majors,Toronto Maple Leafs,"August 2, 2025",,,,Tucker Zdunich,Josh Berenbaum,L,R,Fastball,Double Play,Ground Ball,Straightaway,110,0.774014286,0.743551095,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,London Majors,"August 2, 2025",,,,Luca Boscarino,Colby Ring,R,L,Fastball,Flyout,Fly Ball,Straightaway,000,0.240802857,0.620453993,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,London Majors,"August 2, 2025",,,,Jhon Javier,Colby Ring,R,L,Fastball,Ball,,,000,0.662928571,-0.399493428,
Bottom 1,1,1,1,0,'1-0,Toronto Maple Leafs,London Majors,"August 2, 2025",,,,Jhon Javier,Colby Ring,R,L,Fastball,Foul,,,000,-0.092454286,0.602868693,
Bottom 1,1,1,1,1,'1-1,Toronto Maple Leafs,London Majors,"August 2, 2025",,,,Jhon Javier,Colby Ring,R,L,Fastball,Single,Ground Ball,Straightaway,000,-0.225757143,0.523734841,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,London Majors,"August 2, 2025",,,,Jordan Castaldo,Colby Ring,L,L,Fastball,Swinging Strike,,,100,0.529625714,0.277540636,
Bottom 1,1,1,0,1,'0-1,Toronto Maple Leafs,London Majors,"August 2, 2025",,,1.15,Jordan Castaldo,Colby Ring,L,L,Fastball,Foul,,,100,0.374105714,0.936989399,
Bottom 1,1,1,0,2,'0-2,Toronto Maple Leafs,London Majors,"August 2, 2025",,,1.11,Jordan Castaldo,Colby Ring,L,L,Fastball,Ball,,,100,1.640482857,0.97216,
