Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",Toronto Maple Leafs,Hamilton Cardinals,,Yolki Pena,Adam Jafine,L,L,,Ball,,,000,,,
Top 1,1,0,1,0,'1-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Yolki Pena,Adam Jafine,L,L,,Single,Ground Ball,Pull,000,,,
Top 1,1,0,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Brandon Nicoll,Adam Jafine,R,L,,Ball,,,100,,,
Top 1,1,0,1,0,'1-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,1.65,Brandon Nicoll,Adam Jafine,R,L,,Called Strike,,,100,,,
Top 1,1,0,1,1,'1-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,1.17,Brandon Nicoll,Adam Jafine,R,L,,Swinging Strike,,,100,,,
Top 1,1,0,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,1.63,Brandon Nicoll,Adam Jafine,R,L,Offspeed,Strikeout Swinging,,,100,-0.647882857,0.594076042,
Top 1,1,1,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Tyler Duncan,Adam Jafine,L,L,Fastball,Called Strike,,,100,-0.181322857,0.532527491,
Top 1,1,1,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Tyler Duncan,Adam Jafine,L,L,Offspeed,Ball,,,100,-1.358831429,0.9545747,
Top 1,1,1,1,1,'1-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,1.17,Tyler Duncan,Adam Jafine,L,L,Offspeed,Foul,,,100,1.218357143,0.45339364,
Top 1,1,1,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Tyler Duncan,Adam Jafine,L,L,Fastball,Ball,,,100,1.396094286,0.97216,
Top 1,1,1,2,2,'2-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Tyler Duncan,Adam Jafine,L,L,Fastball,Strikeout Looking,,,100,0.685145714,0.796306996,
Top 1,1,2,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Jaden Brown,Adam Jafine,R,L,Fastball,Ball,,,100,0.57406,-0.311566926,
Top 1,1,2,1,0,'1-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Jaden Brown,Adam Jafine,R,L,,Called Strike,,,100,,,
Top 1,1,2,1,1,'1-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Jaden Brown,Adam Jafine,R,L,,Ball,,,100,,,
Top 1,1,2,2,1,'2-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Jaden Brown,Adam Jafine,R,L,,Error,Ground Ball,Straightaway,100,,,
Top 1,1,2,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Josh Williams,Adam Jafine,L,L,Fastball,Called Strike,,,110,-0.51458,0.611661343,
Top 1,1,2,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Josh Williams,Adam Jafine,L,L,,Foul,,,110,,,
Top 1,1,2,0,2,'0-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Josh Williams,Adam Jafine,L,L,Fastball,Ball,,,110,-0.470145714,1.130427703,
Top 1,1,2,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Josh Williams,Adam Jafine,L,L,Offspeed,Foul,,,001,0.751797143,0.523734841,
Top 1,1,2,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Josh Williams,Adam Jafine,L,L,Fastball,Ball,,,001,-0.247974286,1.235939505,
Top 1,1,2,2,2,'2-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Josh Williams,Adam Jafine,L,L,Offspeed,Ball,,,001,-1.314397143,0.831477597,
Top 1,1,2,3,2,'3-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Josh Williams,Adam Jafine,L,L,Offspeed,Walk,,,001,1.573831429,-0.293981625,
Top 1,1,2,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Jommer Hernandez,Adam Jafine,R,L,Fastball,Ball,,,101,1.618265714,0.198406784,
Top 1,1,2,1,0,'1-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Jommer Hernandez,Adam Jafine,R,L,Offspeed,Ball,,,101,0.240802857,-0.285188975,
Top 1,1,2,2,0,'2-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Jommer Hernandez,Adam Jafine,R,L,Fastball,Called Strike,,,101,0.751797143,0.409430389,
Top 1,1,2,2,1,'2-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Jommer Hernandez,Adam Jafine,R,L,,Ball,,,101,,,
Top 1,1,2,3,1,'3-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Jommer Hernandez,Adam Jafine,R,L,,Single,Ground Ball,Pull,101,,,
Top 1,1,2,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Tanner Rempel,Adam Jafine,R,L,,Called Strike,,,110,,,
Top 1,1,2,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Tanner Rempel,Adam Jafine,R,L,Fastball,Ball,,,110,-0.714534286,1.068879152,
Top 1,1,2,1,1,'1-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Tanner Rempel,Adam Jafine,R,L,,Swinging Strike,,,110,,,
Top 1,1,2,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Tanner Rempel,Adam Jafine,R,L,Fastball,Groundout,Ground Ball,Pull,110,0.507408571,0.383052438,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Ryan Dos Santos,Corben Peters,L,R,Fastball,Ball,,,000,-0.114671429,0.154443534,
Bottom 1,1,0,1,0,'1-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Ryan Dos Santos,Corben Peters,L,R,Fastball,Foul,,,000,0.218585714,0.646831943,
Bottom 1,1,0,1,1,'1-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Ryan Dos Santos,Corben Peters,L,R,Fastball,Ball,,,000,0.596277143,1.095257102,
Bottom 1,1,0,2,1,'2-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Ryan Dos Santos,Corben Peters,L,R,Fastball,Ball,,,000,0.040848571,1.112842403,
Bottom 1,1,0,3,1,'3-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Ryan Dos Santos,Corben Peters,L,R,Fastball,Foul,,,000,0.174151429,0.567698092,
Bottom 1,1,0,3,2,'3-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Ryan Dos Santos,Corben Peters,L,R,Fastball,Walk,,,000,-1.225528571,0.45339364,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,1.05,Jhon Javier,Corben Peters,R,R,Fastball,Foul,,,100,0.596277143,0.45339364,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Jhon Javier,Corben Peters,R,R,Offspeed,Foul,,,100,-0.581231429,-0.162091873,
Bottom 1,1,0,0,2,'0-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,1.01,Jhon Javier,Corben Peters,R,R,Offspeed,Lineout,Line Drive,Straightaway,100,-0.225757143,0.558905442,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Marcus Knecht,Corben Peters,R,R,Fastball,Called Strike,,,100,-0.736751429,0.312711237,
Bottom 1,1,1,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Marcus Knecht,Corben Peters,R,R,,Swinging Strike,,,100,,,
Bottom 1,1,1,0,2,'0-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,1.02,Marcus Knecht,Corben Peters,R,R,Fastball,Ball,,,100,-0.35906,1.183183604,
Bottom 1,1,1,1,2,'1-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,1.05,Marcus Knecht,Corben Peters,R,R,Fastball,Ball,,,010,-1.203311429,0.813892297,
Bottom 1,1,1,2,2,'2-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Marcus Knecht,Corben Peters,R,R,,Ball,,,010,,,
Bottom 1,1,1,3,2,'3-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Marcus Knecht,Corben Peters,R,R,,Foul,,,010,,,
Bottom 1,1,1,3,2,'3-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Marcus Knecht,Corben Peters,R,R,,Walk,,,010,,,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Dennis Dei Baning,Corben Peters,R,R,Fastball,Swinging Strike,,,110,0.596277143,0.611661343,
Bottom 1,1,1,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Dennis Dei Baning,Corben Peters,R,R,,Swinging Strike,,,110,,,
Bottom 1,1,1,0,2,'0-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Dennis Dei Baning,Corben Peters,R,R,,Ball,,,110,,,
Bottom 1,1,1,1,2,'1-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Dennis Dei Baning,Corben Peters,R,R,,Ball,,,011,,,
Bottom 1,1,1,2,2,'2-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Dennis Dei Baning,Corben Peters,R,R,,Strikeout Swinging,,,011,,,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Justin Marra,Corben Peters,L,R,,Swinging Strike,,,011,,,
Bottom 1,1,2,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Justin Marra,Corben Peters,L,R,,Ball,,,011,,,
Bottom 1,1,2,1,1,'1-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Justin Marra,Corben Peters,L,R,,Ball,,,011,,,
Bottom 1,1,2,2,1,'2-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Justin Marra,Corben Peters,L,R,,Ball,,,011,,,
Bottom 1,1,2,3,1,'3-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Justin Marra,Corben Peters,L,R,,Foul,,,011,,,
Bottom 1,1,2,3,2,'3-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Justin Marra,Corben Peters,L,R,,Walk,,,011,,,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Spenser Ross,Corben Peters,R,R,Offspeed,Called Strike,,,111,0.57406,0.45339364,
Bottom 1,1,2,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Spenser Ross,Corben Peters,R,R,Fastball,Called Strike,,,111,-0.803402857,0.699587845,
Bottom 1,1,2,0,2,'0-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Spenser Ross,Corben Peters,R,R,Fastball,Ball,,,111,-1.425482857,-0.232433074,
Bottom 1,1,2,1,2,'1-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Spenser Ross,Corben Peters,R,R,,Single,Ground Ball,Pull,111,,,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Dan Marra,Corben Peters,R,R,,Called Strike,,,111,,,
Bottom 1,1,2,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Dan Marra,Corben Peters,R,R,,Groundout,Ground Ball,Pull,111,,,
Top 2,2,0,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Nicolas Velocci,Adam Jafine,R,L,Fastball,Ball,,,000,0.662928571,-0.153299223,
Top 2,2,0,1,0,'1-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Nicolas Velocci,Adam Jafine,R,L,,Called Strike,,,000,,,
Top 2,2,0,1,1,'1-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Nicolas Velocci,Adam Jafine,R,L,,Swinging Strike,,,000,,,
Top 2,2,0,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Nicolas Velocci,Adam Jafine,R,L,,Strikeout Swinging,,,000,,,
Top 2,2,1,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Andrew Lawrence,Adam Jafine,R,L,Fastball,Ball,,,000,-1.492134286,0.400637739,
Top 2,2,1,1,0,'1-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Andrew Lawrence,Adam Jafine,R,L,Offspeed,Foul,,,000,-0.381277143,0.330296537,
Top 2,2,1,1,1,'1-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Andrew Lawrence,Adam Jafine,R,L,Fastball,Foul,,,000,-0.51458,0.541320141,
Top 2,2,1,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Andrew Lawrence,Adam Jafine,R,L,,Ball,,,000,,,
Top 2,2,1,2,2,'2-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Andrew Lawrence,Adam Jafine,R,L,,Ball,,,000,,,
Top 2,2,1,3,2,'3-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Andrew Lawrence,Adam Jafine,R,L,,Walk,,,000,,,
Top 2,2,1,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Yolki Pena,Adam Jafine,L,L,Offspeed,Ball,,,100,1.085054286,-0.337944876,
Top 2,2,1,1,0,'1-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Yolki Pena,Adam Jafine,L,L,,Ball,,,100,,,
Top 2,2,1,2,0,'2-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Yolki Pena,Adam Jafine,L,L,,Ball,,,100,,,
Top 2,2,1,3,0,'3-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Yolki Pena,Adam Jafine,L,L,,Called Strike,,,100,,,
Top 2,2,1,3,1,'3-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Yolki Pena,Adam Jafine,L,L,,Walk,,,010,,,
Top 2,2,1,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Brandon Nicoll,Adam Jafine,R,L,,Single,Line Drive,Straightaway,110,,,
Top 2,2,1,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Tyler Duncan,Adam Jafine,L,L,Fastball,Foul,,,111,-0.225757143,0.831477597,
Top 2,2,1,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Tyler Duncan,Adam Jafine,L,L,Fastball,Swinging Strike,,,111,0.1075,0.664417244,
Top 2,2,1,0,2,'0-2,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Tyler Duncan,Adam Jafine,L,L,Fastball,Strikeout Swinging,,,111,-0.781185714,0.769929046,
Top 2,2,2,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"August 9, 2025",,,,Jaden Brown,Adam Jafine,R,L,,Groundout,Ground Ball,Pull,111,,,
Bottom 2,2,0,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Mike Cecchetto,Corben Peters,R,R,Fastball,Foul,,,000,0.1075,0.391845088,
Bottom 2,2,0,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Mike Cecchetto,Corben Peters,R,R,,Called Strike,,,000,,,
Bottom 2,2,0,0,2,'0-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Mike Cecchetto,Corben Peters,R,R,,Foul,,,000,,,
Bottom 2,2,0,0,2,'0-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Mike Cecchetto,Corben Peters,R,R,,Ball,,,000,,,
Bottom 2,2,0,1,2,'1-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Mike Cecchetto,Corben Peters,R,R,,Ball,,,000,,,
Bottom 2,2,0,2,2,'2-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Mike Cecchetto,Corben Peters,R,R,,Ball,,,000,,,
Bottom 2,2,0,3,2,'3-2,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Mike Cecchetto,Corben Peters,R,R,,Flyout,Fly Ball,Straightaway,000,,,
Bottom 2,2,1,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Luca Boscarino,Corben Peters,R,R,Fastball,Ball,,,000,1.396094286,0.189614134,
Bottom 2,2,1,1,0,'1-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Luca Boscarino,Corben Peters,R,R,Fastball,Groundout,Ground Ball,Straightaway,000,-0.447928571,0.857855548,
Bottom 2,2,2,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Ryan Dos Santos,Corben Peters,L,R,Offspeed,Called Strike,,,000,0.551842857,0.47977159,
Bottom 2,2,2,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Ryan Dos Santos,Corben Peters,L,R,Offspeed,Ball,,,000,1.173922857,0.725965795,
Bottom 2,2,2,1,1,'1-1,Toronto Maple Leafs,Hamilton Cardinals,"August 9, 2025",,,,Ryan Dos Santos,Corben Peters,L,R,,Ball,,,000,,,
