Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Welland Jackfish,Toronto Maple Leafs,"July 11, 2025",Toronto Maple Leafs,Welland Jackfish,,Jonah Weisner,Josh Berenbaum,L,R,Fastball,Called Strike,,,000,0.531343656,0.375015444,
Top 1,1,0,0,1,'0-1,Welland Jackfish,Toronto Maple Leafs,"July 11, 2025",,,,Jonah Weisner,Josh Berenbaum,L,R,Fastball,Foul,,,000,0.322583666,1.100224863,
Top 1,1,0,0,2,'0-2,Welland Jackfish,Toronto Maple Leafs,"July 11, 2025",,,,Jonah Weisner,Josh Berenbaum,L,R,Fastball,Ball,,,000,1.598339161,0.870728212,
Top 1,1,0,1,2,'1-2,Welland Jackfish,Toronto Maple Leafs,"July 11, 2025",,,,Jonah Weisner,Josh Berenbaum,L,R,Offspeed,Ball,,,000,1.551948052,1.127764462,
Top 1,1,0,2,2,'2-2,Welland Jackfish,Toronto Maple Leafs,"July 11, 2025",,,,Jonah Weisner,Josh Berenbaum,L,R,Offspeed,Ball,,,000,1.598339161,0.742210087,
Top 1,1,0,3,2,'3-2,Welland Jackfish,Toronto Maple Leafs,"July 11, 2025",,,,Jonah Weisner,Josh Berenbaum,L,R,Fastball,Foul,,,000,-0.23410964,0.815649015,
Top 1,1,0,3,2,'3-2,Welland Jackfish,Toronto Maple Leafs,"July 11, 2025",,,,Jonah Weisner,Josh Berenbaum,L,R,Fastball,Walk,,,000,0.925668082,1.228742988,
Top 1,1,0,0,0,'0-0,Welland Jackfish,Toronto Maple Leafs,"July 11, 2025",,,1.2,Gianfranco Morello,Josh Berenbaum,L,R,Fastball,Called Strike,,,100,0.670516983,0.889087944,
Top 1,1,0,0,1,'0-1,Welland Jackfish,Toronto Maple Leafs,"July 11, 2025",,,1.11,Gianfranco Morello,Josh Berenbaum,L,R,Fastball,Ball,,,100,1.088036963,1.173663792,
Top 1,1,0,1,1,'1-1,Welland Jackfish,Toronto Maple Leafs,"July 11, 2025",,,1.11,Gianfranco Morello,Josh Berenbaum,L,R,Offspeed,Ball,,,100,0.832885864,-0.451172502,
