Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,London Majors,Toronto Maple Leafs,"July 13, 2025",Toronto Maple Leafs,London Majors,,Toby Simmons,Adam Jafine,R,L,Fastball,Ball,,,000,-1.606365107,0.983797294,
Top 1,1,0,1,0,'1-0,London Majors,Toronto Maple Leafs,"July 13, 2025",,,,Toby Simmons,Adam Jafine,R,L,Fastball,Called Strike,,,000,-0.150136884,0.462368107,
Top 1,1,0,1,1,'1-1,London Majors,Toronto Maple Leafs,"July 13, 2025",,,,Toby Simmons,Adam Jafine,R,L,Fastball,Ball,,,000,1.306091339,0.572142672,
Top 1,1,0,2,1,'2-1,London Majors,Toronto Maple Leafs,"July 13, 2025",,,,Toby Simmons,Adam Jafine,R,L,Fastball,Ball,,,000,-1.513906172,0.883170609,
Top 1,1,0,3,1,'3-1,London Majors,Toronto Maple Leafs,"July 13, 2025",,,,Toby Simmons,Adam Jafine,R,L,Fastball,Walk,,,000,-1.583250373,1.212494306,
Top 1,1,0,0,0,'0-0,London Majors,Toronto Maple Leafs,"July 13, 2025",,,,Francisco Fajardo,Adam Jafine,L,L,Fastball,Groundout,Ground Ball,Pull,100,0.705108263,0.581290553,
Top 1,1,1,0,0,'0-0,London Majors,Toronto Maple Leafs,"July 13, 2025",,,,Eduardo De Oleo,Adam Jafine,R,L,Offspeed,Ball,,,010,0.358387257,-0.406680538,
Top 1,1,1,1,0,'1-0,London Majors,Toronto Maple Leafs,"July 13, 2025",,,,Eduardo De Oleo,Adam Jafine,R,L,Fastball,Swinging Strike,,,001,-0.011448482,0.91976213,
Top 1,1,1,1,1,'1-1,London Majors,Toronto Maple Leafs,"July 13, 2025",,,,Eduardo De Oleo,Adam Jafine,R,L,Fastball,Foul,,,001,-0.820464161,1.185050664,
Top 1,1,1,1,2,'1-2,London Majors,Toronto Maple Leafs,"July 13, 2025",,,,Eduardo De Oleo,Adam Jafine,R,L,Offspeed,Strikeout Swinging,,,001,-0.866693629,-0.24201869,
Top 1,1,2,0,0,'0-0,London Majors,Toronto Maple Leafs,"July 13, 2025",,,,Tucker Zdunich,Adam Jafine,L,L,Offspeed,Ball,,,001,1.236747138,0.874022728,
Top 1,1,2,1,0,'1-0,London Majors,Toronto Maple Leafs,"July 13, 2025",,,,Tucker Zdunich,Adam Jafine,L,L,Fastball,Single,Line Drive,Straightaway,001,0.450846192,0.654473597,
Top 1,1,2,0,0,'0-0,London Majors,Toronto Maple Leafs,"July 13, 2025",,,1.68,Byron Reichstein,Adam Jafine,L,L,Fastball,Swinging Strike,,,100,0.265928323,0.800839684,
