Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Kitchener Panthers,Toronto Maple Leafs,"July 16, 2025",Toronto Maple Leafs,Kitchener Panthers,,Yordan Manduley,Luis Florentino,R,R,Fastball,Flyout,Fly Ball,Pull,000,-0.173251618,0.846579087,
Top 1,1,1,0,0,'0-0,Kitchener Panthers,Toronto Maple Leafs,"July 16, 2025",,,,Mateo Zeppieri,Luis Florentino,L,R,Fastball,Foul,,,000,-0.381284221,0.51725539,
Top 1,1,1,0,1,'0-1,Kitchener Panthers,Toronto Maple Leafs,"July 16, 2025",,,,Mateo Zeppieri,Luis Florentino,L,R,Fastball,Swinging Strike,,,000,-0.265710553,1.10271974,
Top 1,1,1,0,2,'0-2,Kitchener Panthers,Toronto Maple Leafs,"July 16, 2025",,,,Mateo Zeppieri,Luis Florentino,L,R,Fastball,Ball,,,000,1.883959681,1.084423979,
Top 1,1,1,1,2,'1-2,Kitchener Panthers,Toronto Maple Leafs,"July 16, 2025",,,,Mateo Zeppieri,Luis Florentino,L,R,Fastball,Flyout,Fly Ball,Straightaway,000,0.011666252,0.462368107,
Top 1,1,2,0,0,'0-0,Kitchener Panthers,Toronto Maple Leafs,"July 16, 2025",,,,Yosvani Penalver,Luis Florentino,L,R,Fastball,Called Strike,,,000,0.034780986,0.837431206,
Top 1,1,2,0,1,'0-1,Kitchener Panthers,Toronto Maple Leafs,"July 16, 2025",,,,Yosvani Penalver,Luis Florentino,L,R,Fastball,Groundout,Ground Ball,Pull,000,0.196584121,0.572142672,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Ryan Dos Santos,Yadian Martinez,L,R,Fastball,Ball,,,000,1.514123942,0.791691804,
Bottom 1,1,0,1,0,'1-0,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Ryan Dos Santos,Yadian Martinez,L,R,Fastball,Foul,,,000,0.612649328,0.297706258,
Bottom 1,1,0,1,1,'1-1,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Ryan Dos Santos,Yadian Martinez,L,R,Fastball,Ball,,,000,0.289043056,1.331416752,
Bottom 1,1,0,2,1,'2-1,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Ryan Dos Santos,Yadian Martinez,L,R,Offspeed,Ball,,,000,1.675927078,0.407480824,
Bottom 1,1,0,3,1,'3-1,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Ryan Dos Santos,Yadian Martinez,L,R,Fastball,Walk,,,000,0.612649328,-0.141392005,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Jhon Javier,Yadian Martinez,R,R,Offspeed,Called Strike,,,100,0.612649328,0.736804521,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,1.06,Jhon Javier,Yadian Martinez,R,R,Fastball,Ball,,,100,-0.658661025,-0.296905973,
Bottom 1,1,0,1,1,'1-1,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,1.13,Jhon Javier,Yadian Martinez,R,R,Offspeed,Groundout,Ground Ball,Straightaway,100,-0.196366351,0.480663868,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Jordan Castaldo,Yadian Martinez,L,R,Fastball,Ball,,,010,1.282976605,0.691065119,
Bottom 1,1,1,1,0,'1-0,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Jordan Castaldo,Yadian Martinez,L,R,Offspeed,Ball,,,010,1.491009209,0.178783812,
Bottom 1,1,1,2,0,'2-0,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Jordan Castaldo,Yadian Martinez,L,R,Offspeed,Ball,,,010,1.282976605,-0.278610212,
Bottom 1,1,1,3,0,'3-0,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Jordan Castaldo,Yadian Martinez,L,R,Fastball,Called Strike,,,010,-0.034563216,0.251966856,
Bottom 1,1,1,3,1,'3-1,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Jordan Castaldo,Yadian Martinez,L,R,Fastball,Foul,,,010,0.173469388,0.261114736,
Bottom 1,1,1,3,2,'3-2,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Jordan Castaldo,Yadian Martinez,L,R,Offspeed,Walk,,,010,-0.774234694,-0.232870809,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Dennis Dei Banning,Yadian Martinez,R,R,Fastball,Groundout,Ground Ball,Opposite Field,110,0.335272524,0.553846912,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Justin Marra,Yadian Martinez,L,R,Offspeed,Ball,,,011,1.098058736,0.663621477,
Bottom 1,1,2,1,0,'1-0,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Justin Marra,Yadian Martinez,L,R,Offspeed,Called Strike,,,011,0.774452464,0.52640327,
Bottom 1,1,2,1,1,'1-1,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Justin Marra,Yadian Martinez,L,R,Offspeed,Ball,,,011,1.121173469,1.157607023,
Bottom 1,1,2,2,1,'2-1,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Justin Marra,Yadian Martinez,L,R,Offspeed,Swinging Strike,,,011,0.473960926,0.197079573,
Bottom 1,1,2,2,2,'2-2,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Justin Marra,Yadian Martinez,L,R,Offspeed,Single,Ground Ball,Opposite Field,011,-0.450628422,0.197079573,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Chad Picton,Yadian Martinez,R,R,Offspeed,Foul,,,111,-0.496857889,0.70936088,
Bottom 1,1,2,0,1,'0-1,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Chad Picton,Yadian Martinez,R,R,Offspeed,Foul,,,111,-0.704890493,0.553846912,
Bottom 1,1,2,0,2,'0-2,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Chad Picton,Yadian Martinez,R,R,Offspeed,Foul,,,111,-0.612431558,0.306854139,
Bottom 1,1,2,0,2,'0-2,Toronto Maple Leafs,Kitchener Panthers,"July 16, 2025",,,,Chad Picton,Yadian Martinez,R,R,Fastball,Ball,,,111,-0.681775759,1.313120991,
