Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",Toronto Maple Leafs,Hamilton Cardinals,,Carlos Dominguez,Josh Berenbaum,R,R,Fastball,Foul,,,000,0.351888571,0.849062898,
Top 1,1,0,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Carlos Dominguez,Josh Berenbaum,R,R,Offspeed,Called Strike,,,000,-0.536797143,0.778721696,
Top 1,1,0,0,2,'0-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Carlos Dominguez,Josh Berenbaum,R,R,Offspeed,Foul,,,000,-0.092454286,0.594076042,
Top 1,1,0,0,2,'0-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Carlos Dominguez,Josh Berenbaum,R,R,Offspeed,Foul,,,000,0.174151429,0.567698092,
Top 1,1,0,0,2,'0-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Carlos Dominguez,Josh Berenbaum,R,R,Fastball,Foul,,,000,-0.092454286,1.191976254,
Top 1,1,0,0,2,'0-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Carlos Dominguez,Josh Berenbaum,R,R,Offspeed,Ball,,,000,0.41854,-0.311566926,
Top 1,1,0,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Carlos Dominguez,Josh Berenbaum,R,R,Offspeed,Single,Ground Ball,Pull,000,0.351888571,0.514942191,
Top 1,1,0,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,1.08,Brandon Nicoll,Josh Berenbaum,R,R,Fastball,Ball,,,100,0.085282857,1.271110106,
Top 1,1,0,1,0,'1-0,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,1.08,Brandon Nicoll,Josh Berenbaum,R,R,Fastball,Ball,,,100,-0.04802,1.121635053,
Top 1,1,0,2,0,'2-0,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Brandon Nicoll,Josh Berenbaum,R,R,Fastball,Flyout,Line Drive,Pull,010,0.707362857,0.831477597,
Top 1,1,1,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Tyler Duncan,Josh Berenbaum,L,R,Offspeed,Swinging Strike,,,001,0.285237143,-0.188469823,
Top 1,1,1,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Tyler Duncan,Josh Berenbaum,L,R,Offspeed,Swinging Strike,,,001,-0.092454286,-0.293981625,
Top 1,1,1,0,2,'0-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Tyler Duncan,Josh Berenbaum,L,R,Offspeed,Ball,,,001,-0.559014286,-0.337944876,
Top 1,1,1,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Tyler Duncan,Josh Berenbaum,L,R,Offspeed,Ball,,,001,1.173922857,0.514942191,
Top 1,1,1,2,2,'2-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Tyler Duncan,Josh Berenbaum,L,R,Fastball,Ball,,,001,-0.247974286,1.279902756,
Top 1,1,1,3,2,'3-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Tyler Duncan,Josh Berenbaum,L,R,Offspeed,Strikeout Swinging,,,001,0.41854,-0.144506572,
Top 1,1,2,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Jommer Hernandez,Josh Berenbaum,R,R,Fastball,Called Strike,,,001,-0.35906,0.585283392,
Top 1,1,2,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Jommer Hernandez,Josh Berenbaum,R,R,Offspeed,Foul,,,001,-0.470145714,0.409430389,
Top 1,1,2,0,2,'0-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Jommer Hernandez,Josh Berenbaum,R,R,Fastball,Strikeout Swinging,,,001,0.129717143,1.095257102,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Ryan Dos Santos,Corben Peters,L,R,Fastball,Ball,,,000,1.573831429,0.840270247,
Bottom 1,1,0,1,0,'1-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Ryan Dos Santos,Corben Peters,L,R,Fastball,Lineout,Line Drive,Opposite Field,000,-0.270191429,0.286333286,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Dan Marra,Corben Peters,R,R,Fastball,Called Strike,,,000,-0.381277143,0.435808339,
Bottom 1,1,1,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Dan Marra,Corben Peters,R,R,Fastball,Flyout,Fly Ball,Straightaway,000,0.440757143,0.567698092,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Jordan Castaldo,Corben Peters,L,R,Fastball,Ball,,,000,0.640711429,0.435808339,
Bottom 1,1,2,1,0,'1-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Jordan Castaldo,Corben Peters,L,R,Offspeed,Ball,,,000,0.218585714,-0.373115477,
Bottom 1,1,2,2,0,'2-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Jordan Castaldo,Corben Peters,L,R,Fastball,Ball,,,000,1.529397143,0.576490742,
Bottom 1,1,2,3,0,'3-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Jordan Castaldo,Corben Peters,L,R,Fastball,Walk,,,000,1.684917143,-0.126921272,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,1.32,Jhon Javier,Corben Peters,R,R,Offspeed,Ball,,,100,-1.003357143,-0.153299223,
Bottom 1,1,2,1,0,'1-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,1.19,Jhon Javier,Corben Peters,R,R,Fastball,Called Strike,,,100,-0.314625714,0.101687633,
Bottom 1,1,2,1,1,'1-1,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,1.34,Jhon Javier,Corben Peters,R,R,Fastball,Swinging Strike,,,100,0.329671429,0.49735689,
Bottom 1,1,2,1,2,'1-2,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Jhon Javier,Corben Peters,R,R,Fastball,Single,Line Drive,Opposite Field,100,0.196368571,0.558905442,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Dennis Dei Baning,Corben Peters,R,R,Fastball,Ball,,,110,-1.13666,-0.364322827,
Bottom 1,1,2,1,0,'1-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Dennis Dei Baning,Corben Peters,R,R,Fastball,Single,Ground Ball,Straightaway,110,0.507408571,0.259955336,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Justin Marra,Corben Peters,L,R,Fastball,Called Strike,,,101,-0.003585714,0.409430389,
Bottom 1,1,2,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Justin Marra,Corben Peters,L,R,Fastball,Ball,,,101,0.818448571,-0.162091873,
Bottom 1,1,2,1,1,'1-1,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Justin Marra,Corben Peters,L,R,Fastball,Ball,,,011,-1.492134286,0.822684947,
Bottom 1,1,2,2,1,'2-1,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Justin Marra,Corben Peters,L,R,Offspeed,Called Strike,,,011,-0.492362857,0.646831943,
Bottom 1,1,2,2,2,'2-2,Toronto Maple Leafs,Hamilton Cardinals,"July 19, 2025",,,,Justin Marra,Corben Peters,L,R,Offspeed,Strikeout Looking,,,011,-0.292408571,0.769929046,
Top 2,2,0,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Josh Williams,Josh Berenbaum,L,R,Fastball,Called Strike,,,000,-0.536797143,0.673209894,
Top 2,2,0,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Josh Williams,Josh Berenbaum,L,R,Fastball,Ball,,,000,0.507408571,1.165598304,
Top 2,2,0,1,1,'1-1,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Josh Williams,Josh Berenbaum,L,R,Offspeed,Swinging Strike,,,000,-0.51458,-0.293981625,
Top 2,2,0,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Josh Williams,Josh Berenbaum,L,R,Fastball,Groundout,Ground Ball,Straightaway,000,-0.336842857,0.532527491,
Top 2,2,1,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Tanner Rempel,Josh Berenbaum,R,R,Fastball,Called Strike,,,000,-0.04802,0.849062898,
Top 2,2,1,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Tanner Rempel,Josh Berenbaum,R,R,Offspeed,Ball,,,000,-1.536568571,0.145650883,
Top 2,2,1,1,1,'1-1,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Tanner Rempel,Josh Berenbaum,R,R,Offspeed,Flyout,Fly Ball,Opposite Field,000,-0.025802857,0.321503887,
Top 2,2,2,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Yolki Pena,Josh Berenbaum,L,R,Fastball,Called Strike,,,000,-0.6701,0.769929046,
Top 2,2,2,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Yolki Pena,Josh Berenbaum,L,R,Offspeed,Ball,,,000,1.285008571,0.690795194,
Top 2,2,2,1,1,'1-1,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Yolki Pena,Josh Berenbaum,L,R,Offspeed,Swinging Strike,,,000,0.1075,-0.276396325,
Top 2,2,2,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Yolki Pena,Josh Berenbaum,L,R,Offspeed,Foul,,,000,-0.136888571,0.409430389,
Top 2,2,2,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Yolki Pena,Josh Berenbaum,L,R,Offspeed,Foul,,,000,0.507408571,0.347881837,
Top 2,2,2,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Yolki Pena,Josh Berenbaum,L,R,Fastball,Foul,,,000,-0.781185714,0.831477597,
Top 2,2,2,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Yolki Pena,Josh Berenbaum,L,R,Offspeed,Foul,,,000,0.640711429,0.620453993,
Top 2,2,2,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Yolki Pena,Josh Berenbaum,L,R,Offspeed,Foul,,,000,-0.559014286,-0.188469823,
Top 2,2,2,1,2,'1-2,Hamilton Cardinals,Toronto Maple Leafs,"July 19, 2025",,,,Yolki Pena,Josh Berenbaum,L,R,Fastball,Ball,,,000,-0.6701,1.165598304,
