Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",Toronto Maple Leafs,Chatham-Kent Barnstormers,,Spencer Marcus,Franklin Hernandez,R,R,Fastball,Called Strike,,,000,-0.492362857,0.321503887,
Top 1,1,0,0,1,'0-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Spencer Marcus,Franklin Hernandez,R,R,Offspeed,Ball,,,000,-1.692088571,0.242370035,
Top 1,1,0,1,1,'1-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Spencer Marcus,Franklin Hernandez,R,R,Offspeed,Called Strike,,,000,0.018631429,0.418223039,
Top 1,1,0,1,2,'1-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Spencer Marcus,Franklin Hernandez,R,R,Fastball,Strikeout Swinging,,,000,-0.025802857,0.664417244,
Top 1,1,1,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Mitsuki Fukuda,Franklin Hernandez,R,R,Fastball,Called Strike,,,000,-0.425711429,0.084102332,
Top 1,1,1,0,1,'0-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Mitsuki Fukuda,Franklin Hernandez,R,R,Fastball,Ball,,,000,-1.158877143,0.813892297,
Top 1,1,1,1,1,'1-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Mitsuki Fukuda,Franklin Hernandez,R,R,Offspeed,Foul,,,000,-0.581231429,0.339089187,
Top 1,1,1,1,2,'1-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Mitsuki Fukuda,Franklin Hernandez,R,R,Fastball,Ball,,,000,-0.492362857,1.235939505,
Top 1,1,1,2,2,'2-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Mitsuki Fukuda,Franklin Hernandez,R,R,Offspeed,Ball,,,000,0.640711429,-0.241225724,
Top 1,1,1,3,2,'3-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Mitsuki Fukuda,Franklin Hernandez,R,R,Offspeed,Single,Line Drive,Pull,000,0.26302,0.339089187,
Top 1,1,1,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,0.94,Yushin Ohta,Franklin Hernandez,L,R,Fastball,Swinging Strike,,,100,0.551842857,0.47097894,
Top 1,1,1,0,1,'0-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,1.16,Yushin Ohta,Franklin Hernandez,L,R,Fastball,Called Strike,,,100,0.218585714,0.409430389,
Top 1,1,1,0,2,'0-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,1.06,Yushin Ohta,Franklin Hernandez,L,R,Fastball,Ball,,,100,0.1075,1.235939505,
Top 1,1,1,1,2,'1-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Yushin Ohta,Franklin Hernandez,L,R,Fastball,Double,Line Drive,Opposite Field,100,0.774014286,0.45339364,
Top 1,1,1,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Sadler Goodwin,Franklin Hernandez,R,R,Offspeed,Popout,Pop Up,Pull,011,-0.314625714,0.769929046,
Top 1,1,2,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Seth Strong,Franklin Hernandez,L,R,,Flyout,Fly Ball,Opposite Field,011,,,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Ryan Dos Santos,Mizuki Akatsuka,L,L,Fastball,Called Strike,,,000,0.707362857,0.154443534,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Ryan Dos Santos,Mizuki Akatsuka,L,L,Offspeed,Hit By Pitch,,,000,-1.60322,0.884233498,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Jhon Javier,Mizuki Akatsuka,R,R,Offspeed,Called Strike,,,100,-0.025802857,0.321503887,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,1.19,Jhon Javier,Mizuki Akatsuka,R,R,Offspeed,Foul,,,100,0.529625714,0.620453993,
Bottom 1,1,0,0,2,'0-2,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,0.97,Jhon Javier,Mizuki Akatsuka,R,R,Offspeed,Ball,,,100,0.840665714,-0.337944876,
Bottom 1,1,0,1,2,'1-2,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,1.01,Jhon Javier,Mizuki Akatsuka,R,R,Fastball,Foul,,,100,0.285237143,0.400637739,
Bottom 1,1,0,1,2,'1-2,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,1.02,Jhon Javier,Mizuki Akatsuka,R,R,Fastball,Ball,,,100,-0.6701,0.849062898,
Bottom 1,1,0,2,2,'2-2,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,1.07,Jhon Javier,Mizuki Akatsuka,R,R,Offspeed,Strikeout Swinging,,,100,-0.98114,-0.214847774,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,R,Fastball,Ball,,,100,0.57406,0.48856424,
Bottom 1,1,1,1,0,'1-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,R,Offspeed,Ball,,,100,1.285008571,0.541320141,
Bottom 1,1,1,2,0,'2-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,R,Fastball,Ball,,,100,-1.269962857,0.277540636,
Bottom 1,1,1,3,0,'3-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,R,Offspeed,Groundout,Ground Ball,Pull,100,0.462974286,0.180821484,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Dennis Dei Baning,Mizuki Akatsuka,R,R,Offspeed,Called Strike,,,100,0.218585714,0.717173145,
Bottom 1,1,2,0,1,'0-1,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Dennis Dei Baning,Mizuki Akatsuka,R,R,Offspeed,Home Run,Fly Ball,Straightaway,100,0.285237143,0.47977159,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Justin Marra,Mizuki Akatsuka,L,R,Fastball,Ball,,,000,1.50718,0.796306996,
Bottom 1,1,2,1,0,'1-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Justin Marra,Mizuki Akatsuka,L,R,Offspeed,Swinging Strike,,,000,1.19614,-0.135713922,
Bottom 1,1,2,1,1,'1-1,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Justin Marra,Mizuki Akatsuka,L,R,Offspeed,Called Strike,,,000,0.551842857,0.427015689,
Bottom 1,1,2,1,2,'1-2,Toronto Maple Leafs,Chatham-Kent Barnstormers,"July 23, 2025",,,,Justin Marra,Mizuki Akatsuka,L,R,Offspeed,Strikeout Swinging,,,000,0.174151429,-0.179677173,
Top 2,2,0,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Robert Mackie,Franklin Hernandez,R,R,Fastball,Foul,,,000,0.151934286,0.541320141,
Top 2,2,0,0,1,'0-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"July 23, 2025",,,,Robert Mackie,Franklin Hernandez,R,R,Fastball,Swinging Strike,,,000,0.240802857,1.121635053,
