Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",Toronto Maple Leafs,Barrie Baycats,,Noel McGarry Doyle,Franklin Hernandez,L,R,Fastball,Double,Fly Ball,Pull,000,0.329671429,0.365467138,
Top 1,1,0,0,0,'0-0,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",,,,Brandon Hernandez,Franklin Hernandez,L,R,Fastball,Ball,,,010,1.6627,0.224784735,
Top 1,1,0,1,0,'1-0,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",,,,Brandon Hernandez,Franklin Hernandez,L,R,Fastball,Ball,,,010,0.329671429,-0.293981625,
Top 1,1,0,2,0,'2-0,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",,,,Brandon Hernandez,Franklin Hernandez,L,R,Fastball,Foul,,,010,0.507408571,0.585283392,
Top 1,1,0,2,1,'2-1,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",,,,Brandon Hernandez,Franklin Hernandez,L,R,Offspeed,Called Strike,,,010,0.707362857,0.49735689,
Top 1,1,0,2,2,'2-2,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",,,,Brandon Hernandez,Franklin Hernandez,L,R,Fastball,Groundout,Ground Ball,Straightaway,010,0.218585714,0.567698092,
Top 1,1,1,0,0,'0-0,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",,,,Willy Garcia,Franklin Hernandez,R,R,Fastball,Ball,,,001,1.418311429,1.033708551,
Top 1,1,1,1,0,'1-0,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",,,,Willy Garcia,Franklin Hernandez,R,R,Offspeed,Called Strike,,,001,-0.181322857,0.594076042,
Top 1,1,1,1,1,'1-1,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",,,,Willy Garcia,Franklin Hernandez,R,R,Offspeed,Called Strike,,,001,0.040848571,0.523734841,
Top 1,1,1,1,2,'1-2,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",,,,Willy Garcia,Franklin Hernandez,R,R,Fastball,Strikeout Swinging,,,001,0.218585714,0.45339364,
Top 1,1,2,0,0,'0-0,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",,,,Nolan Machibroda,Franklin Hernandez,L,R,Fastball,Swinging Strike,,,001,0.485191429,0.506149541,
Top 1,1,2,0,1,'0-1,Barrie Baycats,Toronto Maple Leafs,"July 30, 2025",,,,Nolan Machibroda,Franklin Hernandez,L,R,Offspeed,Lineout,Line Drive,Straightaway,001,0.57406,0.444600989,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Barrie Baycats,"July 30, 2025",,,,Ryan Dos Santos,Johnathan Warden,L,R,Fastball,Ball,,,000,1.418311429,0.893026148,
Bottom 1,1,0,1,0,'1-0,Toronto Maple Leafs,Barrie Baycats,"July 30, 2025",,,,Ryan Dos Santos,Johnathan Warden,L,R,Fastball,Called Strike,,,000,0.662928571,0.910611449,
Bottom 1,1,0,1,1,'1-1,Toronto Maple Leafs,Barrie Baycats,"July 30, 2025",,,,Ryan Dos Santos,Johnathan Warden,L,R,Fastball,Ball,,,000,1.573831429,0.822684947,
Bottom 1,1,0,2,1,'2-1,Toronto Maple Leafs,Barrie Baycats,"July 30, 2025",,,,Ryan Dos Santos,Johnathan Warden,L,R,Fastball,Foul,,,000,0.751797143,0.207199435,
Bottom 1,1,0,2,2,'2-2,Toronto Maple Leafs,Barrie Baycats,"July 30, 2025",,,,Ryan Dos Santos,Johnathan Warden,L,R,Fastball,Strikeout Looking,,,000,1.129488571,0.286333286,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Barrie Baycats,"July 30, 2025",,,,Jhon Javier,Johnathan Warden,R,R,Offspeed,Swinging Strike,,,000,-0.470145714,0.347881837,
Bottom 1,1,1,0,1,'0-1,Toronto Maple Leafs,Barrie Baycats,"July 30, 2025",,,,Jhon Javier,Johnathan Warden,R,R,Offspeed,Ball,,,000,-1.692088571,-0.091750671,
