Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",Toronto Maple Leafs,Brantford Red Sox,,,Ethan Paulos,Drew Howard,L,R,Fastball,Called Strike,,,000,0.848071429,0.204268551,
Top 1,1,0,0,1,'0-1,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Ethan Paulos,Drew Howard,L,R,Fastball,Ball,,,000,0.570357143,-0.220709541,
Top 1,1,0,1,1,'1-1,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Ethan Paulos,Drew Howard,L,R,Fastball,Swinging Strike,,,000,0.774014286,0.629246643,
Top 1,1,0,1,2,'1-2,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Ethan Paulos,Drew Howard,L,R,Fastball,Strikeout Looking,,,000,0.848071429,0.057724382,
Top 1,1,1,0,0,'0-0,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Christian Ortega,Drew Howard,R,R,Offspeed,Swinging Strike,,,000,-0.781185714,0.109014841,
Top 1,1,1,0,1,'0-1,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Christian Ortega,Drew Howard,R,R,Offspeed,Ball,,,000,-1.725414286,-0.037529329,
Top 1,1,1,1,1,'1-1,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Christian Ortega,Drew Howard,R,R,Fastball,Single,Line Drive,Straightaway,000,-0.2813,0.555974558,
Top 1,1,1,0,0,'0-0,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Tim Holyk,Drew Howard,R,R,Fastball,Called Strike,,,100,-0.003585714,0.724500353,
Top 1,1,1,0,1,'0-1,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Tim Holyk,Drew Howard,R,R,Offspeed,Ball,,,100,-1.429185714,-0.286654417,
Top 1,1,1,1,1,'1-1,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,2,2,Tim Holyk,Drew Howard,R,R,Fastball,Home Run,Fly Ball,Pull,010,0.014928571,0.614592226,
Top 1,1,1,0,0,'0-0,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Cassidy Watt,Drew Howard,R,R,Fastball,Foul,,,000,-0.355357143,0.783118021,
Top 1,1,1,0,1,'0-1,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Cassidy Watt,Drew Howard,R,R,Offspeed,Ball,,,000,0.033442857,0.922334982,
Top 1,1,1,1,1,'1-1,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Cassidy Watt,Drew Howard,R,R,Fastball,Foul,,,000,0.163042857,0.658555477,
Top 1,1,1,1,2,'1-2,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Cassidy Watt,Drew Howard,R,R,Offspeed,Groundout,Ground Ball,Pull,000,0.070471429,0.519338516,
Top 1,1,2,0,0,'0-0,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Matt Torresan,Drew Howard,R,R,Fastball,Swinging Strike,,,000,-0.0221,0.819754064,
Top 1,1,2,0,1,'0-1,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Matt Torresan,Drew Howard,R,R,Offspeed,Ball,,,000,-1.169985714,-0.074165371,
Top 1,1,2,1,1,'1-1,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Matt Torresan,Drew Howard,R,R,Offspeed,Swinging Strike,,,000,-0.9293,-0.074165371,
Top 1,1,2,1,2,'1-2,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Matt Torresan,Drew Howard,R,R,Offspeed,Single,Ground Ball,Straightaway,000,-0.4109,0.109014841,
Top 1,1,2,0,0,'0-0,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Lucas Bateman,Drew Howard,R,R,Fastball,Swinging Strike,,,100,0.588871429,0.98095265,
Top 1,1,2,0,1,'0-1,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Lucas Bateman,Drew Howard,R,R,Fastball,Swinging Strike,,,100,-0.0221,1.090860777,
Top 1,1,2,0,2,'0-2,Brantford Red Sox,Toronto Maple Leafs,"June 1, 2025",,,,,Lucas Bateman,Drew Howard,R,R,Fastball,Strikeout Looking,,,100,0.033442857,0.834408481,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Brantford Red Sox,"June 1, 2025",,,,,Ryan Dos Santos,Nicholai Arbach,R,R,Fastball,Ball,,,000,0.051957143,0.929662191,
Bottom 1,1,0,1,0,'1-0,Toronto Maple Leafs,Brantford Red Sox,"June 1, 2025",,,,,Ryan Dos Santos,Nicholai Arbach,R,R,Offspeed,Ball,,,000,-1.373642857,-0.022874912,
