Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Chatham-Kent,London Majors,"June 1, 2025",London Majors,Chatham-Kent,,Evan Morrison,Victor Payano,L,L,Fastball,Ball,,,000,0.8125794357,-0.1224614263,
Top 1,1,0,1,0,'1-0,Chatham-Kent,London Majors,"June 1, 2025",,,,Evan Morrison,Victor Payano,L,L,Fastball,Ball,,,000,0.7771670056,-0.08041698628,
Top 1,1,0,2,0,'2-0,Chatham-Kent,London Majors,"June 1, 2025",,,,Evan Morrison,Victor Payano,L,L,Fastball,Ball,,,000,0.06891840366,1.199602631,
Top 1,1,0,3,0,'3-0,Chatham-Kent,London Majors,"June 1, 2025",,,,Evan Morrison,Victor Payano,L,L,Fastball,Called Strike,,,000,-0.1553603203,0.2886397646,
Top 1,1,0,3,1,'3-1,Chatham-Kent,London Majors,"June 1, 2025",,,,Evan Morrison,Victor Payano,L,L,Fastball,Foul,,,000,-1.3475788,0.5502496133,
Top 1,1,0,3,2,'3-2,Chatham-Kent,London Majors,"June 1, 2025",,,,Evan Morrison,Victor Payano,L,L,Fastball,Single,Line Drive,Straightaway,000,-0.8518047789,0.6343384933,
Top 1,1,0,0,0,'0-0,Chatham-Kent,London Majors,"June 1, 2025",,,1.31,Spencer Marcus,Victor Payano,R,L,Fastball,Ball,,,100,-1.678094814,0.9613508042,
Top 1,1,0,1,0,'1-0,Chatham-Kent,London Majors,"June 1, 2025",,,1.39,Spencer Marcus,Victor Payano,R,L,Fastball,Called Strike,,,100,0.1987639807,0.45214592,
Top 1,1,0,1,1,'1-1,Chatham-Kent,London Majors,"June 1, 2025",,,1.43,Spencer Marcus,Victor Payano,R,L,Fastball,Ball,,,100,-1.288558083,1.068797706,
Top 1,1,0,2,1,'2-1,Chatham-Kent,London Majors,"June 1, 2025",,,,Spencer Marcus,Victor Payano,R,L,,Groundout,Ground Ball,Pull,100,,,
Top 1,1,1,0,0,'0-0,Chatham-Kent,London Majors,"June 1, 2025",,,,Mitsuki Fukuda,Victor Payano,R,L,Offspeed,Ball,,,010,-1.642682384,-0.1224614263,
Top 1,1,1,1,0,'1-0,Chatham-Kent,London Majors,"June 1, 2025",,,,Mitsuki Fukuda,Victor Payano,R,L,Fastball,Double,Line Drive,Pull,010,-1.111495933,0.5128767778,
