Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Barrie Baycats,Kitchener Panthers,"June 1, 2025",Kitchener Panthers,Barrie Baycats,,Noel McGarry-Doyle,Owen McNeil,L,R,Offspeed,Groundout,Ground Ball,Pull,000,0.3971896956,0.07743729363,
Top 1,1,1,0,0,'0-0,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Tristan Clarke,Owen McNeil,R,R,Offspeed,Called Strike,,,000,-1.342857143,0.004338759196,
Top 1,1,1,0,1,'0-1,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Tristan Clarke,Owen McNeil,R,R,Fastball,Swinging Strike,,,000,,,
Top 1,1,1,0,2,'0-2,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Tristan Clarke,Owen McNeil,R,R,Fastball,Ball,,,000,,,
Top 1,1,1,1,2,'1-2,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Tristan Clarke,Owen McNeil,R,R,Offspeed,Ball,,,000,,,
Top 1,1,1,2,2,'2-2,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Tristan Clarke,Owen McNeil,R,R,Fastball,Ball,,,000,,,
Top 1,1,1,3,2,'3-2,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Tristan Clarke,Owen McNeil,R,R,Offspeed,Strikeout Looking,,,000,,,
Top 1,1,2,0,0,'0-0,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Nolan Machibroda,Owen McNeil,L,R,Fastball,Ball,,,000,-0.04869730679,0.1980188843,
Top 1,1,2,1,0,'1-0,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Nolan Machibroda,Owen McNeil,L,R,Fastball,Swinging Strike,,,000,-0.5598360656,0.03870126861,
Top 1,1,2,1,1,'1-1,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Nolan Machibroda,Owen McNeil,L,R,Fastball,Foul,,,000,,,
Top 1,1,2,1,2,'1-2,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Nolan Machibroda,Owen McNeil,L,R,Fastball,Ball,,,000,,,
Top 1,1,2,2,2,'2-2,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Nolan Machibroda,Owen McNeil,L,R,Offspeed,Ball,,,000,,,
Top 1,1,2,3,2,'3-2,Barrie Baycats,Kitchener Panthers,"June 1, 2025",,,,Nolan Machibroda,Owen McNeil,L,R,Offspeed,Popout,Pop Up,Straightaway,000,,,
Bottom 1,1,0,0,0,'0-0,Kitchener Panthers,Barrie Baycats,"June 1, 2025",,,,Yosuke Fujie,Ethan Morris,R,L,Fastball,Flyout,Fly Ball,Pull,000,,,
Bottom 1,1,1,0,0,'0-0,Kitchener Panthers,Barrie Baycats,"June 1, 2025",,,,Yordan Manduley,Ethan Morris,R,L,Fastball,Ball,,,000,,,
Bottom 1,1,1,1,0,'1-0,Kitchener Panthers,Barrie Baycats,"June 1, 2025",,,,Yordan Manduley,Ethan Morris,R,L,Fastball,Foul,,,000,-1.016598361,0.5035335689,
Bottom 1,1,1,1,1,'1-1,Kitchener Panthers,Barrie Baycats,"June 1, 2025",,,,Yordan Manduley,Ethan Morris,R,L,Fastball,Foul,,,000,-0.124824356,0.5035335689,
Bottom 1,1,1,1,2,'1-2,Kitchener Panthers,Barrie Baycats,"June 1, 2025",,,,Yordan Manduley,Ethan Morris,R,L,Offspeed,Groundout,Ground Ball,Pull,000,,,
