Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",Toronto Maple Leafs,Barrie Baycats,,Brandon Hernandez,Luis Florentino,L,R,Fastball,Called Strike,,,000,-0.674825175,0.64123156,
Top 1,1,0,0,1,'0-1,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Brandon Hernandez,Luis Florentino,L,R,Fastball,Ball,,,000,0.925668082,1.256282587,
Top 1,1,0,1,1,'1-1,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Brandon Hernandez,Luis Florentino,L,R,Fastball,Foul,,,000,1.180819181,0.696310756,
Top 1,1,0,1,2,'1-2,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Brandon Hernandez,Luis Florentino,L,R,Fastball,Ball,,,000,1.180819181,0.980886605,
Top 1,1,0,2,2,'2-2,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Brandon Hernandez,Luis Florentino,L,R,Offspeed,Ball,,,000,1.157623626,1.329721515,
Top 1,1,0,3,2,'3-2,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Brandon Hernandez,Luis Florentino,L,R,Fastball,Strikeout Swinging,,,000,0.508148102,0.347475846,
Top 1,1,1,0,0,'0-0,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Willy Garcia,Luis Florentino,R,R,Fastball,Called Strike,,,000,-0.350087413,0.209777855,
Top 1,1,1,0,1,'0-1,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Willy Garcia,Luis Florentino,R,R,Offspeed,Ball,,,000,1.296796953,0.760569819,
Top 1,1,1,1,1,'1-1,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Willy Garcia,Luis Florentino,R,R,Fastball,Ball,,,000,-0.698020729,-0.230855717,
Top 1,1,1,2,1,'2-1,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Willy Garcia,Luis Florentino,R,R,Fastball,Called Strike,,,000,0.879276973,0.778929551,
Top 1,1,1,2,2,'2-2,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Willy Garcia,Luis Florentino,R,R,Fastball,Foul,,,000,-0.326891858,0.788109417,
Top 1,1,1,2,2,'2-2,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Willy Garcia,Luis Florentino,R,R,Offspeed,Foul,,,000,-0.698020729,0.117979194,
Top 1,1,1,2,2,'2-2,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Willy Garcia,Luis Florentino,R,R,Fastball,Ball,,,000,0.508148102,1.256282587,
Top 1,1,1,3,2,'3-2,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Willy Garcia,Luis Florentino,R,R,Fastball,Strikeout Swinging,,,000,-0.002154096,0.742210087,
Top 1,1,2,0,0,'0-0,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Malik Williams,Luis Florentino,R,R,Offspeed,Ball,,,000,-1.208322927,-0.038078529,
Top 1,1,2,1,0,'1-0,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Malik Williams,Luis Florentino,R,R,Fastball,Single,Ground Ball,Pull,000,0.322583666,0.283216783,
Top 1,1,2,0,0,'0-0,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,1.28,Ryan Rijo,Luis Florentino,L,R,Fastball,Ball,,,100,0.577734765,-0.194136252,
Top 1,1,2,1,0,'1-0,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,1.2,Ryan Rijo,Luis Florentino,L,R,Fastball,Ball,,,100,1.319992507,0.85236848,
Top 1,1,2,2,0,'2-0,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,1.28,Ryan Rijo,Luis Florentino,L,R,Fastball,Ball,,,100,1.134428072,1.182843658,
Top 1,1,2,3,0,'3-0,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,1.15,Ryan Rijo,Luis Florentino,L,R,Fastball,Walk,,,100,-1.161931818,0.163878524,
Top 1,1,2,0,0,'0-0,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Nolan Machibroda,Luis Florentino,L,R,Fastball,Called Strike,,,110,0.113823676,0.43009464,
Top 1,1,2,0,1,'0-1,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Nolan Machibroda,Luis Florentino,L,R,Offspeed,Ball,,,110,-0.674825175,-0.350193976,
Top 1,1,2,1,1,'1-1,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Nolan Machibroda,Luis Florentino,L,R,Fastball,Ball,,,011,1.737512488,0.999246337,
Top 1,1,2,2,1,'2-1,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Nolan Machibroda,Luis Florentino,L,R,Fastball,Ball,,,011,-0.790802947,-0.157416788,
Top 1,1,2,3,1,'3-1,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Nolan Machibroda,Luis Florentino,L,R,Fastball,Walk,,,011,0.484952547,-0.12987719,
Top 1,1,2,0,0,'0-0,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Tristan Clarke,Luis Florentino,R,R,Fastball,Called Strike,,,111,-0.558847403,0.246497319,
Top 1,1,2,0,1,'0-1,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Tristan Clarke,Luis Florentino,R,R,Fastball,Error,Fly Ball,Opposite Field,111,0.948863636,0.475993971,
Top 1,1,2,0,0,'0-0,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Adam Odd,Luis Florentino,L,R,Fastball,Foul,,,111,0.438561439,0.347475846,
Top 1,1,2,0,1,'0-1,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Adam Odd,Luis Florentino,L,R,Fastball,Swinging Strike,,,111,0.554539211,0.742210087,
Top 1,1,2,0,2,'0-2,Barrie Baycats,Toronto Maple Leafs,"June 11, 2025",,,,Adam Odd,Luis Florentino,L,R,Fastball,Popout,Pop Up,Pull,111,0.461756993,0.889087944,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Barrie Baycats,"June 11, 2025",,,,Ryan Dos Santos,Cesar Rosado,L,R,Fastball,Called Strike,,,000,0.044237013,0.834008747,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,Barrie Baycats,"June 11, 2025",,,,Ryan Dos Santos,Cesar Rosado,L,R,Fastball,Ball,,,000,-1.254714036,-0.194136252,
Bottom 1,1,0,1,1,'1-1,Toronto Maple Leafs,Barrie Baycats,"June 11, 2025",,,,Ryan Dos Santos,Cesar Rosado,L,R,Fastball,Ball,,,000,0.740103646,1.15530406,
Bottom 1,1,0,2,1,'2-1,Toronto Maple Leafs,Barrie Baycats,"June 11, 2025",,,,Ryan Dos Santos,Cesar Rosado,L,R,Fastball,Foul,,,000,0.461756993,0.714670489,
Bottom 1,1,0,2,2,'2-2,Toronto Maple Leafs,Barrie Baycats,"June 11, 2025",,,,Ryan Dos Santos,Cesar Rosado,L,R,Offspeed,Ball,,,000,1.366383616,1.10940473,
Bottom 1,1,0,3,2,'3-2,Toronto Maple Leafs,Barrie Baycats,"June 11, 2025",,,,Ryan Dos Santos,Cesar Rosado,L,R,Fastball,Walk,,,000,0.60093032,1.228742988,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Barrie Baycats,"June 11, 2025",,,1.13,Jhon Javier,Cesar Rosado,R,R,Fastball,Ball,,,100,0.113823676,1.219563122,
Bottom 1,1,0,1,0,'1-0,Toronto Maple Leafs,Barrie Baycats,"June 11, 2025",,,1.4,Jhon Javier,Cesar Rosado,R,R,Offspeed,Called Strike,,,100,-0.65162962,0.521893301,
Bottom 1,1,0,1,1,'1-1,Toronto Maple Leafs,Barrie Baycats,"June 11, 2025",,,1.41,Jhon Javier,Cesar Rosado,R,R,Fastball,Single,Line Drive,Straightaway,100,0.60093032,0.668771158,
