Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",Toronto Maple Leafs,Chatham-Kent Barnstormers,,Evan Morrison,Josh Berenbaum,L,R,Fastball,Foul,,,000,0.113823676,0.85236848,
Top 1,1,0,0,1,'0-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Evan Morrison,Josh Berenbaum,L,R,Fastball,Ball,,,000,0.508148102,1.228742988,
Top 1,1,0,1,1,'1-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Evan Morrison,Josh Berenbaum,L,R,Fastball,Single,Ground Ball,Straightaway,000,0.461756993,1.091044997,
Top 1,1,0,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,1.11,Spencer Marcus,Josh Berenbaum,R,R,Fastball,Foul,,,100,0.322583666,0.613691962,
Top 1,1,0,0,1,'0-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,1.16,Spencer Marcus,Josh Berenbaum,R,R,Offspeed,Ball,,,100,-0.674825175,1.10940473,
Top 1,1,0,1,1,'1-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,1.25,Spencer Marcus,Josh Berenbaum,R,R,Fastball,Foul,,,100,0.090628122,0.420914774,
Top 1,1,0,1,2,'1-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,1.23,Spencer Marcus,Josh Berenbaum,R,R,Offspeed,Ball,,,100,-0.512456294,1.072685265,
Top 1,1,0,2,2,'2-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,1.21,Spencer Marcus,Josh Berenbaum,R,R,Offspeed,Foul,,,100,-0.790802947,0.136338926,
Top 1,1,0,2,2,'2-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,1.3,Spencer Marcus,Josh Berenbaum,R,R,Offspeed,Ball,,,100,-0.187718531,1.256282587,
Top 1,1,0,3,2,'3-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Spencer Marcus,Josh Berenbaum,R,R,Fastball,Double,Fly Ball,Straightaway,100,0.18341034,0.549432899,
Top 1,1,0,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Mitsuzki Fukuda,Josh Berenbaum,R,R,Fastball,Swinging Strike,,,010,-0.489260739,0.971706738,
Top 1,1,0,0,1,'0-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Mitsuzki Fukuda,Josh Berenbaum,R,R,Offspeed,Ball,,,010,-1.022758492,-0.368553708,
Top 1,1,0,1,1,'1-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Mitsuzki Fukuda,Josh Berenbaum,R,R,Fastball,Foul,,,010,-0.419674076,0.402555042,
Top 1,1,0,1,2,'1-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Mitsuzki Fukuda,Josh Berenbaum,R,R,Offspeed,Ball,,,010,-1.48666958,-0.139057056,
Top 1,1,0,2,2,'2-2,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Mitsuzki Fukuda,Josh Berenbaum,R,R,Fastball,Double,Fly Ball,Opposite Field,010,-0.767607393,0.540253033,
Top 1,1,0,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Sadler Goodwin,Josh Berenbaum,R,R,Fastball,Ball,,,010,-0.558847403,1.247102721,
Top 1,1,0,1,0,'1-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Sadler Goodwin,Josh Berenbaum,R,R,Fastball,Foul,,,010,0.18341034,0.246497319,
Top 1,1,0,1,1,'1-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Sadler Goodwin,Josh Berenbaum,R,R,Offspeed,Ball,,,010,-1.579451798,0.567792631,
Top 1,1,0,2,1,'2-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Sadler Goodwin,Josh Berenbaum,R,R,Fastball,Flyout,Fly Ball,Straightaway,010,-0.582042957,0.907447676,
Top 1,1,1,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Braxton Haggith,Josh Berenbaum,L,R,Fastball,Foul,,,010,0.60093032,0.64123156,
Top 1,1,1,0,1,'0-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Braxton Haggith,Josh Berenbaum,L,R,Offspeed,Flyout,Fly Ball,Straightaway,010,0.577734765,0.347475846,
Top 1,1,2,0,0,'0-0,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Tim Wagner,Josh Berenbaum,R,R,Offspeed,Called Strike,,,010,-0.813998501,0.38419531,
Top 1,1,2,0,1,'0-1,Chatham-Kent Barnstormers,Toronto Maple Leafs,"June 15, 2025",,,,Tim Wagner,Josh Berenbaum,R,R,Offspeed,Groundout,Ground Ball,Pull,010,-0.65162962,0.191418123,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,L,Fastball,Called Strike,,,000,0.554539211,0.567792631,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,L,Fastball,Called Strike,,,000,-0.048545205,0.907447676,
Bottom 1,1,0,0,2,'0-2,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,L,Fastball,Ball,,,000,1.250405844,0.953347006,
Bottom 1,1,0,1,2,'1-2,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,L,Offspeed,Strikeout Swinging,,,000,0.693712537,0.209777855,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,,Jhon Javier,Mizuki Akatsuka,R,R,Fastball,Home Run,,,000,0.39217033,0.567792631,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,L,Fastball,Ball,,,000,1.250405844,0.834008747,
Bottom 1,1,1,1,0,'1-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,L,Offspeed,Ball,,,000,1.22721029,0.347475846,
Bottom 1,1,1,2,0,'2-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,L,Fastball,Ball,,,000,-1.417082917,0.751389953,
Bottom 1,1,1,3,0,'3-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,,Jordan Castaldo,Mizuki Akatsuka,L,L,Fastball,Walk,,,000,1.528752498,0.17305839,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,1.08,Rando Moreno,Mizuki Akatsuka,L,R,Offspeed,Ball,,,100,1.551948052,-0.102337592,
Bottom 1,1,1,1,0,'1-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,1.07,Rando Moreno,Mizuki Akatsuka,L,R,Fastball,Foul,,,100,0.18341034,0.38419531,
Bottom 1,1,1,1,1,'1-1,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,1.2,Rando Moreno,Mizuki Akatsuka,L,R,Offspeed,Ball,,,100,1.296796953,0.68713089,
Bottom 1,1,1,2,1,'2-1,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,0.98,Rando Moreno,Mizuki Akatsuka,L,R,Fastball,Foul,,,100,0.879276973,0.604512096,
Bottom 1,1,1,2,2,'2-2,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,1.12,Rando Moreno,Mizuki Akatsuka,L,R,Fastball,Foul,,,100,0.229801449,0.971706738,
Bottom 1,1,1,2,2,'2-2,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,1.16,Rando Moreno,Mizuki Akatsuka,L,R,Offspeed,Flyout,Fly Ball,Opposite Field,100,0.60093032,0.494353703,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Chatham-Kent Barnstormers,"June 15, 2025",,,1.02,Marcus Knecht,Mizuki Akatsuka,R,R,Offspeed,Swinging Strike,,,100,-0.303696304,-0.203316119,
