Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",Toronto Maple Leafs,Hamilton Cardinals,,Yolki Pena,Taylor Lepard,L,R,Offspeed,Called Strike,,,000,0.577734765,0.622871828,
Top 1,1,0,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Yolki Pena,Taylor Lepard,L,R,Offspeed,Ball,,,000,1.064841409,1.210383256,
Top 1,1,0,1,1,'1-1,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Yolki Pena,Taylor Lepard,L,R,Offspeed,Ball,,,000,0.60093032,0.43009464,
Top 1,1,0,2,1,'2-1,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Yolki Pena,Taylor Lepard,L,R,Offspeed,Foul,,,000,0.647321429,0.604512096,
Top 1,1,0,2,2,'2-2,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Yolki Pena,Taylor Lepard,L,R,Fastball,Single,Line Drive,Straightaway,000,0.415365884,0.889087944,
Top 1,1,0,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,1.1,Niko Kekatos,Taylor Lepard,R,R,Fastball,Flyout,Pop Up,Pull,100,0.554539211,0.733030221,
Top 1,1,1,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,1.26,Brandon Nicoll,Taylor Lepard,R,R,Fastball,Called Strike,,,100,-0.535651848,0.301576515,
Top 1,1,1,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,1.09,Brandon Nicoll,Taylor Lepard,R,R,Offspeed,Double,Ground Ball,Pull,100,0.624125874,0.696310756,
Top 1,1,1,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Josh Williams,Taylor Lepard,L,R,Offspeed,Called Strike,,,011,0.647321429,0.797289283,
Top 1,1,1,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Josh Williams,Taylor Lepard,L,R,Offspeed,Ball,,,011,1.0184503,-0.359373842,
Top 1,1,1,1,1,'1-1,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Josh Williams,Taylor Lepard,L,R,Offspeed,Ball,,,011,-0.813998501,-0.249215449,
Top 1,1,1,2,1,'2-1,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Josh Williams,Taylor Lepard,L,R,Offspeed,Ball,,,011,-1.625842907,-0.184956386,
Top 1,1,1,3,1,'3-1,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Josh Williams,Taylor Lepard,L,R,Offspeed,Swinging Strike,,,011,-0.002154096,0.090439596,
Top 1,1,1,3,2,'3-2,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Josh Williams,Taylor Lepard,L,R,Offspeed,Strikeout Looking,,,011,-0.094936314,0.531073167,
Top 1,1,2,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Carlos Dominguez,Taylor Lepard,R,R,Fastball,Flyout,Fly Ball,Straightaway,011,-0.466065185,0.237317453,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Ryan Dos Santos,Owen Boon,L,R,Fastball,Called Strike,,,000,0.670516983,0.485173837,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Ryan Dos Santos,Owen Boon,L,R,Offspeed,Ball,,,000,-1.625842907,-0.194136252,
Bottom 1,1,0,1,1,'1-1,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Ryan Dos Santos,Owen Boon,L,R,Fastball,Swinging Strike,,,000,0.090628122,0.89826781,
Bottom 1,1,0,1,2,'1-2,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Ryan Dos Santos,Owen Boon,L,R,Fastball,Ball,,,000,0.345779221,1.210383256,
Bottom 1,1,0,2,2,'2-2,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Ryan Dos Santos,Owen Boon,L,R,Offspeed,Foul,,,000,1.134428072,0.08125973,
Bottom 1,1,0,2,2,'2-2,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Ryan Dos Santos,Owen Boon,L,R,Fastball,Ball,,,000,-0.23410964,1.283822185,
Bottom 1,1,0,3,2,'3-2,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Ryan Dos Santos,Owen Boon,L,R,Offspeed,Walk,,,000,0.624125874,-0.276755047,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,1.26,Jhon Javier,Owen Boon,R,R,Offspeed,Flyout,Fly Ball,Opposite Field,100,-0.721216284,0.613691962,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,1.19,Jordan Castaldo,Owen Boon,L,R,Offspeed,Ball,,,100,1.180819181,0.301576515,
Bottom 1,1,1,1,0,'1-0,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,1.2,Jordan Castaldo,Owen Boon,L,R,Fastball,Called Strike,,,100,0.044237013,0.090439596,
Bottom 1,1,1,1,1,'1-1,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Jordan Castaldo,Owen Boon,L,R,Offspeed,Called Strike,,,010,-0.489260739,0.705490622,
Bottom 1,1,1,1,2,'1-2,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Jordan Castaldo,Owen Boon,L,R,Offspeed,Groundout,Ground Ball,Straightaway,010,0.484952547,0.237317453,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Marcus Knecht,Owen Boon,R,R,Fastball,Foul,,,001,0.554539211,0.64123156,
Bottom 1,1,2,0,1,'0-1,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Marcus Knecht,Owen Boon,R,R,Fastball,Swinging Strike,,,001,0.508148102,0.540253033,
Bottom 1,1,2,0,2,'0-2,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Marcus Knecht,Owen Boon,R,R,Offspeed,Foul,,,001,0.252997003,0.17305839,
Bottom 1,1,2,0,2,'0-2,Toronto Maple Leafs,Hamilton Cardinals,"June 25, 2025",,,,Marcus Knecht,Owen Boon,R,R,Offspeed,Groundout,Ground Ball,Pull,001,0.021041459,0.760569819,
Top 2,2,0,0,0,'0-0,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Tylder Duncan,Taylor Lepard,L,R,Fastball,Foul,,,000,-0.002154096,0.503533569,
Top 2,2,0,0,1,'0-1,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Tylder Duncan,Taylor Lepard,L,R,Fastball,Swinging Strike,,,000,0.461756993,0.815649015,
Top 2,2,0,0,2,'0-2,Hamilton Cardinals,Toronto Maple Leafs,"June 25, 2025",,,,Tylder Duncan,Taylor Lepard,L,R,Fastball,Ball,,,000,0.972059191,1.311361783,
