Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",Toronto Maple Leafs,Guelph Royals,,J.D. Williams,Wilgenis Alvarado,R,L,Fastball,Ball,,,000,0.508148102,-0.276755047,
Top 1,1,0,1,0,'1-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,J.D. Williams,Wilgenis Alvarado,R,L,Fastball,Flyout,Fly Ball,Straightaway,000,0.39217033,0.586152364,
Top 1,1,1,0,0,'0-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Conner Morro,Wilgenis Alvarado,R,L,Fastball,Ball,,,000,1.088036963,-0.322654377,
Top 1,1,1,1,0,'1-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Conner Morro,Wilgenis Alvarado,R,L,Fastball,Called Strike,,,000,0.160214785,0.85236848,
Top 1,1,1,1,1,'1-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Conner Morro,Wilgenis Alvarado,R,L,Offspeed,Ball,,,000,-1.27790959,0.650411426,
Top 1,1,1,2,1,'2-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Conner Morro,Wilgenis Alvarado,R,L,Offspeed,Called Strike,,,000,-0.605238511,0.503533569,
Top 1,1,1,2,2,'2-2,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Conner Morro,Wilgenis Alvarado,R,L,Fastball,Groundout,Ground Ball,Pull,000,-0.535651848,0.622871828,
Top 1,1,2,0,0,'0-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Andy Leader,Wilgenis Alvarado,R,L,Offspeed,Ball,,,000,1.366383616,-0.17577652,
Top 1,1,2,1,0,'1-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Andy Leader,Wilgenis Alvarado,R,L,Fastball,Called Strike,,,000,-0.605238511,0.751389953,
Top 1,1,2,1,1,'1-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Andy Leader,Wilgenis Alvarado,R,L,Fastball,Ball,,,000,0.832885864,0.861548346,
Top 1,1,2,2,1,'2-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Andy Leader,Wilgenis Alvarado,R,L,Offspeed,Called Strike,,,000,-0.303696304,0.494353703,
Top 1,1,2,2,2,'2-2,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Andy Leader,Wilgenis Alvarado,R,L,Offspeed,Ball,,,000,-0.744411838,0.17305839,
Top 1,1,2,3,2,'3-2,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Andy Leader,Wilgenis Alvarado,R,L,Offspeed,Foul,,,000,0.067432567,0.356655712,
Top 1,1,2,3,2,'3-2,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Andy Leader,Wilgenis Alvarado,R,L,Fastball,Strikeout Looking,,,000,-0.628434066,0.870728212,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Ryan Dos Santos,Sebastian Rodriguez,L,R,Fastball,Called Strike,,,000,0.345779221,0.365835578,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Ryan Dos Santos,Sebastian Rodriguez,L,R,Offspeed,Swinging Strike,,,000,0.137019231,-0.17577652,
Bottom 1,1,0,0,2,'0-2,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Ryan Dos Santos,Sebastian Rodriguez,L,R,Fastball,Ball,,,000,-0.65162962,0.33829598,
Bottom 1,1,0,1,2,'1-2,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Ryan Dos Santos,Sebastian Rodriguez,L,R,Offspeed,Ball,,,000,-0.002154096,-0.350193976,
Bottom 1,1,0,2,2,'2-2,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Ryan Dos Santos,Sebastian Rodriguez,L,R,Offspeed,Foul,,,000,0.438561439,0.356655712,
Bottom 1,1,0,2,2,'2-2,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Ryan Dos Santos,Sebastian Rodriguez,L,R,Offspeed,Ball,,,000,-0.929976274,-0.240035583,
Bottom 1,1,0,3,2,'3-2,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Ryan Dos Santos,Sebastian Rodriguez,L,R,Fastball,Double,Fly Ball,Straightaway,000,0.39217033,0.191418123,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Jhon Javier,Sebastian Rodriguez,R,R,Offspeed,Foul,,,010,0.763299201,0.586152364,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Jhon Javier,Sebastian Rodriguez,R,R,Offspeed,Home Run,Fly Ball,Pull,010,0.368974775,0.485173837,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Jordan Castaldo,Sebastian Rodriguez,L,R,Fastball,Ball,,,000,1.621534715,0.632051694,
Bottom 1,1,0,1,0,'1-0,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Jordan Castaldo,Sebastian Rodriguez,L,R,Fastball,Flyout,Fly Ball,Straightaway,000,0.067432567,0.292396649,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Marcus Knecht,Sebastian Rodriguez,R,R,Fastball,Foul,,,000,-0.280500749,0.191418123,
Bottom 1,1,1,0,1,'0-1,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Marcus Knecht,Sebastian Rodriguez,R,R,Offspeed,Ball,,,000,-1.463474026,-0.019718797,
Bottom 1,1,1,1,1,'1-1,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Marcus Knecht,Sebastian Rodriguez,R,R,Offspeed,Ball,,,000,-1.417082917,0.420914774,
Bottom 1,1,1,2,1,'2-1,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Marcus Knecht,Sebastian Rodriguez,R,R,Fastball,Ball,,,000,0.206605894,0.540253033,
Bottom 1,1,1,3,1,'3-1,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Marcus Knecht,Sebastian Rodriguez,R,R,Fastball,Ball,,,000,1.273601399,0.402555042,
Bottom 1,1,1,4,1,'4-1,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Marcus Knecht,Sebastian Rodriguez,R,R,Offspeed,Single,Ground Ball,Straightaway,000,-0.605238511,0.154698658,
Bottom 1,1,1,0,0,'0-0,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,1.31,Rando Moreno,Sebastian Rodriguez,L,R,Fastball,Called Strike,,,100,1.157623626,0.319936247,
Bottom 1,1,1,0,1,'0-1,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,1.37,Rando Moreno,Sebastian Rodriguez,L,R,Fastball,Foul,,,100,0.461756993,0.356655712,
Bottom 1,1,1,0,2,'0-2,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,1.33,Rando Moreno,Sebastian Rodriguez,L,R,Fastball,Foul,,,100,1.22721029,0.33829598,
Bottom 1,1,1,0,2,'0-2,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Rando Moreno,Sebastian Rodriguez,L,R,Offspeed,Foul,,,100,-0.489260739,0.567792631,
Bottom 1,1,1,0,2,'0-2,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,1.24,Rando Moreno,Sebastian Rodriguez,L,R,Fastball,Flyout,Fly Ball,Straightaway,100,0.508148102,0.650411426,
Bottom 1,1,2,0,0,'0-0,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,1.37,Justin Marra,Sebastian Rodriguez,L,R,Offspeed,Ball,,,100,-1.138736264,0.815649015,
Bottom 1,1,2,1,0,'1-0,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,1.38,Justin Marra,Sebastian Rodriguez,L,R,Fastball,Foul,,,100,0.415365884,0.402555042,
Bottom 1,1,2,1,1,'1-1,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,1.38,Justin Marra,Sebastian Rodriguez,L,R,Fastball,Called Strike,,,100,1.180819181,0.604512096,
Bottom 1,1,2,1,2,'1-2,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,1.34,Justin Marra,Sebastian Rodriguez,L,R,Offspeed,Foul,,,100,-1.115540709,0.760569819,
Bottom 1,1,2,1,2,'1-2,Toronto Maple Leafs,Guelph Royals,"June 27, 2025",,,,Justin Marra,Sebastian Rodriguez,L,R,Offspeed,Strikeout Swinging,,,100,0.647321429,-0.43281277,
Top 2,2,0,0,0,'0-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Liam Wilson,Wilgenis Alvarado,R,L,Fastball,Hit By Pitch,,,000,2.06225025,0.007820801,
Top 2,2,0,0,0,'0-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,1.15,Matthew Ward,Wilgenis Alvarado,R,L,Fastball,Called Strike,,,100,0.670516983,0.274036917,
Top 2,2,0,0,1,'0-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Matthew Ward,Wilgenis Alvarado,R,L,Fastball,Groundout,Ground Ball,Pull,100,0.716908092,0.503533569,
Top 2,2,1,0,0,'0-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,1.07,Mark Nellis,Wilgenis Alvarado,R,L,Fastball,Foul,,,100,0.299388112,0.613691962,
Top 2,2,1,0,1,'0-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,1.01,Mark Nellis,Wilgenis Alvarado,R,L,Fastball,Single,Ground Ball,Pull,100,-0.048545205,0.558612765,
Top 2,2,1,0,0,'0-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Brando Leroux,Wilgenis Alvarado,R,L,Offspeed,Swinging Strike,,,110,-0.44286963,-0.17577652,
Top 2,2,1,0,1,'0-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Brando Leroux,Wilgenis Alvarado,R,L,Offspeed,Ball,,,110,-1.602647353,0.007820801,
Top 2,2,1,1,1,'1-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Brando Leroux,Wilgenis Alvarado,R,L,Fastball,Ball,,,110,0.925668082,-0.38691344,
Top 2,2,1,2,1,'2-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Brando Leroux,Wilgenis Alvarado,R,L,Fastball,Foul,,,110,0.484952547,0.393375176,
Top 2,2,1,2,2,'2-2,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Brando Leroux,Wilgenis Alvarado,R,L,Offspeed,Single,Line Drive,Straightaway,110,-0.628434066,0.283216783,
Top 2,2,1,0,0,'0-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Carson Burns,Wilgenis Alvarado,L,L,Fastball,Ball,,,111,1.366383616,0.292396649,
Top 2,2,1,1,0,'1-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Carson Burns,Wilgenis Alvarado,L,L,Fastball,Ball,,,111,1.598339161,0.017000667,
Top 2,2,1,2,0,'2-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Carson Burns,Wilgenis Alvarado,L,L,Fastball,Called Strike,,,111,0.670516983,0.420914774,
Top 2,2,1,2,1,'2-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Carson Burns,Wilgenis Alvarado,L,L,Fastball,Ball,,,111,0.716908092,-0.258395315,
Top 2,2,1,3,1,'3-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Carson Burns,Wilgenis Alvarado,L,L,Fastball,Groundout,Ground Ball,Pull,111,0.137019231,0.824828881,
Top 2,2,2,0,0,'0-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Ethan Hammond,Wilgenis Alvarado,L,L,Fastball,Ball,,,101,1.64473027,-0.313474511,
Top 2,2,2,1,0,'1-0,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Ethan Hammond,Wilgenis Alvarado,L,L,Fastball,Foul,,,101,-0.002154096,0.889087944,
Top 2,2,2,1,1,'1-1,Guelph Royals,Toronto Maple Leafs,"June 27, 2025",,,,Ethan Hammond,Wilgenis Alvarado,L,L,Offspeed,Ball,,,101,1.969468032,-0.212495985,
