Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Brantford Red Sox,Barrie Baycats,"June 28, 2026",Barrie Baycats,Brantford Red Sox,,Ethan Paulos,Juan Benitez,L,R,Fastball,Called Strike,,,000,0.2159243394,0.5528554505,
Top 1,1,0,0,1,'0-1,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Ethan Paulos,Juan Benitez,L,R,Fastball,Ball,,,000,1.385489781,0.5642374231,
Top 1,1,0,1,1,'1-1,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Ethan Paulos,Juan Benitez,L,R,Fastball,Called Strike,,,000,-0.3496851775,0.3100400335,
Top 1,1,0,1,2,'1-2,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Ethan Paulos,Juan Benitez,L,R,Offspeed,Groundout,Ground Ball,Opposite Field,000,0.1871645334,0.1355164525,
Top 1,1,1,0,0,'0-0,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Ren Tachioka,Juan Benitez,L,R,,Called Strike,,,000,,,
Top 1,1,1,0,1,'0-1,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Ren Tachioka,Juan Benitez,L,R,Fastball,Foul,,,000,-0.5030708092,0.6666751772,
Top 1,1,1,0,2,'0-2,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Ren Tachioka,Juan Benitez,L,R,Fastball,Ball,,,000,1.117064926,0.8905206397,
Top 1,1,1,1,2,'1-2,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Ren Tachioka,Juan Benitez,L,R,Fastball,Foul,,,000,-0.5030708092,0.5642374231,
Top 1,1,1,1,2,'1-2,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Ren Tachioka,Juan Benitez,L,R,Offspeed,Foul,,,000,-0.6852162469,0.08240058008,
Top 1,1,1,1,2,'1-2,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Ren Tachioka,Juan Benitez,L,R,Offspeed,Double,Fly Ball,Opposite Field,000,-0.3784449835,0.6173532956,
Top 1,1,1,0,0,'0-0,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Cassidy Watt,Juan Benitez,R,R,Offspeed,Ball,,,010,-1.068680326,-0.156620846,
Top 1,1,1,1,0,'1-0,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Cassidy Watt,Juan Benitez,R,R,Fastball,Called Strike,,,010,-0.9536411024,0.09757654364,
Top 1,1,1,1,1,'1-1,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Cassidy Watt,Juan Benitez,R,R,Fastball,Foul,,,010,-1.030333918,0.4466237055,
Top 1,1,1,1,2,'1-2,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Cassidy Watt,Juan Benitez,R,R,Offspeed,Groundout,Ground Ball,Pull,010,0.1008851156,0.2113962703,
Top 1,1,2,0,0,'0-0,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Chris Ortega,Juan Benitez,R,R,Fastball,Called Strike,,,001,0.4555893889,0.4162717784,
Top 1,1,2,0,1,'0-1,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Chris Ortega,Juan Benitez,R,R,Fastball,Called Strike,,,001,-0.4263779934,0.4769756327,
Top 1,1,2,0,2,'0-2,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Chris Ortega,Juan Benitez,R,R,Fastball,Foul,,,001,-0.7139760528,0.3138340244,
Top 1,1,2,0,2,'0-2,Brantford Red Sox,Barrie Baycats,"June 28, 2026",,,,Chris Ortega,Juan Benitez,R,R,Fastball,Foul,,,001,1.337556771,0.9815764211,
