Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,London Majors,Welland Jackfish,"June 28, 2025",Welland Jackfish,London Majors,,Toby Simmons,Teodoro Ortega,L,R,Fastball,Ball,,,000,-1.182320793,-0.08041698628,
Top 1,1,0,1,0,'1-0,London Majors,Welland Jackfish,"June 28, 2025",,,,Toby Simmons,Teodoro Ortega,L,R,Fastball,Foul,,,000,-0.8872172089,0.3820718534,
Top 1,1,0,1,1,'1-1,London Majors,Welland Jackfish,"June 28, 2025",,,,Toby Simmons,Teodoro Ortega,L,R,Offspeed,Ball,,,000,0.3522178444,0.8492322976,
Top 1,1,0,2,1,'2-1,London Majors,Welland Jackfish,"June 28, 2025",,,,Toby Simmons,Teodoro Ortega,L,R,Fastball,Swinging Strike,,,000,-0.8163923488,0.09243237805,
Top 1,1,0,2,2,'2-2,London Majors,Welland Jackfish,"June 28, 2025",,,,Toby Simmons,Teodoro Ortega,L,R,Fastball,Ball,,,000,-0.8990213523,-0.3560416483,
Top 1,1,0,3,2,'3-2,London Majors,Welland Jackfish,"June 28, 2025",,,,Toby Simmons,Teodoro Ortega,L,R,Fastball,Walk,,,000,1.579848754,0.9333211775,
Top 1,1,0,0,0,'0-0,London Majors,Welland Jackfish,"June 28, 2025",,,1.71,Francisco Fajardo,Teodoro Ortega,L,R,Fastball,Ball,,,100,0.7417545755,0.134476818,
Top 1,1,0,1,0,'1-0,London Majors,Welland Jackfish,"June 28, 2025",,,1.72,Francisco Fajardo,Teodoro Ortega,L,R,Fastball,Called Strike,,,100,0.9778374428,0.07374596029,
Top 1,1,0,1,1,'1-1,London Majors,Welland Jackfish,"June 28, 2025",,,,Francisco Fajardo,Teodoro Ortega,L,R,,Ball,,,100,,,
Top 1,1,0,2,1,'2-1,London Majors,Welland Jackfish,"June 28, 2025",,,1.63,Francisco Fajardo,Teodoro Ortega,L,R,Fastball,Double,,,100,0.3404137011,0.3119977868,
Top 1,1,0,0,0,'0-0,London Majors,Welland Jackfish,"June 28, 2025",,,,Tucker Zdunich,Teodoro Ortega,L,R,Fastball,Ball,,,011,1.509023894,1.054782893,
Top 1,1,0,1,0,'1-0,London Majors,Welland Jackfish,"June 28, 2025",,,,Tucker Zdunich,Teodoro Ortega,L,R,Fastball,Called Strike,,,011,0.694538002,0.1017755869,
