Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Welland Jackfish,Barrie Baycats,"June 5, 2025",Barrie Baycats,Welland Jackfish,,Jonah Weisner,Cesar Rosado,L,R,Fastball,Ball,,,000,1.272941027,0.5082051733,
Top 1,1,0,1,0,'1-0,Welland Jackfish,Barrie Baycats,"June 5, 2025",,,,Jonah Weisner,Cesar Rosado,L,R,Fastball,Foul,,,000,0.8007752923,0.5689360311,
Top 1,1,0,1,1,'1-1,Welland Jackfish,Barrie Baycats,"June 5, 2025",,,,Jonah Weisner,Cesar Rosado,L,R,Offspeed,Groundout,Ground Ball,Straightaway,000,0.6591255719,0.1157904003,
Top 1,1,1,0,0,'0-0,Welland Jackfish,Barrie Baycats,"June 5, 2025",,,,Gianfranco Morello,Cesar Rosado,L,R,Fastball,Ball,,,000,1.662477758,0.9286495731,
Top 1,1,1,1,0,'1-0,Welland Jackfish,Barrie Baycats,"June 5, 2025",,,,Gianfranco Morello,Cesar Rosado,L,R,Offspeed,Swinging Strike,,,000,0.3876302745,0.1718496536,
Top 1,1,1,1,1,'1-1,Welland Jackfish,Barrie Baycats,"June 5, 2025",,,,Gianfranco Morello,Cesar Rosado,L,R,Fastball,Called Strike,,,000,1.084074733,0.4241162934,
Top 1,1,1,1,2,'1-2,Welland Jackfish,Barrie Baycats,"June 5, 2025",,,,Gianfranco Morello,Cesar Rosado,L,R,Fastball,Single,Fly Ball,Pull,000,0.3522178444,0.2559385335,
Top 1,1,1,0,0,'0-0,Welland Jackfish,Barrie Baycats,"June 5, 2025",,,1.32,Jake Sanford,Cesar Rosado,L,R,Fastball,Double Play,Ground Ball,Straightaway,100,-0.04912302999,0.8632471109,
Bottom 1,1,0,0,0,'0-0,Barrie Baycats,Welland Jackfish,"June 5, 2025",,,,Noel McGarry-Doyle,Teodoro Ortega,L,R,Fastball,Foul,,,000,-0.4386597611,0.7744866265,
Bottom 1,1,0,0,1,'0-1,Barrie Baycats,Welland Jackfish,"June 5, 2025",,,,Noel McGarry-Doyle,Teodoro Ortega,L,R,Offspeed,Foul,,,000,-0.5448970513,0.2138940935,
