Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Welland Jackfish,Barrie Baycats,"June 6, 2025",Barrie Baycats,Welland Jackfish,,Jonah Weisner,Cesar Rosado,L,R,Fastball,Ball,,,000,1.43001907,-0.0325074,
Top 1,1,0,1,0,'1-0,Welland Jackfish,Barrie Baycats,"June 6, 2025",,,,Jonah Weisner,Cesar Rosado,L,R,Fastball,Foul,,,000,0.49330106,0.94964733,
Top 1,1,0,1,1,'1-1,Welland Jackfish,Barrie Baycats,"June 6, 2025",,,,Jonah Weisner,Cesar Rosado,L,R,Offspeed,Groundout,Ground Ball,Pull,000,-0.3825911,0.13599957,
Top 1,1,1,0,0,'0-0,Welland Jackfish,Barrie Baycats,"June 6, 2025",,,,Gianfranco Morello,Cesar Rosado,L,R,Fastball,Ball,,,000,2.02611234,1.05075149,
Top 1,1,1,1,0,'1-0,Welland Jackfish,Barrie Baycats,"June 6, 2025",,,,Gianfranco Morello,Cesar Rosado,L,R,Offspeed,Foul,,,000,0.65144826,0.45856998,
Top 1,1,1,1,1,'1-1,Welland Jackfish,Barrie Baycats,"June 6, 2025",,,,Gianfranco Morello,Cesar Rosado,L,R,Fastball,Called Strike,,,000,0.78526511,0.16488647,
Top 1,1,1,1,2,'1-2,Welland Jackfish,Barrie Baycats,"June 6, 2025",,,,Gianfranco Morello,Cesar Rosado,L,R,Fastball,Single,Pop Up,Straightaway,000,-0.6380596,0.52597276,
Top 1,1,1,0,0,'0-0,Welland Jackfish,Barrie Baycats,"June 6, 2025",,,1.23,Jake Sanford,Cesar Rosado,L,R,Fastball,Double Play,Ground Ball,Opposite Field,100,0.24999768,0.73299556,
Bottom 1,1,0,0,0,'0-0,Barrie Baycats,Welland Jackfish,"June 6, 2025",,,,Noel McGarry Doyle,Teo Ortega,L,R,Fastball,Foul,,,000,0.59062241,0.67522175,
Bottom 1,1,0,0,1,'0-1,Barrie Baycats,Welland Jackfish,"June 6, 2025",,,,Noel McGarry Doyle,Teo Ortega,L,R,Fastball,Foul,,,000,-0.6258945,0.03489541,
Bottom 1,1,0,0,2,'0-2,Barrie Baycats,Welland Jackfish,"June 6, 2025",,,,Noel McGarry Doyle,Teo Ortega,L,R,Fastball,Foul,,,000,0.40814488,0.99297769,
Bottom 1,1,0,0,2,'0-2,Barrie Baycats,Welland Jackfish,"June 6, 2025",,,,Noel McGarry Doyle,Teo Ortega,L,R,Fastball,Strikeout Looking,,,000,0.79743028,0.11674163,
Bottom 1,1,1,0,0,'0-0,Barrie Baycats,Welland Jackfish,"June 6, 2025",,,,Brandon Hernandez,Teo Ortega,L,R,Offspeed,Foul,,,000,-0.7597113,0.25636166,
