Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,London Majors,Welland Jackfish,"June 7, 2025",Welland Jackfish,London Majors,,Toby Simmons,Ben Abram,L,R,Fastball,Called Strike,,,000,1.19614,0.849062898,
Top 1,1,0,0,1,'0-1,London Majors,Welland Jackfish,"June 7, 2025",,,,Toby Simmons,Ben Abram,L,R,Offspeed,Ball,,,000,1.684917143,0.295125936,
Top 1,1,0,1,1,'1-1,London Majors,Welland Jackfish,"June 7, 2025",,,,Toby Simmons,Ben Abram,L,R,Fastball,Foul,,,000,0.57406,0.48856424,
Top 1,1,0,1,2,'1-2,London Majors,Welland Jackfish,"June 7, 2025",,,,Toby Simmons,Ben Abram,L,R,Offspeed,Ball,,,000,-1.536568571,-0.126921272,
Top 1,1,0,2,2,'2-2,London Majors,Welland Jackfish,"June 7, 2025",,,,Toby Simmons,Ben Abram,L,R,Fastball,Foul,,,000,0.72958,0.761136396,
Top 1,1,0,2,2,'2-2,London Majors,Welland Jackfish,"June 7, 2025",,,,Toby Simmons,Ben Abram,L,R,Fastball,Foul,,,000,-0.136888571,0.831477597,
Top 1,1,0,2,2,'2-2,London Majors,Welland Jackfish,"June 7, 2025",,,,Toby Simmons,Ben Abram,L,R,Offspeed,Groundout,Ground Ball,Pull,000,0.018631429,0.435808339,
Top 1,1,1,0,0,'0-0,London Majors,Welland Jackfish,"June 7, 2025",,,,Francisco Fajardo,Ben Abram,L,R,Offspeed,Swinging Strike,,,000,-0.247974286,0.277540636,
Top 1,1,1,0,1,'0-1,London Majors,Welland Jackfish,"June 7, 2025",,,,Francisco Fajardo,Ben Abram,L,R,Fastball,Foul,,,000,0.218585714,0.321503887,
Top 1,1,1,0,2,'0-2,London Majors,Welland Jackfish,"June 7, 2025",,,,Francisco Fajardo,Ben Abram,L,R,,Ball,,,000,,,
Top 1,1,1,1,2,'1-2,London Majors,Welland Jackfish,"June 7, 2025",,,,Francisco Fajardo,Ben Abram,L,R,Fastball,Groundout,Ground Ball,Straightaway,000,1.19614,0.717173145,
Top 1,1,2,0,0,'0-0,London Majors,Welland Jackfish,"June 7, 2025",,,,Tucker Zdunich,Ben Abram,L,R,Fastball,Foul,,,000,-0.6701,0.690795194,
Top 1,1,2,0,1,'0-1,London Majors,Welland Jackfish,"June 7, 2025",,,,Tucker Zdunich,Ben Abram,L,R,Fastball,Home Run,Fly Ball,Pull,000,-0.35906,0.347881837,
Top 1,1,2,0,0,'0-0,London Majors,Welland Jackfish,"June 7, 2025",,,,Eduardo De Oleo,Ben Abram,R,R,Offspeed,Called Strike,,,000,0.662928571,0.805099647,
Top 1,1,2,0,1,'0-1,London Majors,Welland Jackfish,"June 7, 2025",,,,Eduardo De Oleo,Ben Abram,R,R,Fastball,Groundout,Ground Ball,Pull,000,0.26302,0.743551095,
Bottom 1,1,0,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,Jonah Weisner,Travis Keys,L,L,Fastball,Called Strike,,,000,0.507408571,0.919404099,
Bottom 1,1,0,0,1,'0-1,Welland Jackfish,London Majors,"June 7, 2025",,,,Jonah Weisner,Travis Keys,L,L,Offspeed,Ball,,,000,0.129717143,-0.293981625,
Bottom 1,1,0,1,1,'1-1,Welland Jackfish,London Majors,"June 7, 2025",,,,Jonah Weisner,Travis Keys,L,L,Offspeed,Single,Ground Ball,Pull,000,0.485191429,0.47097894,
Bottom 1,1,0,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,Gianfranco Morello,Travis Keys,L,L,Fastball,Called Strike,,,100,-0.159105714,0.893026148,
Bottom 1,1,0,0,1,'0-1,Welland Jackfish,London Majors,"June 7, 2025",,,1.53,Gianfranco Morello,Travis Keys,L,L,Fastball,Foul,,,100,0.796231429,0.699587845,
Bottom 1,1,0,0,2,'0-2,Welland Jackfish,London Majors,"June 7, 2025",,,1.55,Gianfranco Morello,Travis Keys,L,L,Fastball,Ball,,,100,0.662928571,-0.223640424,
Bottom 1,1,0,1,2,'1-2,Welland Jackfish,London Majors,"June 7, 2025",,,,Gianfranco Morello,Travis Keys,L,L,Offspeed,Ball,,,100,1.129488571,0.849062898,
Bottom 1,1,0,2,2,'2-2,Welland Jackfish,London Majors,"June 7, 2025",,,,Gianfranco Morello,Travis Keys,L,L,Offspeed,Ball,,,000,1.573831429,-0.03899477,
Bottom 1,1,0,3,2,'3-2,Welland Jackfish,London Majors,"June 7, 2025",,,,Gianfranco Morello,Travis Keys,L,L,Fastball,Flyout,Fly Ball,Straightaway,000,-0.159105714,0.805099647,
Bottom 1,1,1,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,Matteo Porcellato,Travis Keys,L,L,,Ball,,,000,,,
Bottom 1,1,1,1,0,'1-0,Welland Jackfish,London Majors,"June 7, 2025",,,,Matteo Porcellato,Travis Keys,L,L,,Hit By Pitch,,,000,,,
Bottom 1,1,1,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,Robert Mullen,Travis Keys,R,L,,Ball,,,100,,,
Bottom 1,1,1,1,0,'1-0,Welland Jackfish,London Majors,"June 7, 2025",,,,Robert Mullen,Travis Keys,R,L,Offspeed,Ball,,,010,-1.469917143,0.9545747,
Bottom 1,1,1,2,0,'2-0,Welland Jackfish,London Majors,"June 7, 2025",,,,Robert Mullen,Travis Keys,R,L,,Called Strike,,,010,,,
Bottom 1,1,1,2,1,'2-1,Welland Jackfish,London Majors,"June 7, 2025",,,,Robert Mullen,Travis Keys,R,L,Offspeed,Groundout,Ground Ball,Pull,010,-0.736751429,0.321503887,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,L,L,,,,,000,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,London Majors,"June 7, 2025",,,,,Travis Keys,,,,,,,,,,
