Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Guelph Royals,Kitchener Panthers,,Kitchener Panthers,Guelph Royals,,J.D. Williams,Yadian Martinez,R,R,Fastball,Called Strike,,,000,-0.8311351,0.41255179,
Top 1,1,0,0,1,'0-1,Guelph Royals,Kitchener Panthers,,,,,J.D. Williams,Yadian Martinez,R,R,Fastball,Ball,,,000,-1.4982043,0.0004556,
Top 1,1,0,1,1,'1-1,Guelph Royals,Kitchener Panthers,,,,,J.D. Williams,Yadian Martinez,R,R,Fastball,Called Strike,,,000,1.00737274,0.36103976,
Top 1,1,0,1,2,'1-2,Guelph Royals,Kitchener Panthers,,,,,J.D. Williams,Yadian Martinez,R,R,Offspeed,Foul,,,000,-1.4819343,0.30308874,
Top 1,1,0,1,2,'1-2,Guelph Royals,Kitchener Panthers,,,,,J.D. Williams,Yadian Martinez,R,R,Fastball,Ball,,,000,-1.0589148,-0.0124224,
Top 1,1,0,2,2,'2-2,Guelph Royals,Kitchener Panthers,,,,,J.D. Williams,Yadian Martinez,R,R,Fastball,Groundout,Ground Ball,Pull,000,-0.7497852,0.13567466,
Top 1,1,1,0,0,'0-0,Guelph Royals,Kitchener Panthers,,,,,Brando Leroux,Yadian Martinez,R,R,Offspeed,Swinging Strike,,,000,-1.2378846,-0.0768124,
Top 1,1,1,0,1,'0-1,Guelph Royals,Kitchener Panthers,,,,,Brando Leroux,Yadian Martinez,R,R,Fastball,Called Strike,,,000,-1.0426448,-0.1283245,
Top 1,1,1,0,2,'0-2,Guelph Royals,Kitchener Panthers,,,,,Brando Leroux,Yadian Martinez,R,R,Offspeed,Groundout,Ground Ball,Pull,000,-1.2053446,0.49625883,
Top 1,1,2,0,0,'0-0,Guelph Royals,Kitchener Panthers,,,,,Garret Takamatsu,Yadian Martinez,R,R,Offspeed,Ball,,,000,-1.5144742,-0.2377875,
Top 1,1,2,1,0,'1-0,Guelph Royals,Kitchener Panthers,,,,,Garret Takamatsu,Yadian Martinez,R,R,Fastball,Swinging Strike,,,000,-1.1239947,0.34172276,
Top 1,1,2,1,1,'1-1,Guelph Royals,Kitchener Panthers,,,,,Garret Takamatsu,Yadian Martinez,R,R,Fastball,Swinging Strike,,,000,0.69824311,0.49625883,
Top 1,1,2,1,2,'1-2,Guelph Royals,Kitchener Panthers,,,,,Garret Takamatsu,Yadian Martinez,R,R,Offspeed,Ball,,,000,-1.725984,0.63147789,
Top 1,1,2,2,2,'2-2,Guelph Royals,Kitchener Panthers,,,,,Garret Takamatsu,Yadian Martinez,R,R,Offspeed,Ball,,,000,-2.0025737,-0.1733975,
Top 1,1,2,3,2,'3-2,Guelph Royals,Kitchener Panthers,,,,,Garret Takamatsu,Yadian Martinez,R,R,Offspeed,Walk,,,000,1.49547215,0.83108698,
Top 1,1,2,0,0,'0-0,Guelph Royals,Kitchener Panthers,,,,1.28,Liam Wilson,Yadian Martinez,R,R,Fastball,Ball,,,100,-1.4005844,0.2193817,
Top 1,1,2,1,0,'1-0,Guelph Royals,Kitchener Panthers,,,,1.43,Liam Wilson,Yadian Martinez,R,R,Offspeed,Swinging Strike,,,100,-1.2541546,0.06484563,
