Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",Toronto Maple Leafs,Welland Jackfish,,Jonah Weisner,Drew Howard,L,R,Fastball,Ball,,,000,-1.092345155,0.283216783,
Top 1,1,0,1,0,'1-0,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,,Jonah Weisner,Drew Howard,L,R,Fastball,Called Strike,,,000,-0.698020729,0.540253033,
Top 1,1,0,1,1,'1-1,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,,Jonah Weisner,Drew Howard,L,R,Fastball,Home Run,Fly Ball,Straightaway,000,-0.048545205,0.85236848,
Top 1,1,0,0,0,'0-0,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,,Gianfranco Morello,Drew Howard,L,R,Offspeed,Ball,,,000,1.528752498,0.94416714,
Top 1,1,0,1,0,'1-0,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,,Gianfranco Morello,Drew Howard,L,R,Fastball,Single,Ground Ball,Opposite Field,000,0.508148102,0.494353703,
Top 1,1,0,0,0,'0-0,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,1.33,Matteo Porcellato,Drew Howard,L,R,Fastball,Called Strike,,,100,0.368974775,0.38419531,
Top 1,1,0,0,1,'0-1,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,1.38,Matteo Porcellato,Drew Howard,L,R,Offspeed,Ball,,,100,0.113823676,-0.102337592,
Top 1,1,0,1,1,'1-1,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,1.36,Matteo Porcellato,Drew Howard,L,R,Offspeed,Called Strike,,,100,0.740103646,0.760569819,
Top 1,1,0,1,2,'1-2,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,1.18,Matteo Porcellato,Drew Howard,L,R,Fastball,Strikeout Swinging,,,100,-0.048545205,1.10940473,
Top 1,1,1,0,0,'0-0,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,1.21,Robert Mullen,Drew Howard,R,R,Offspeed,Ball,,,100,-1.254714036,0.411734908,
Top 1,1,1,1,0,'1-0,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,1.22,Robert Mullen,Drew Howard,R,R,Fastball,Called Strike,,,100,-0.02534965,0.778929551,
Top 1,1,1,1,1,'1-1,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,1.2,Robert Mullen,Drew Howard,R,R,Offspeed,Ball,,,100,-1.393887363,-0.240035583,
Top 1,1,1,2,1,'2-1,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,1.31,Robert Mullen,Drew Howard,R,R,Offspeed,Swinging Strike,,,100,-0.582042957,0.200597989,
Top 1,1,1,2,2,'2-2,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,1.28,Robert Mullen,Drew Howard,R,R,Offspeed,Groundout,Ground Ball,Pull,100,-0.002154096,0.650411426,
Top 1,1,2,0,0,'0-0,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,,Jake Sanford,Drew Howard,L,R,Offspeed,Called Strike,,,010,-0.466065185,0.889087944,
Top 1,1,2,0,1,'0-1,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,,Jake Sanford,Drew Howard,L,R,Fastball,Double,Fly Ball,Opposite Field,010,0.693712537,0.797289283,
Top 1,1,2,0,0,'0-0,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,,Brandon Hupe,Drew Howard,R,R,Offspeed,Called Strike,,,010,-0.164522977,0.274036917,
Top 1,1,2,0,1,'0-1,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,,Brandon Hupe,Drew Howard,R,R,Offspeed,Ball,,,010,-1.370691808,-0.377733574,
Top 1,1,2,1,1,'1-1,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,,Brandon Hupe,Drew Howard,R,R,Offspeed,Called Strike,,,001,-0.466065185,0.751389953,
Top 1,1,2,1,2,'1-2,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,,Brandon Hupe,Drew Howard,R,R,Offspeed,Ball,,,001,-0.65162962,1.100224863,
Top 1,1,2,2,2,'2-2,Welland Jackfish,Toronto Maple Leafs,"June 8, 2025",,,,Brandon Hupe,Drew Howard,R,R,Offspeed,Strikeout Looking,,,001,-0.002154096,0.916627542,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Welland Jackfish,"June 8, 2025",,,,Ryan Dos Santos,Jose Dominguez,L,R,Fastball,Called Strike,,,000,0.044237013,0.677951024,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,Welland Jackfish,"June 8, 2025",,,,Ryan Dos Santos,Jose Dominguez,L,R,Fastball,Ball,,,000,1.22721029,0.457634239,
Bottom 1,1,0,1,1,'1-1,Toronto Maple Leafs,Welland Jackfish,"June 8, 2025",,,,Ryan Dos Santos,Jose Dominguez,L,R,Offspeed,Ball,,,000,1.459165834,1.146124194,
Bottom 1,1,0,2,1,'2-1,Toronto Maple Leafs,Welland Jackfish,"June 8, 2025",,,,Ryan Dos Santos,Jose Dominguez,L,R,Fastball,Ball,,,000,-0.790802947,0.182238256,
Bottom 1,1,0,3,1,'3-1,Toronto Maple Leafs,Welland Jackfish,"June 8, 2025",,,,Ryan Dos Santos,Jose Dominguez,L,R,Fastball,Walk,,,000,1.528752498,0.879908078,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,Welland Jackfish,"June 8, 2025",,,1.36,Jhon Javier,Jose Dominguez,R,R,Fastball,Ball,,,100,0.508148102,-0.184956386,
