Half Inning,Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,,,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,Toronto Maple Leafs,Kitchener Panthers,0,0,Nicholas Kyrose,Ayami Sato,R,R,Fastball,Groundout,Ground Ball,Straightaway,000,-1.158877143,0.396241413,
Top 1,1,1,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Yosvani Penalver,Ayami Sato,L,R,Offspeed,Ball,,,000,1.35166,0.233577385,
Top 1,1,1,1,0,'1-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Yosvani Penalver,Ayami Sato,L,R,Offspeed,Groundout,Ground Ball,Pull,000,0.662928571,-0.197262473,
Top 1,1,2,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Nick Parsons,Ayami Sato,R,R,Offspeed,Called Strike,,,000,0.57406,0.215992085,
Top 1,1,2,0,1,'0-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Nick Parsons,Ayami Sato,R,R,Offspeed,Popout,Pop Up,Straightaway,000,0.507408571,0.145650883,
Bottom 1,1,0,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Ryan Dos Santos,Andy Vargas,L,R,Fastball,Called Strike,,,000,0.8851,0.268747986,
Bottom 1,1,0,0,1,'0-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Ryan Dos Santos,Andy Vargas,L,R,Fastball,Swinging Strike,,,000,1.018402857,0.013761131,
Bottom 1,1,0,0,2,'0-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Ryan Dos Santos,Andy Vargas,L,R,Offspeed,Ball,,,000,0.8851,-0.285188975,
Bottom 1,1,0,1,2,'1-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Ryan Dos Santos,Andy Vargas,L,R,Fastball,Ball,,,000,1.50718,-0.214847774,
Bottom 1,1,0,2,2,'2-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Ryan Dos Santos,Andy Vargas,L,R,Offspeed,Ball,,,000,-0.6701,-0.214847774,
Bottom 1,1,0,3,2,'3-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Ryan Dos Santos,Andy Vargas,L,R,Fastball,Strikeout Swinging,,,000,1.173922857,-0.03899477,
Bottom 1,1,1,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Spenser Ross,Andy Vargas,R,R,Fastball,Ball,,,000,-0.892271429,0.49735689,
Bottom 1,1,1,1,0,'1-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Spenser Ross,Andy Vargas,R,R,Fastball,Called Strike,,,000,-0.625665714,0.224784735,
