Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,London Majors,Brantford Red Sox,"May 11, 2025",Brantford Red Sox,London Majors,,,Toby Simmons,Jeremias Sucre,L,R,,Ball,,,000,,,
Top 1,1,0,1,0,'1-0,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Toby Simmons,Jeremias Sucre,L,R,,Called Strike,,,000,,,
Top 1,1,0,1,1,'1-1,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Toby Simmons,Jeremias Sucre,L,R,,Single,Line Drive,Pull,000,,,
Top 1,1,0,0,0,'0-0,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Francisco Fajardo,Jeremias Sucre,L,R,,Sacrifice Bunt,Ground Ball,Straightaway,100,,,
Top 1,1,1,0,0,'0-0,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Eduardo De Oleo,Jeremias Sucre,R,R,,Ball,,,010,,,
Top 1,1,1,1,0,'1-0,London Majors,Brantford Red Sox,"May 11, 2025",,,1,1,Eduardo De Oleo,Jeremias Sucre,R,R,,Single,Ground Ball,Pull,001,,,
Top 1,1,1,0,0,'0-0,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Kaiden Cardoso,Jeremias Sucre,L,R,,Ball,,,100,,,
Top 1,1,1,1,0,'1-0,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Kaiden Cardoso,Jeremias Sucre,L,R,,Foul,,,100,,,
Top 1,1,1,1,1,'1-1,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Kaiden Cardoso,Jeremias Sucre,L,R,,Ball,,,100,,,
Top 1,1,1,2,1,'2-1,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Kaiden Cardoso,Jeremias Sucre,L,R,,Ball,,,010,,,
Top 1,1,1,3,1,'3-1,London Majors,Brantford Red Sox,"May 11, 2025",,,2,2,Kaiden Cardoso,Jeremias Sucre,L,R,,Double,Fly Ball,Opposite Field,010,,,
Top 1,1,1,0,0,'0-0,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Cleveland Brownlee,Jeremias Sucre,R,R,,Ball,,,010,,,
Top 1,1,1,1,0,'1-0,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Cleveland Brownlee,Jeremias Sucre,R,R,,Ball,,,001,,,
Top 1,1,1,2,0,'2-0,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Cleveland Brownlee,Jeremias Sucre,R,R,,Groundout,Ground Ball,,001,,,
Top 1,1,2,0,0,'0-0,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Brad Verhoeven,Jeremias Sucre,L,R,,Called Strike,,,001,,,
Top 1,1,2,0,1,'0-1,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Brad Verhoeven,Jeremias Sucre,L,R,,Ball,,,001,,,
Top 1,1,2,1,1,'1-1,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Brad Verhoeven,Jeremias Sucre,L,R,,Foul,,,001,,,
Top 1,1,2,1,2,'1-2,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Brad Verhoeven,Jeremias Sucre,L,R,,Foul,,,001,,,
Top 1,1,2,1,2,'1-2,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Brad Verhoeven,Jeremias Sucre,L,R,,Foul,,,001,,,
Top 1,1,2,1,2,'1-2,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Brad Verhoeven,Jeremias Sucre,L,R,,Foul,,,001,,,
Top 1,1,2,1,2,'1-2,London Majors,Brantford Red Sox,"May 11, 2025",,,,,Brad Verhoeven,Jeremias Sucre,L,R,,Groundout,Ground Ball,,001,,,
Bottom 1,1,0,0,0,'0-0,Brantford Red Sox,London Majors,"May 11, 2025",,,,,Ty Smith,Travis Keys,R,L,,Foul,,,000,,,
Bottom 1,1,0,0,1,'0-1,Brantford Red Sox,London Majors,"May 11, 2025",,,,,Ty Smith,Travis Keys,R,L,,Called Strike,,,000,,,
Bottom 1,1,0,0,2,'0-2,Brantford Red Sox,London Majors,"May 11, 2025",,,,,Ty Smith,Travis Keys,R,L,,Ball,,,000,,,
Bottom 1,1,0,1,2,'1-2,Brantford Red Sox,London Majors,"May 11, 2025",,,,,Ty Smith,Travis Keys,R,L,,Ball,,,000,,,
Bottom 1,1,0,2,2,'2-2,Brantford Red Sox,London Majors,"May 11, 2025",,,,,Ty Smith,Travis Keys,R,L,,Flyout,Fly Ball,Opposite Field,000,,,
Bottom 1,1,1,0,0,'0-0,Brantford Red Sox,London Majors,"May 11, 2025",,,,,Jeremie Veilleux,Travis Keys,R,L,,Swinging Strike,,,000,,,
Bottom 1,1,1,0,1,'0-1,Brantford Red Sox,London Majors,"May 11, 2025",,,,,Jeremie Veilleux,Travis Keys,R,L,,Called Strike,,,000,,,
Bottom 1,1,1,0,2,'0-2,Brantford Red Sox,London Majors,"May 11, 2025",,,,,Jeremie Veilleux,Travis Keys,R,L,,Ball,,,000,,,
