Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",Barrie Baycats,Toronto Maple Leafs,,Ryan Dos Santos,Juan Benitez,L,R,Fastball,Ball,,,000,-0.49343,-0.11721,
Top 1,1,0,1,0,'1-0,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Ryan Dos Santos,Juan Benitez,L,R,Fastball,Home Run,Fly Ball,Opposite Field,000,0.583227,0.07938,
Top 1,1,0,0,0,'0-0,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Jhon Javier,Juan Benitez,R,R,Fastball,Ball,,,000,-0.57888,-0.164015,
Top 1,1,0,1,0,'1-0,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Jhon Javier,Juan Benitez,R,R,Offspeed,Called Strike,,,000,-0.01492,0.082745,
Top 1,1,0,1,1,'1-1,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Jhon Javier,Juan Benitez,R,R,Offspeed,Triple,Fly Ball,Straightaway,000,-0.03201,0.339535,
Top 1,1,0,0,0,'0-0,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Rando Moreno,Juan Benitez,L,R,Fastball,Ball,,,001,1.471898,0.41213,
Top 1,1,0,1,0,'1-0,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Rando Moreno,Juan Benitez,L,R,Offspeed,Groundout,Ground Ball,Pull,001,-0.11746,0.664262,
Top 1,1,1,0,0,'0-0,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Jordan Castaldo,Juan Benitez,L,R,Offspeed,Called Strike,,,000,0.737035,0.23388,
Top 1,1,1,0,1,'0-1,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Jordan Castaldo,Juan Benitez,L,R,Offspeed,Double,Ground Ball,Opposite Field,000,0.070532,0.02147,
Top 1,1,1,0,0,'0-0,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Justin Marra,Juan Benitez,L,R,Fastball,Called Strike,,,010,-0.44216,0.08515,
Top 1,1,1,0,1,'0-1,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Justin Marra,Juan Benitez,L,R,Fastball,Single,Line Drive,Pull,010,-0.52761,0.14643,
Top 1,1,1,0,0,'0-0,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Marcus Knecht,Juan Benitez,R,R,Fastball,Called Strike,,,101,-0.57888,0.0589,
Top 1,1,1,0,1,'0-1,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Marcus Knecht,Juan Benitez,R,R,Offspeed,Foul,,,101,0.549047,0.863162,
Top 1,1,1,0,2,'0-2,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Marcus Knecht,Juan Benitez,R,R,Offspeed,Ball,,,101,-1.39919,-0.274235,
Top 1,1,1,1,2,'1-2,Toronto Maple Leafs,Barrie Baycats,"May 15, 2025",,,,Marcus Knecht,Juan Benitez,R,R,Offspeed,Groundout,,,011,0.019263,0.06229,
