Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",Hamilton Cardinals,Brantford Red Sox,,Jose Vinicio,Owen Boon,L,R,Fastball,Called Strike,,,000,-0.40325,0.718427,
Top 1,1,0,0,1,'0-1,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Jose Vinicio,Owen Boon,L,R,Offspeed,Called Strike,,,000,0.411239,0.031702,
Top 1,1,0,0,2,'0-2,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Jose Vinicio,Owen Boon,L,R,Fastball,Ball,,,000,0.800775,1.339751,
Top 1,1,0,1,2,'1-2,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Jose Vinicio,Owen Boon,L,R,Offspeed,Groundout,Ground Ball,Pull,000,0.057114,0.709084,
Top 1,1,1,0,0,'0-0,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Brody Black,Owen Boon,R,R,,Foul,,,000,0.847992,0.442803,
Top 1,1,1,0,1,'0-1,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Brody Black,Owen Boon,R,R,Fastball,Single,Line Drive,Straightaway,000,-0.01371,0.255939,
Top 1,1,1,0,0,'0-0,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Brody Black,Owen Boon,R,R,,Pickoff,,,100,,,
Top 1,1,2,0,0,'0-0,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Tim Holyk,Owen Boon,R,R,Fastball,Ball,,,000,-0.24979,0.933321,
Top 1,1,2,1,0,'1-0,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Tim Holyk,Owen Boon,R,R,Fastball,Ball,,,000,-1.1115,1.01741,
Top 1,1,2,2,0,'2-0,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Tim Holyk,Owen Boon,R,R,Fastball,Foul,,,000,-0.72196,0.849232,
Top 1,1,2,2,1,'2-1,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Tim Holyk,Owen Boon,R,R,Offspeed,Called Strike,,,000,-0.14356,0.816531,
Top 1,1,2,2,2,'2-2,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Tim Holyk,Owen Boon,R,R,Offspeed,Ball,,,000,0.269589,0.190536,
Top 1,1,2,3,2,'3-2,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Tim Holyk,Owen Boon,R,R,Fastball,Walk,,,000,-1.02887,-0.12246,
Top 1,1,2,0,0,'0-0,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Christian Ortega,Owen Boon,R,R,Fastball,Ball,,,100,-0.10814,1.166901,
Top 1,1,2,1,0,'1-0,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Christian Ortega,Owen Boon,R,R,Fastball,Ball,,,100,-1.02887,1.026753,
Top 1,1,2,2,0,'2-0,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Christian Ortega,Owen Boon,R,R,Fastball,Called Strike,,,100,-0.81639,0.466161,
Top 1,1,2,2,1,'2-1,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Christian Ortega,Owen Boon,R,R,Fastball,Foul,,,100,-0.68655,0.190536,
Top 1,1,2,2,2,'2-2,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Christian Ortega,Owen Boon,R,R,Offspeed,Ball,,,100,0.175156,1.096827,
Top 1,1,2,3,2,'3-2,Brantford Red Sox,Hamilton Cardinals,"May 16, 2025",,,,Christian Ortega,Owen Boon,R,R,Fastball,Single,Line Drive,Opposite Field,100,-0.65113,0.232581,
