Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Barrie Baycats,Welland Jackfish,"May 17, 2025",Welland Jackfish,Barrie Baycats,,Francisco Hernandez,Ben Abram,R,R,Fastball,Called Strike,,,000,-0.108143747,0.302654578,
Top 1,1,0,0,1,'0-1,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Francisco Hernandez,Ben Abram,R,R,Offspeed,,,,000,1.261136884,-0.440130528,
Top 1,1,0,0,0,'0-0,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Francisco Hernandez,Ben Abram,R,R,Fastball,Swinging Strike,,,000,-0.710155058,0.3260126,
Top 1,1,0,0,1,'0-1,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Francisco Hernandez,Ben Abram,R,R,Offspeed,Ball,,,000,-1.38299123,-0.276624373,
Top 1,1,0,1,1,'1-1,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Francisco Hernandez,Ben Abram,R,R,Fastball,Ball,,,000,-1.394795374,-0.122461426,
Top 1,1,0,2,1,'2-1,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Francisco Hernandez,Ben Abram,R,R,Fastball,Strikeout Swinging,,,000,-0.568505338,0.092432378,
Top 1,1,1,0,0,'0-0,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Brandon Hernandez,Ben Abram,L,R,,Ball,,,000,-1.31216637,0.148491631,
Top 1,1,1,1,0,'1-0,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Brandon Hernandez,Ben Abram,L,R,Fastball,Ball,,,000,-0.615721912,-0.384071275,
Top 1,1,1,2,0,'2-0,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Brandon Hernandez,Ben Abram,L,R,Fastball,Swinging Strike,,,000,0.670929715,0.41010148,
Top 1,1,1,2,1,'2-1,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Brandon Hernandez,Ben Abram,L,R,Fastball,Called Strike,,,000,0.175155694,0.41010148,
Top 1,1,1,2,2,'2-2,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Brandon Hernandez,Ben Abram,L,R,Offspeed,Ball,,,000,-1.040671073,-0.22056512,
Top 1,1,1,3,2,'3-2,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Brandon Hernandez,Ben Abram,L,R,Fastball,Foul,,,000,-0.851804779,0.522219987,
Top 1,1,1,3,2,'3-2,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Brandon Hernandez,Ben Abram,L,R,Fastball,Hit By Pitch,,,000,-1.678094814,-0.454145342,
Top 1,1,1,0,0,'0-0,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Willy Garcia,Ben Abram,R,R,Fastball,Called Strike,,,000,0.552888282,0.227908907,
Top 1,1,1,0,1,'0-1,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Willy Garcia,Ben Abram,R,R,Fastball,Called Strike,,,000,0.316805414,0.246595325,
Top 1,1,1,0,2,'0-2,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Willy Garcia,Ben Abram,R,R,Fastball,Ball,,,000,-1.217733223,0.480175547,
Top 1,1,1,1,2,'1-2,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Willy Garcia,Ben Abram,R,R,Offspeed,Strikeout Swinging,,,000,-1.3475788,-0.201878702,
Top 1,1,2,0,0,'0-0,Barrie Baycats,Welland Jackfish,"May 17, 2025",,,,Ryan Rijo,Ben Abram,L,R,Fastball,Foul,,,000,-0.863608922,0.634338493,
