Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Kitchener Panthers,Chatham-Kent Barnstormers,"May 17, 2025",Chatham-Kent Barnstormers,Kitchener Panthers,,Yordan Manduley,Brock Whitson,R,R,Fastball,Foul,,,000,0.522028543,0.6783890298,
Top 1,1,0,0,1,'0-1,Kitchener Panthers,Chatham-Kent Barnstormers,"May 17, 2025",,,,Yordan Manduley,Brock Whitson,R,R,Fastball,Groundout,Ground Ball,Opposite Field,000,0.3241976711,0.370434636,
Top 1,1,1,0,0,'0-0,Kitchener Panthers,Chatham-Kent Barnstormers,"May 17, 2025",,,,Yonsvani Penalver,Brock Whitson,L,R,Offspeed,Ball,,,000,0.08680062482,-0.1619610956,
Top 1,1,1,1,0,'1-0,Kitchener Panthers,Chatham-Kent Barnstormers,"May 17, 2025",,,,Yonsvani Penalver,Brock Whitson,L,R,Fastball,Called Strike,,,000,1.155087333,0.0990172042,
Top 1,1,1,1,1,'1-1,Kitchener Panthers,Chatham-Kent Barnstormers,"May 17, 2025",,,,Yonsvani Penalver,Brock Whitson,L,R,Fastball,Ball,,,000,0.3901412951,-0.08888717167,
Top 1,1,1,2,1,'2-1,Kitchener Panthers,Chatham-Kent Barnstormers,"May 17, 2025",,,,Yonsvani Penalver,Brock Whitson,L,R,Offspeed,Single,Line Drive,Opposite Field,000,0.3637638455,0.7619020857,
Top 1,1,1,0,0,'0-0,Kitchener Panthers,Chatham-Kent Barnstormers,"May 17, 2025",,,1.21,Yunior Ibarra,Brock Whitson,R,R,Fastball,Ball,,,100,-1.179316955,0.2347259201,
Top 1,1,1,1,0,'1-0,Kitchener Panthers,Chatham-Kent Barnstormers,"May 17, 2025",,,1.21,Yunior Ibarra,Brock Whitson,R,R,Fastball,Double Play,Ground Ball,Straightaway,100,0.5484059926,0.1877498261,
Bottom 1,1,0,0,0,'0-0,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Spencer Marcus,Yadian Martinez,R,R,Fastball,Foul,,,000,0.7989917637,0.7984390477,
Bottom 1,1,0,0,1,'0-1,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Spencer Marcus,Yadian Martinez,R,R,Fastball,Error,Ground Ball,Pull,000,-0.1110302471,-0.1515219636,
Bottom 1,1,0,0,0,'0-0,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,1.22,Anthony Polowick,Yadian Martinez,L,R,Fastball,Called Strike,,,100,1.273785856,0.401752032,
Bottom 1,1,0,0,1,'0-1,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,1.34,Anthony Polowick,Yadian Martinez,L,R,Fastball,Single,Line Drive,Opposite Field,100,0.4692736439,0.8610738396,
Bottom 1,1,0,0,0,'0-0,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Mitsuki Fukuda,Yadian Martinez,R,R,Offspeed,Called Strike,,,110,-0.1374076967,0.04682154423,
Bottom 1,1,0,0,1,'0-1,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Mitsuki Fukuda,Yadian Martinez,R,R,Fastball,Home Run,Fly Ball,Pull,110,0.5747834422,0.4748259559,
Bottom 1,1,0,0,0,'0-0,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Owen Constantineau,Yadian Martinez,L,R,Fastball,Ball,,,000,0.8649353877,1.127271705,
Bottom 1,1,0,1,0,'1-0,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Owen Constantineau,Yadian Martinez,L,R,Offspeed,Called Strike,,,000,-0.1242189719,0.433069428,
Bottom 1,1,0,1,1,'1-1,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Owen Constantineau,Yadian Martinez,L,R,Fastball,Flyout,Fly Ball,Pull,000,-0.2956723942,0.386093334,
Bottom 1,1,1,0,0,'0-0,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Robert Mackie,Yadian Martinez,R,R,Fastball,Flyout,Line Drive,Straightaway,000,-0.1505964215,0.5739977099,
Bottom 1,1,2,0,0,'0-0,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Spencer Morin,Yadian Martinez,L,R,Offspeed,Ball,,,000,-0.1769738711,-0.3394263395,
Bottom 1,1,2,1,0,'1-0,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Spencer Morin,Yadian Martinez,L,R,Fastball,Called Strike,,,000,0.5615947174,0.2973607121,
Bottom 1,1,2,1,1,'1-1,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Spencer Morin,Yadian Martinez,L,R,Offspeed,Ball,,,000,-0.5066919909,-0.2820111135,
Bottom 1,1,2,2,1,'2-1,Chatham-Kent Barnstormers,Kitchener Panthers,"May 17, 2025",,,,Spencer Morin,Yadian Martinez,L,R,Fastball,Foul,,,000,-0.6122017893,0.1981889581,
