Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",Kitchener Panthers,Chatham-Kent Brainstormers,,,Spencer Marcus,Andy Vargas,R,R,,Ball,,,000,,,
Top 1,1,0,1,0,'1-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Spencer Marcus,Andy Vargas,R,R,,Foul,,,000,,,
Top 1,1,0,1,1,'1-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Spencer Marcus,Andy Vargas,R,R,,Ball,,,000,,,
Top 1,1,0,2,1,'2-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Spencer Marcus,Andy Vargas,R,R,,Swinging Strike,,,000,,,
Top 1,1,0,2,2,'2-2,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Spencer Marcus,Andy Vargas,R,R,,Ball,,,000,,,
Top 1,1,0,3,2,'3-2,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Spencer Marcus,Andy Vargas,R,R,,Strikeout Swinging,,,000,,,
Top 1,1,1,0,0,'0-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Anthony Polowick,Andy Vargas,L,R,,Called Strike,,,000,,,
Top 1,1,1,0,1,'0-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Anthony Polowick,Andy Vargas,L,R,,Ball,,,000,,,
Top 1,1,1,1,1,'1-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Anthony Polowick,Andy Vargas,L,R,,Swinging Strike,,,000,,,
Top 1,1,1,1,2,'1-2,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Anthony Polowick,Andy Vargas,L,R,,Single,,,000,,,
Top 1,1,1,0,0,'0-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Owen Constantineau,Andy Vargas,L,R,,Ball,,,100,,,
Top 1,1,1,1,0,'1-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Owen Constantineau,Andy Vargas,L,R,,Called Strike,,,100,,,
Top 1,1,1,1,1,'1-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Owen Constantineau,Andy Vargas,L,R,,Ball,,,100,,,
Top 1,1,1,2,1,'2-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Owen Constantineau,Andy Vargas,L,R,,Swinging Strike,,,100,,,
Top 1,1,1,2,2,'2-2,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Owen Constantineau,Andy Vargas,L,R,,Strikeout Looking,,,100,,,
Top 1,1,2,0,0,'0-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Sadler Goodwin,Andy Vargas,R,R,,Swinging Strike,,,100,,,
Top 1,1,2,0,1,'0-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Sadler Goodwin,Andy Vargas,R,R,,Ball,,,100,,,
Top 1,1,2,1,1,'1-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,2,2,Sadler Goodwin,Andy Vargas,R,R,,Home Run,,,100,,,
Top 1,1,2,0,0,'0-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Yushin Ohta,Andy Vargas,L,R,,Ball,,,000,,,
Top 1,1,2,1,0,'1-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Yushin Ohta,Andy Vargas,L,R,,Foul,,,000,,,
Top 1,1,2,1,1,'1-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Yushin Ohta,Andy Vargas,L,R,,Foul,,,000,,,
Top 1,1,2,1,2,'1-2,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Yushin Ohta,Andy Vargas,L,R,,Foul,,,000,,,
Top 1,1,2,1,2,'1-2,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Yushin Ohta,Andy Vargas,L,R,,Double,,,000,,,
Top 1,1,2,0,0,'0-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Robert Mackie,Andy Vargas,R,R,,Ball,,,010,,,
Top 1,1,2,1,0,'1-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Robert Mackie,Andy Vargas,R,R,,Ball,,,010,,,
Top 1,1,2,2,0,'2-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Robert Mackie,Andy Vargas,R,R,,Called Strike,,,010,,,
Top 1,1,2,2,1,'2-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Robert Mackie,Andy Vargas,R,R,,Ball,,,010,,,
Top 1,1,2,3,1,'3-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Robert Mackie,Andy Vargas,R,R,,Walk,,,010,,,
Top 1,1,2,0,0,'0-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,1,1,Spencer Morin,Andy Vargas,L,R,,Single,,Straightaway,110,,,
Top 1,1,2,0,0,'0-0,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Jalen Butcher,Andy Vargas,R,R,,Called Strike,,,101,,,
Top 1,1,2,0,1,'0-1,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Jalen Butcher,Andy Vargas,R,R,,Swinging Strike,,,101,,,
Top 1,1,2,0,2,'0-2,Chatham-Kent Brainstormers,Kitchener Panthers,"May 18, 2025",,,,,Jalen Butcher,Andy Vargas,R,R,,Strikeout Swinging,,,101,,,
Bottom 1,1,0,0,0,'0-0,Kitchener Panthers,Chatham-Kent Brainstormers,"May 18, 2025",,,,,Yordan Manduley,Mizuki Akatsuka,R,R,,Called Strike,,,000,,,
Bottom 1,1,0,0,1,'0-1,Kitchener Panthers,Chatham-Kent Brainstormers,"May 18, 2025",,,,,Yordan Manduley,Mizuki Akatsuka,R,R,,Foul,,,000,,,
Bottom 1,1,0,0,2,'0-2,Kitchener Panthers,Chatham-Kent Brainstormers,"May 18, 2025",,,,,Yordan Manduley,Mizuki Akatsuka,R,R,,Ball,,,000,,,
Bottom 1,1,0,1,2,'1-2,Kitchener Panthers,Chatham-Kent Brainstormers,"May 18, 2025",,,,,Yordan Manduley,Mizuki Akatsuka,R,R,,Foul,,,000,,,
