Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,London Majors,Toronto Maple Leafs,"May 18, 2025",Toronto Maple Leafs,London Majors,,Toby Simmons,Ayami Sato,L,R,Fastball,Called Strike,,,000,0.640381,0.159058,
Top 1,1,0,0,1,'0-1,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Toby Simmons,Ayami Sato,L,R,Offspeed,Swinging Strike,,,000,0.421042,-0.10136,
Top 1,1,0,0,2,'0-2,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Toby Simmons,Ayami Sato,L,R,Fastball,Popout,,,000,-0.65571,0.308995,
Top 1,1,1,0,0,'0-0,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Francisco Fajardo,Ayami Sato,L,R,Offspeed,Ball,,,000,1.238578,-0.2434,
Top 1,1,1,1,0,'1-0,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Francisco Fajardo,Ayami Sato,L,R,Offspeed,Ball,,,000,1.138878,1.161267,
Top 1,1,1,2,0,'2-0,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Francisco Fajardo,Ayami Sato,L,R,Offspeed,Single,Fly Ball,Opposite Field,000,0.77996,0.269538,
Top 1,1,1,0,0,'0-0,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Kaiden Cardoso,Ayami Sato,L,R,Offspeed,Ball,,,100,1.118938,-0.07768,
Top 1,1,1,1,0,'1-0,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Kaiden Cardoso,Ayami Sato,L,R,Offspeed,Home Run,Fly Ball,Pull,010,-0.13728,0.56152,
Top 1,1,1,0,0,'0-0,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Eduardo De Oleo,Ayami Sato,L,R,Fastball,Ball,,,000,-1.19409,-0.2434,
Top 1,1,1,1,0,'1-0,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Eduardo De Oleo,Ayami Sato,L,R,Offspeed,Swinging Strike,,,000,0.141883,-0.20395,
Top 1,1,1,1,1,'1-1,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Eduardo De Oleo,Ayami Sato,L,R,Offspeed,Foul,,,000,0.341282,-0.12503,
Top 1,1,1,1,2,'1-2,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Eduardo De Oleo,Ayami Sato,L,R,Offspeed,Ball,,,000,-1.49319,-0.21973,
Top 1,1,1,2,2,'2-2,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Eduardo De Oleo,Ayami Sato,L,R,Offspeed,Ball,,,000,-1.17415,-0.10136,
Top 1,1,1,3,2,'3-2,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Eduardo De Oleo,Ayami Sato,L,R,Offspeed,Foul,,,000,0.301402,0.458932,
Top 1,1,1,3,2,'3-2,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Eduardo De Oleo,Ayami Sato,L,R,Offspeed,Home Run,,,000,0.022244,0.190624,
Top 1,1,1,0,0,'0-0,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Byron Reichstein,Ayami Sato,L,R,Fastball,Home Run,Fly Ball,Straightaway,000,0.560621,0.458932,
Top 1,1,1,0,0,'0-0,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Ty Mosher,Ayami Sato,L,R,Offspeed,Ball,,,000,1.158818,0.340561,
Top 1,1,1,1,0,'1-0,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Ty Mosher,Ayami Sato,L,R,Fastball,Foul,,,000,-0.63577,0.230081,
Top 1,1,1,1,1,'1-1,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Ty Mosher,Ayami Sato,L,R,Offspeed,Ball,,,000,-0.55601,-0.18027,
Top 1,1,1,2,1,'2-1,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Ty Mosher,Ayami Sato,L,R,Offspeed,Ball,,,000,0.919539,-0.11714,
Top 1,1,1,3,1,'3-1,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Ty Mosher,Ayami Sato,L,R,Offspeed,Swinging Strike,,,000,0.540681,0.103819,
Top 1,1,1,3,2,'3-2,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Ty Mosher,Ayami Sato,L,R,Offspeed,Strikeout Swinging,,,000,-0.21704,0.451041,
Top 1,1,2,0,0,'0-0,London Majors,Toronto Maple Leafs,"May 18, 2025",,,,Champ Garner,Ayami Sato,R,R,Fastball,Groundout,,,000,-0.65571,0.490498,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Ryan Dos Santos,Jose Arias,L,R,Fastball,Called Strike,,,000,0.7201403,0.545737479,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Ryan Dos Santos,Jose Arias,L,R,Fastball,Called Strike,,,000,0.042183668,0.419474926,
Bottom 1,1,0,0,2,'0-2,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Ryan Dos Santos,Jose Arias,L,R,Offspeed,Ball,,,000,-0.35661435,-0.243403476,
Bottom 1,1,0,1,2,'1-2,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Ryan Dos Santos,Jose Arias,L,R,Offspeed,Ball,,,000,-0.57595326,-0.140815152,
Bottom 1,1,0,2,2,'2-2,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Ryan Dos Santos,Jose Arias,L,R,Fastball,Foul,,,000,0.680260498,0.261646735,
Bottom 1,1,0,2,2,'2-2,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Ryan Dos Santos,Jose Arias,L,R,Fastball,Ball,,,000,-0.556013359,1.177050243,
Bottom 1,1,0,3,2,'3-2,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Ryan Dos Santos,Jose Arias,L,R,Fastball,Foul,,,000,0.201702876,0.829828223,
Bottom 1,1,0,3,2,'3-2,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Ryan Dos Santos,Jose Arias,L,R,Offspeed,Foul,,,000,-0.217035044,0.387909288,
Bottom 1,1,0,3,2,'3-2,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Ryan Dos Santos,Jose Arias,L,R,Offspeed,Walk,,,000,-1.273849793,0.159058411,
Bottom 1,1,0,0,0,'0-0,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Jhon Javier,Jose Arias,R,R,Fastball,Called Strike,,,100,-0.655712864,0.190624049,
Bottom 1,1,0,0,1,'0-1,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Jhon Javier,Jose Arias,R,R,Fastball,Ball,,,100,0.30140238,1.098136148,
Bottom 1,1,0,1,1,'1-1,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Jhon Javier,Jose Arias,R,R,Offspeed,Ball,,,100,-1.433369,-0.148706562,
Bottom 1,1,0,2,1,'2-1,Toronto Maple Leafs,London Majors,"May 18, 2025",,,,Jhon Javier,Jose Arias,R,R,Fastball,Foul,,,001,-0.595893161,0.230081097,
