Lo,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,London,Barrie,"May 24, 2025",Barrie,London,,,Toby Simmons,Frank Garces,R,L,Offspeed,Ball,,,,-0.8402188,-0.1734774,
Top 1,1,0,1,0,'1-0,London,Barrie,"May 24, 2025",,,,,Toby Simmons,Frank Garces,R,L,Fastball,Called Strike,,,000,-1.090284,0.1182110652,
Top 1,1,0,1,1,'1-1,London,Barrie,"May 24, 2025",,,,,Toby Simmons,Frank Garces,R,L,Fastball,Called Strike,,,000,0.5812042159,0.07654129,
Top 1,1,0,1,2,'1-2,London,Barrie,"May 24, 2025",,,,,Toby Simmons,Frank Garces,R,L,Fastball,Groundout,Ground Ball,Opposite Field,000,-0.7875735,0.5036564886,
Top 1,1,1,0,0,'0-0,London,Barrie,"May 24, 2025",,,,,Francisco Farjado,Frank Garces,L,L,Fastball,Foul,,,000,0.6075268643,1.008902517,
Top 1,1,1,0,1,'0-1,London,Barrie,"May 24, 2025",,,,,Francisco Farjado,Frank Garces,L,L,Fastball,Ball,,,000,2.134240469,-0.0640942,
Top 1,1,1,1,1,'1-1,London,Barrie,"May 24, 2025",,,,,Francisco Farjado,Frank Garces,L,L,Offspeed,Ball,,,000,-1.7220275,1.467270047,
Top 1,1,1,2,1,'2-1,London,Barrie,"May 24, 2025",,,,,Francisco Farjado,Frank Garces,L,L,Fastball,Called Strike,,,000,0.515397595,0.2900988891,
Top 1,1,1,2,2,'2-2,London,Barrie,"May 24, 2025",,,,,Francisco Farjado,Frank Garces,L,L,Fastball,Strikeout Looking,,,000,0.9233986447,0.08175001,
Top 1,1,2,0,0,'0-0,London,Barrie,"May 24, 2025",,,,,Kaiden Cardoso,Frank Garces,L,L,Fastball,Ball,,,000,-1.2350585,1.175581619,
Top 1,1,2,1,0,'1-0,London,Barrie,"May 24, 2025",,,,,Kaiden Cardoso,Frank Garces,L,L,Fastball,Called Strike,,,000,0.3837843532,0.5609524299,
Top 1,1,2,1,1,'1-1,London,Barrie,"May 24, 2025",,,,,Kaiden Cardoso,Frank Garces,L,L,Fastball,Ball,,,000,0.8181080512,0.05049768,
Top 1,1,2,2,1,'2-1,London,Barrie,"May 24, 2025",,,,,Kaiden Cardoso,Frank Garces,L,L,Offspeed,Swinging Strike,,,000,0.1205578695,-0.1109727,
Top 1,1,2,2,2,'2-2,London,Barrie,"May 24, 2025",,,,,Kaiden Cardoso,Frank Garces,L,L,Offspeed,Strikeout Swinging,,,000,1.331399694,-0.2255646,
Bottom 1,1,0,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,Francisco Hernandez,Travis Keys,R,L,Fastball,Foul,,,000,-0.8665414,0.29009889,
Bottom 1,1,0,0,1,'0-1,Barrie,London,"May 24, 2025",,,,,Francisco Hernandez,Travis Keys,R,L,Fastball,Ball,,,000,-1.2877038,0.94118913,
Bottom 1,1,0,1,1,'1-1,Barrie,London,"May 24, 2025",,,,,Francisco Hernandez,Travis Keys,R,L,Offspeed,Called Strike,,,000,-0.2479592,0.51928265,
Bottom 1,1,0,1,2,'1-2,Barrie,London,"May 24, 2025",,,,,Francisco Hernandez,Travis Keys,R,L,Offspeed,Foul,,,000,-0.8270575,-0.1265989,
Bottom 1,1,0,1,2,'1-2,Barrie,London,"May 24, 2025",,,,,Francisco Hernandez,Travis Keys,R,L,Fastball,Strikeout Looking,,,000,-0.7086056,0.42031694,
Bottom 1,1,1,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,Brandon Hernandez,Travis Keys,L,L,Fastball,Swinging Strike,,,000,0.0810739,0.49323904,
Bottom 1,1,1,0,1,'0-1,Barrie,London,"May 24, 2025",,,,,Brandon Hernandez,Travis Keys,L,L,Fastball,Hit By Pitch,,,000,-2.511707,1.00369379,
Bottom 1,1,1,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,Willy Garcia,Travis Keys,R,L,Fastball,Called Strike,,,100,-0.9849934,0.11300234,
Bottom 1,1,1,0,1,'0-1,Barrie,London,"May 24, 2025",,,,,Willy Garcia,Travis Keys,R,L,Offspeed,Called Strike,,,100,-0.4717017,-0.0536768,
Bottom 1,1,1,0,2,'0-2,Barrie,London,"May 24, 2025",,,,,Willy Garcia,Travis Keys,R,L,Offspeed,Ball,,,100,-1.5772529,0.57136987,
Bottom 1,1,1,1,2,'1-2,Barrie,London,"May 24, 2025",,,,,Willy Garcia,Travis Keys,R,L,Offspeed,Single,Ground Ball,Pull,100,-0.5901536,-0.1578512,
Bottom 1,1,1,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,Nolan Machibroda,Travis Keys,L,L,Offspeed,Error,Ground Ball,Pull,110,0.48907495,-0.012007,
Bottom 1,1,1,0,0,'0-0,Barrie,London,"May 24, 2025",,,1,0,Ryan Rijo,Travis Keys,L,L,Fastball,Error,Ground Ball,Opposite Field,111,0.88391467,0.40469077,
Bottom 1,1,1,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,,Travis Keys,,,,Caught Stealing,,,,,,
Bottom 1,1,2,0,0,'0-0,Barrie,London,"May 24, 2025",,,,,Malik Williams,Travis Keys,R,L,Offspeed,Ball,,,011,-0.9849934,-0.199521,
Bottom 1,1,2,1,0,'1-0,Barrie,London,"May 24, 2025",,,,,Malik Williams,Travis Keys,R,L,Fastball,Ball,,,011,-1.2087359,-0.012007,
Bottom 1,1,2,2,0,'2-0,Barrie,London,"May 24, 2025",,,,,Malik Williams,Travis Keys,R,L,Fastball,Ball,,,011,-1.3798331,1.0297374,
Bottom 1,1,2,3,0,'3-0,Barrie,London,"May 24, 2025",,,1,0,Malik Williams,Travis Keys,R,L,Fastball,Walk,,,011,-0.7349282,1.60269682,
