Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Brantford,Chatham-Kent,"May 24, 2025",Chatham-Kent,Brantford,,,Jose Vinicio,Mizuki Akatsuka,L,R,Fastball,Single,Line Drive,Opposite Field,000,1.084074733,0.779158231,
Top 1,1,0,0,0,'0-0,Brantford,Chatham-Kent,"May 24, 2025",,,,,Brodie Black,Mizuki Akatsuka,R,R,Offspeed,Ball,,,100,1.697890188,1.101498937,
Top 1,1,0,1,0,'1-0,Brantford,Chatham-Kent,"May 24, 2025",,,,,Brodie Black,Mizuki Akatsuka,R,R,Fastball,Swinging Strike,,,100,-0.9698462125,0.3306842046,
Top 1,1,0,1,1,'1-1,Brantford,Chatham-Kent,"May 24, 2025",,,,,Brodie Black,Mizuki Akatsuka,R,R,Fastball,Foul,,,100,-0.3206183274,0.6903977466,
Top 1,1,0,1,2,'1-2,Brantford,Chatham-Kent,"May 24, 2025",,,,,Brodie Black,Mizuki Akatsuka,R,R,Offspeed,Strikeout Swinging,,,100,-1.064279359,-0.1364762396,
Top 1,1,1,0,0,'0-0,Brantford,Chatham-Kent,"May 24, 2025",,,,,,Mizuki Akatsuka,,,,Caught Stealing,,,100,,,
Top 1,1,2,0,0,'0-0,Brantford,Chatham-Kent,"May 24, 2025",,,,,Tim Holyk,Mizuki Akatsuka,R,R,Offspeed,Ball,,,000,1.296549314,-0.09443179961,
Top 1,1,2,1,0,'1-0,Brantford,Chatham-Kent,"May 24, 2025",,,,,Tim Holyk,Mizuki Akatsuka,R,R,Fastball,Ball,,,000,1.379178317,0.8772619242,
Top 1,1,2,2,0,'2-0,Brantford,Chatham-Kent,"May 24, 2025",,,,,Tim Holyk,Mizuki Akatsuka,R,R,Fastball,Single,Line Drive,Pull,000,-0.04912302999,0.1718496536,
Top 1,1,2,0,0,'0-0,Brantford,Chatham-Kent,"May 24, 2025",,,,,Christian Ortega,Mizuki Akatsuka,R,R,Offspeed,Ball,,,100,-1.3475788,-0.3186688128,
