Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,London Majors,Kitchener Panthers,"May 25, 2025",Kitchener Panthers,London Majors,,Toby Simmons,Evan Elliot,L,R,,Called Strike,,,000,,,
Top 1,1,0,0,1,'0-1,London Majors,Kitchener Panthers,"May 25, 2025",,,,Toby Simmons,Evan Elliot,L,R,,Called Strike,,,000,,,
Top 1,1,0,0,2,'0-2,London Majors,Kitchener Panthers,"May 25, 2025",,,,Toby Simmons,Evan Elliot,L,R,,Single,,Opposite Field,000,,,
Top 1,1,0,0,0,'0-0,London Majors,Kitchener Panthers,"May 25, 2025",,,,Francisco Fajardo,Evan Elliot,L,R,,Called Strike,,,100,,,
Top 1,1,0,0,1,'0-1,London Majors,Kitchener Panthers,"May 25, 2025",,,,Francisco Fajardo,Evan Elliot,L,R,,Ball,,,100,,,
Top 1,1,0,1,1,'1-1,London Majors,Kitchener Panthers,"May 25, 2025",,,,,,,,,Caught Stealing,,,,,,
Top 1,1,1,1,1,'1-1,London Majors,Kitchener Panthers,"May 25, 2025",,,,Francisco Fajardo,Evan Elliot,L,R,,Called Strike,,,000,,,
Top 1,1,1,1,2,'1-2,London Majors,Kitchener Panthers,"May 25, 2025",,,,Francisco Fajardo,Evan Elliot,L,R,,Strikeout Swinging,,,000,,,
Top 1,1,2,0,0,'0-0,London Majors,Kitchener Panthers,"May 25, 2025",,,,Kaiden Cardoso,Evan Elliot,L,R,,Ball,,,000,,,
Top 1,1,2,1,0,'1-0,London Majors,Kitchener Panthers,"May 25, 2025",,,,Kaiden Cardoso,Evan Elliot,L,R,,Called Strike,,,000,,,
Top 1,1,2,1,1,'1-1,London Majors,Kitchener Panthers,"May 25, 2025",,,,Kaiden Cardoso,Evan Elliot,L,R,,Ball,,,000,,,
Top 1,1,2,2,1,'2-1,London Majors,Kitchener Panthers,"May 25, 2025",,,,Kaiden Cardoso,Evan Elliot,L,R,,Ball,,,000,,,
Top 1,1,2,3,1,'3-1,London Majors,Kitchener Panthers,"May 25, 2025",,,,Kaiden Cardoso,Evan Elliot,L,R,,Walk,,,000,,,
Top 1,1,2,0,0,'0-0,London Majors,Kitchener Panthers,"May 25, 2025",,,,Eduardo De Oleo,Evan Elliot,R,R,,Groundout,Ground Ball,Pull,100,,,
Bottom 1,1,0,0,0,'0-0,Kitchener Panthers,London Majors,"May 25, 2025",,,,Yordan Manduley,Jose Arias,R,R,,Ball,,,000,,,
Bottom 1,1,0,1,0,'1-0,Kitchener Panthers,London Majors,"May 25, 2025",,,,Yordan Manduley,Jose Arias,R,R,,Ball,,,000,,,
Bottom 1,1,0,2,0,'2-0,Kitchener Panthers,London Majors,"May 25, 2025",,,,Yordan Manduley,Jose Arias,R,R,,Called Strike,,,000,,,
Bottom 1,1,0,2,1,'2-1,Kitchener Panthers,London Majors,"May 25, 2025",,,,Yordan Manduley,Jose Arias,R,R,,Single,,Opposite Field,000,,,
Bottom 1,1,0,0,0,'0-0,Kitchener Panthers,London Majors,"May 25, 2025",,,,Yosvani Penalver,Jose Arias,L,R,,Ball,,,100,,,
Bottom 1,1,0,1,0,'1-0,Kitchener Panthers,London Majors,"May 25, 2025",,,,Yosvani Penalver,Jose Arias,L,R,,Ball,,,010,,,
Bottom 1,1,0,2,0,'2-0,Kitchener Panthers,London Majors,"May 25, 2025",,,,Yosvani Penalver,Jose Arias,L,R,,Walk,,,010,,,
Bottom 1,1,0,0,0,'0-0,Kitchener Panthers,London Majors,"May 25, 2025",,,,Yunior Ibarra,Jose Arias,R,R,,Called Strike,,,110,,,
Bottom 1,1,0,0,1,'0-1,Kitchener Panthers,London Majors,"May 25, 2025",,,,Yunior Ibarra,Jose Arias,R,R,,Swinging Strike,,,110,,,
Bottom 1,1,0,0,2,'0-2,Kitchener Panthers,London Majors,"May 25, 2025",,,,Yunior Ibarra,Jose Arias,R,R,,Single,,Opposite Field,101,,,
Bottom 1,1,0,0,0,'0-0,Kitchener Panthers,London Majors,"May 25, 2025",,,,AJ Karosas,Jose Arias,R,R,,Swinging Strike,,,110,,,
Bottom 1,1,0,0,1,'0-1,Kitchener Panthers,London Majors,"May 25, 2025",,,,AJ Karosas,Jose Arias,R,R,,Called Strike,,,110,,,
Bottom 1,1,0,0,2,'0-2,Kitchener Panthers,London Majors,"May 25, 2025",,,,AJ Karosas,Jose Arias,R,R,,Foul,,,110,,,
Bottom 1,1,0,0,2,'0-2,Kitchener Panthers,London Majors,"May 25, 2025",,,,AJ Karosas,Jose Arias,R,R,,Ball,,,110,,,
Bottom 1,1,0,1,2,'1-2,Kitchener Panthers,London Majors,"May 25, 2025",,,,AJ Karosas,Jose Arias,R,R,,Ball,,,110,,,
Bottom 1,1,0,2,2,'2-2,Kitchener Panthers,London Majors,"May 25, 2025",,,,AJ Karosas,Jose Arias,R,R,,Foul,,,110,,,
