Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Welland Jackfish,London Majors,May 27. 2025,London Majors,Welland Jackfish,,,Jonah Weisner,Victor Payano,L,L,Fastball,Ball,,,000,-1.105149624,0.9177124098,
Top 1,1,0,1,0,'1-0,Welland Jackfish,London Majors,"May 27, 2025",,,,,Jonah Weisner,Victor Payano,L,L,Fastball,Single,Line Drive,Straightaway,000,-0.6854075365,0.879958544,
Top 1,1,0,0,0,'0-0,Welland Jackfish,London Majors,"May 27, 2025",,,,,Gianfranco Morello ,Victor Payano,L,L,Fastball,Ball,,,100,-1.372258224,1.174438698,
Top 1,1,0,1,0,'1-0,Welland Jackfish,London Majors,"May 27, 2025",,,,,Gianfranco Morello ,Victor Payano,L,L,Offspeed,Ball,,,100,1.394223713,-0.146946607,
Top 1,1,0,2,0,'2-0,Welland Jackfish,London Majors,"May 27, 2025",,,,,Gianfranco Morello ,Victor Payano,L,L,Offspeed,Hit By Pitch,,,010,-1.715683568,0.5779276172,
Top 1,1,0,0,0,'0-0,Welland Jackfish,London Majors,"May 27, 2025",,,,,Jake Sanford,Victor Payano,L,L,Offspeed,Called Strike,,,110,-0.7617242796,0.7666969465,
Top 1,1,0,0,1,'0-1,Welland Jackfish,London Majors,"May 27, 2025",,,,,Jake Sanford,Victor Payano,L,L,Offspeed,Ball,,,110,-0.07487359169,1.189540244,
Top 1,1,0,1,1,'1-1,Welland Jackfish,London Majors,"May 27, 2025",,,,,Jake Sanford,Victor Payano,L,L,Fastball,Swinging Strike,,,110,-0.2465862637,0.789349266,
Top 1,1,0,1,2,'1-2,Welland Jackfish,London Majors,"May 27, 2025",,,,,Jake Sanford,Victor Payano,L,L,Fastball,Foul,,,110,-0.4564573072,0.7289430806,
Top 1,1,0,1,2,'1-2,Welland Jackfish,London Majors,"May 27, 2025",,,,,Jake Sanford,Victor Payano,L,L,Offspeed,Foul,,,110,-0.4946156788,0.8120015855,
Top 1,1,0,1,2,'1-2,Welland Jackfish,London Majors,"May 27, 2025",,,,,Jake Sanford,Victor Payano,L,L,Fastball,Single,Ground Ball,Opposite Field,110,0.6882938393,0.1777366393,
Top 1,1,0,0,0,'0-0,Welland Jackfish,London Majors,"May 27, 2025",,,,,Robert Mullen,Victor Payano,R,L,Fastball,Ball,,,111,-1.410416596,0.5703768441,
Top 1,1,0,1,0,'1-0,Welland Jackfish,London Majors,"May 27, 2025",,,,,Robert Mullen,Victor Payano,R,L,Fastball,Ball,,,111,-1.219624738,0.4571152465,
