Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Brantford Red Sox,Welland Jackfish,"May 29, 2025",Welland Jackfish,Brantford Red Sox,,,Rene Tachioka,Ben Abram,L,R,Fastball,Flyout,Fly Ball,Opposite Field,000,0.09252669039,0.7090841643,
Top 1,1,1,0,0,'0-0,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Brody Black,Ben Abram,R,R,Fastball,Called Strike,,,000,-0.7455674886,0.5362348,
Top 1,1,1,0,1,'0-1,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Brody Black,Ben Abram,R,R,Offspeed,Ball,,,000,-1.45381609,0.2699533468,
Top 1,1,1,1,1,'1-1,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Brody Black,Ben Abram,R,R,Fastball,Groundout,Ground Ball,Opposite Field,000,-0.6865467717,0.2279089069,
Top 1,1,2,0,0,'0-0,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Tim Holyk,Ben Abram,R,R,Fastball,Flyout,Fly Ball,Pull,000,-0.922629639,0.2699533468,
Bottom 1,1,0,0,0,'0-0,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Jonah Weisner,Jeremias Sucre,L,R,Fastball,Called Strike,,,000,-0.8163923488,0.4988619645,
Bottom 1,1,0,0,1,'0-1,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Jonah Weisner,Jeremias Sucre,L,R,Offspeed,Flyout,Fly Ball,Straightaway,000,-0.6039177682,0.1298052136,
Bottom 1,1,1,0,0,'0-0,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Gianfranco Morello,Jeremias Sucre,L,R,Fastball,Ball,,,000,-0.403247331,1.185587817,
Bottom 1,1,1,1,0,'1-0,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Gianfranco Morello,Jeremias Sucre,L,R,Fastball,Called Strike,,,000,0.918816726,0.05973114696,
Bottom 1,1,1,1,1,'1-1,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Gianfranco Morello,Jeremias Sucre,L,R,Fastball,Foul,,,000,-0.07273131673,0.8632471109,
Bottom 1,1,1,1,2,'1-2,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Gianfranco Morello,Jeremias Sucre,L,R,Offspeed,Ball,,,000,-0.6393301983,-0.2485947462,
Bottom 1,1,1,2,2,'2-2,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Gianfranco Morello,Jeremias Sucre,L,R,Offspeed,Ball,,,000,-0.9934544992,-0.2579379551,
Bottom 1,1,1,3,2,'3-2,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Gianfranco Morello,Jeremias Sucre,L,R,Fastball,Walk,,,000,-1.359382944,0.1625064447,
Bottom 1,1,1,0,0,'0-0,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Jake Sanford,Jeremias Sucre,L,R,Fastball,Flyout,Fly Ball,Pull,100,0.9542291561,0.6390100977,
Bottom 1,1,2,0,0,'0-0,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Robert Mullen,Jeremias Sucre,R,R,Offspeed,Called Strike,,,100,-0.8518047789,0.6063088666,
Bottom 1,1,2,0,1,'0-1,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Robert Mullen,Jeremias Sucre,R,R,Fastball,Ball,,,100,-1.595465811,0.6670397244,
Bottom 1,1,2,1,1,'1-1,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Robert Mullen,Jeremias Sucre,,,,Caught Stealing,,,100,,,
Top 2,2,0,0,0,'0-0,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Christian Ortega,Ben Abram,R,R,Fastball,Called Strike,,,000,-0.9344337824,-0.05238735963,
Top 2,2,0,0,1,'0-1,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Christian Ortega,Ben Abram,R,R,Offspeed,Swinging Strike,,,000,-1.501032664,-0.3560416483,
Top 2,2,0,0,2,'0-2,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Christian Ortega,Ben Abram,R,R,Offspeed,Ball,,,000,-1.27675394,-0.2766243728,
Top 2,2,0,1,2,'1-2,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Christian Ortega,Ben Abram,R,R,Offspeed,Strikeout Swinging,,,000,-1.217733223,-0.2345799328,
Top 2,2,1,0,0,'0-0,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Cassidy Watt,Ben Abram,R,R,Offspeed,Swinging Strike,,,000,0.1279391205,0.5362348,
Top 2,2,1,0,1,'0-1,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Cassidy Watt,Ben Abram,R,R,Offspeed,Swinging Strike,,,000,-0.3206183274,0.737113791,
Top 2,2,1,0,2,'0-2,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Cassidy Watt,Ben Abram,R,R,Offspeed,Ball,,,000,-0.7219592018,-0.3700564617,
Top 2,2,1,1,2,'1-2,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Cassidy Watt,Ben Abram,R,R,Fastball,Foul,,,000,-0.7455674886,0.003671893666,
Top 2,2,1,1,2,'1-2,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Cassidy Watt,Ben Abram,R,R,Fastball,Groundout,Ground Ball,Pull,000,-0.4386597611,0.695069351,
Top 2,2,2,0,0,'0-0,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Nick Burdett,Ben Abram,L,R,Fastball,Groundout,Ground Ball,Opposite Field,000,0.7653628622,0.5642644266,
Bottom 2,2,0,0,0,'0-0,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Robert Mullen,Jeremias Sucre,R,R,Offspeed,Called Strike,,,000,-0.2261851805,0.8025162532,
Bottom 2,2,0,0,1,'0-1,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Robert Mullen,Jeremias Sucre,R,R,Fastball,Ball,,,000,0.1397432639,1.321064346,
Bottom 2,2,0,1,1,'1-1,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Robert Mullen,Jeremias Sucre,R,R,Offspeed,Swinging Strike,,,000,-1.38299123,-0.1177898218,
Bottom 2,2,0,1,2,'1-2,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Robert Mullen,Jeremias Sucre,R,R,Fastball,Single,Ground Ball,Pull,000,-0.3206183274,0.1625064447,
Bottom 2,2,0,0,0,'0-0,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Greyson Barrett,Jeremias Sucre,L,R,Offspeed,Foul,,,100,-0.8163923488,0.06440275141,
Bottom 2,2,0,0,1,'0-1,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Greyson Barrett,Jeremias Sucre,L,R,Fastball,Foul,,,100,1.119487163,0.4848471511,
Bottom 2,2,0,0,2,'0-2,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Greyson Barrett,Jeremias Sucre,L,R,Fastball,Ball,,,100,0.1987639807,1.213617444,
Bottom 2,2,0,1,2,'1-2,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Greyson Barrett,Jeremias Sucre,L,R,Offspeed,Ball,,,100,-1.27675394,-0.3326836261,
Bottom 2,2,0,2,2,'2-2,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Greyson Barrett,Jeremias Sucre,L,R,Fastball,Groundout,Ground Ball,Straightaway,100,0.2695888409,0.5642644266,
Bottom 2,2,1,0,0,'0-0,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Brandon Hupe,Jeremias Sucre,R,R,Offspeed,Ball,,,100,0.6709297153,0.9613508042,
Bottom 2,2,1,1,0,'1-0,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Brandon Hupe,Jeremias Sucre,R,R,Offspeed,Ball,,,100,0.1987639807,1.04076808,
Bottom 2,2,1,2,0,'2-0,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Brandon Hupe,Jeremias Sucre,R,R,Offspeed,Called Strike,,,100,-0.4740721912,0.8071878576,
Bottom 2,2,1,2,1,'2-1,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Brandon Hupe,Jeremias Sucre,R,R,Fastball,Foul,,,100,-0.5094846213,0.7931730443,
Bottom 2,2,1,2,2,'2-2,Welland Jackfish,Brantford Red Sox,"May 29, 2025",,,,,Brandon Hupe,Jeremias Sucre,R,R,Fastball,Double Play,Ground Ball,,100,-0.5685053381,0.5829508444,
Top 3,3,0,0,0,'0-0,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Matt Torresan,Ben Abram,R,R,Fastball,Groundout,Ground Ball,Straightaway,000,-0.403247331,0.5222199867,
Top 3,3,1,0,0,'0-0,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Lucas Bateman,Ben Abram,R,R,Fastball,Ball,,,000,-1.359382944,0.1858644669,
Top 3,3,1,1,0,'1-0,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Lucas Bateman,Ben Abram,R,R,Fastball,Called Strike,,,000,-0.6393301983,0.218565698,
Top 3,3,1,1,1,'1-1,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Lucas Bateman,Ben Abram,R,R,Fastball,Single,Line Drive,Opposite Field,000,-0.7219592018,0.1578348402,
Top 3,3,1,0,0,'0-0,Brantford Red Sox,Welland Jackfish,"May 29, 2025",,,,,Max Schmarder,Ben Abram,R,R,Fastball,Swinging Strike,,,100,-0.1907727504,0.8725903198,
