Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Chatham-Kent Barnstormers,Barrie Baycats,,Barrie Baycats,Chatham-Kent Barnstormers,,Spencer Marcus,Cesar Rosado,R,R,Fastball,Ball,,,000,-1.407498,1.00158375,
Top 1,1,0,1,0,'1-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Spencer Marcus,Cesar Rosado,R,R,Fastball,Ball,,,000,0.00490227,1.09672777,
Top 1,1,0,2,0,'2-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Spencer Marcus,Cesar Rosado,R,R,Offspeed,Called Strike,,,000,0.21525975,0.85886772,
Top 1,1,0,2,1,'2-1,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Spencer Marcus,Cesar Rosado,R,R,Fastball,Foul,,,000,-0.6712468,0.94211873,
Top 1,1,0,2,2,'2-2,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Spencer Marcus,Cesar Rosado,R,R,Offspeed,Groundout,Ground Ball,Straightaway,000,0.57587257,0.3117896,
Top 1,1,1,0,0,'0-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Evan Morrison,Cesar Rosado,L,R,Offspeed,Ball,,,000,-0.8515532,0.7756167,
Top 1,1,1,1,0,'1-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Evan Morrison,Cesar Rosado,L,R,Offspeed,Called Strike,,,000,0.78623006,0.14528757,
Top 1,1,1,1,1,'1-1,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Evan Morrison,Cesar Rosado,L,R,Fastball,Single,Line Drive,Opposite Field,000,0.51577044,0.14528757,
Top 1,1,1,0,0,'0-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,0.9,Timmy Wagner,Cesar Rosado,R,R,Fastball,Ball,,,100,1.28207269,0.37125461,
Top 1,1,1,1,0,'1-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Timmy Wagner,Cesar Rosado,R,R,Fastball,Ball,,,001,1.58258338,1.13240677,
Top 1,1,1,2,0,'2-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Timmy Wagner,Cesar Rosado,R,R,Offspeed,Called Strike,,,001,-0.7614,0.49018464,
Top 1,1,1,2,1,'2-1,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Timmy Wagner,Cesar Rosado,R,R,Offspeed,Foul,,,001,-0.8665787,0.11555506,
Top 1,1,1,2,2,'2-2,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Timmy Wagner,Cesar Rosado,R,R,Fastball,Hit By Pitch,,,001,1.67273659,0.7637237,
Top 1,1,1,0,0,'0-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Braxton Haggath,Cesar Rosado,L,R,Offspeed,Foul,,,101,-0.8966298,0.47234513,
Top 1,1,1,0,1,'0-1,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Braxton Haggath,Cesar Rosado,L,R,Fastball,Swinging Strike,,,101,-0.7313489,0.35341511,
Top 1,1,1,0,2,'0-2,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Braxton Haggath,Cesar Rosado,L,R,Fastball,Foul,,,101,-0.115302,1.01942325,
Top 1,1,1,0,2,'0-2,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Braxton Haggath,Cesar Rosado,L,R,Offspeed,Foul,,,101,-0.5059659,0.07392955,
Top 1,1,1,0,2,'0-2,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Braxton Haggath,Cesar Rosado,L,R,Fastball,Ball,,,101,1.26704716,1.06699526,
Top 1,1,1,1,2,'1-2,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Braxton Haggath,Cesar Rosado,L,R,Offspeed,Ball,,,101,-0.536017,-0.146091,
Top 1,1,1,2,2,'2-2,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Braxton Haggath,Cesar Rosado,L,R,Offspeed,Hit By Pitch,,,101,-1.3023192,0.7756167,
Top 1,1,1,0,0,'0-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Mitsuki Fukuda,Cesar Rosado,R,R,Fastball,Double Play,Ground Ball,Straightaway,111,0.78623006,0.64479367,
Bottom 1,1,0,0,0,'0-0,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Noel McGarry-Doyle,Brock Whitson,L,R,Fastball,Ball,,,000,0.4556683,-0.265021,
Bottom 1,1,0,1,0,'1-0,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Noel McGarry-Doyle,Brock Whitson,L,R,Fastball,Ball,,,000,1.4173025,0.62695417,
Bottom 1,1,0,2,0,'2-0,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Noel McGarry-Doyle,Brock Whitson,L,R,Fastball,Double,Ground Ball,Opposite Field,000,0.77120452,0.90643973,
Bottom 1,1,0,0,0,'0-0,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Brandon Hernandez,Brock Whitson,L,R,Fastball,Ball,,,010,-0.0251488,-0.3304325,
Bottom 1,1,0,1,0,'1-0,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Brandon Hernandez,Brock Whitson,L,R,Fastball,Foul,,,010,-0.6862723,0.12744806,
Bottom 1,1,0,1,1,'1-1,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Brandon Hernandez,Brock Whitson,L,R,Offspeed,Groundout,Ground Ball,Straightaway,010,-0.0101233,-0.06284,
Bottom 1,1,1,0,0,'0-0,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Malik Williams,Brock Whitson,R,R,Fastball,Ball,,,001,0.35048956,-0.050947,
Bottom 1,1,1,1,0,'1-0,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Malik Williams,Brock Whitson,R,R,Fastball,Groundout,Ground Ball,Pull,001,0.81628113,0.11555506,
Bottom 1,1,2,0,0,'0-0,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Nolan Machibroda,Brock Whitson,L,R,Fastball,Called Strike,,,000,0.90643433,0.02041104,
Bottom 1,1,2,0,1,'0-1,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Nolan Machibroda,Brock Whitson,L,R,Fastball,Ball,,,000,0.95151093,1.16808578,
Bottom 1,1,2,1,1,'1-1,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Nolan Machibroda,Brock Whitson,L,R,Offspeed,Lineout,Line Drive,Straightaway,000,0.57587257,0.51991714,
Top 2,2,0,0,0,'0-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Anthony Polowick,Cesar Rosado,L,R,Fastball,Ball,,,000,0.20023421,1.09078126,
Top 2,2,0,1,0,'1-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Anthony Polowick,Cesar Rosado,L,R,Fastball,Ball,,,000,1.13181735,1.18592528,
Top 2,2,0,2,0,'2-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Anthony Polowick,Cesar Rosado,L,R,Offspeed,Ball,,,000,-1.2872937,0.00851804,
Top 2,2,0,3,0,'3-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Anthony Polowick,Cesar Rosado,L,R,Fastball,Called Strike,,,000,0.59089811,0.98969074,
Top 2,2,0,3,1,'3-1,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Anthony Polowick,Cesar Rosado,L,R,Fastball,Called Strike,,,000,-0.5209914,0.33557561,
Top 2,2,0,3,2,'3-2,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Anthony Polowick,Cesar Rosado,L,R,Fastball,Groundout,Ground Ball,Straightaway,000,-0.2054552,0.15718057,
Top 2,2,1,0,0,'0-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Sadler Goodwin,Cesar Rosado,R,R,Fastball,Called Strike,,,000,-0.8515532,-0.050947,
Top 2,2,1,0,1,'0-1,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Sadler Goodwin,Cesar Rosado,R,R,Offspeed,Ball,,,000,-1.5727788,-0.324486,
Top 2,2,1,1,1,'1-1,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Sadler Goodwin,Cesar Rosado,R,R,Offspeed,Ball,,,000,1.44735357,0.36530811,
Top 2,2,1,2,1,'2-1,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Sadler Goodwin,Cesar Rosado,R,R,Fastball,Groundout,Ground Ball,Opposite Field,000,0.62094918,0.05014355,
Top 2,2,2,0,0,'0-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Spencer Morin,Cesar Rosado,L,R,Offspeed,Ball,,,000,0.83881943,1.11456727,
Top 2,2,2,1,0,'1-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Spencer Morin,Cesar Rosado,L,R,Offspeed,Ball,,,000,-1.2722682,-0.4909881,
Top 2,2,2,2,0,'2-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Spencer Morin,Cesar Rosado,L,R,Fastball,Ball,,,000,1.05668968,-0.074733,
Top 2,2,2,3,0,'3-0,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Spencer Morin,Cesar Rosado,L,R,Fastball,Called Strike,,,000,-1.1220128,0.43666613,
Top 2,2,2,3,1,'3-1,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Spencer Morin,Cesar Rosado,L,R,Offspeed,Swinging Strike,,,000,0.42561723,0.04419704,
Top 2,2,2,3,2,'3-2,Chatham-Kent Barnstormers,Barrie Baycats,,,,,Spencer Morin,Cesar Rosado,L,R,Fastball,Strikeout Swinging,,,000,-0.6261702,0.04419704,
Bottom 2,2,0,0,0,'0-0,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Willy Garcia,Brock Whitson,R,R,Fastball,Ball,,,000,1.28207269,0.75183069,
Bottom 2,2,0,1,0,'1-0,Barrie Baycats,Chatham-Kent Barnstormers,,,,,Willy Garcia,Brock Whitson,R,R,Fastball,Single,Line Drive,Pull,000,0.81628113,0.25232459,
Bottom 2,2,0,0,0,'0-0,Barrie Baycats,Chatham-Kent Barnstormers,,,,1.18,Tristan Clarke,Brock Whitson,R,R,Fastball,Double,Fly Ball,Opposite Field,100,0.17018315,0.17502007,
