Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",Kitchener Panthers,Toronto Maple Leafs,,Ryan Dos Santos,Andy Vargas,R,R,,Ball,,,000,,,
Top 1,1,0,1,0,'1-0,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Ryan Dos Santos,Andy Vargas,R,R,,Ball,,,000,,,
Top 1,1,0,2,0,'2-0,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Ryan Dos Santos,Andy Vargas,R,R,,Ball,,,000,,,
Top 1,1,0,3,0,'3-0,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Ryan Dos Santos,Andy Vargas,R,R,,Called Strike,,,000,,,
Top 1,1,0,3,1,'3-1,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Ryan Dos Santos,Andy Vargas,R,R,,Foul,,,000,,,
Top 1,1,0,3,2,'3-2,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Ryan Dos Santos,Andy Vargas,R,R,,Flyout,Fly Ball,Straightaway,000,,,
Top 1,1,1,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Jhon Javier,Andy Vargas,R,R,,Called Strike,,,000,,,
Top 1,1,1,0,1,'0-1,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Jhon Javier,Andy Vargas,R,R,,Called Strike,,,000,,,
Top 1,1,1,0,2,'0-2,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Jhon Javier,Andy Vargas,R,R,,Ball,,,000,,,
Top 1,1,1,1,2,'1-2,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Jhon Javier,Andy Vargas,R,R,,Groundout,Ground Ball,,000,,,
Top 1,1,2,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Rando Moreno,Andy Vargas,L,R,,Swinging Strike,,,000,,,
Top 1,1,2,0,1,'0-1,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Rando Moreno,Andy Vargas,L,R,,Groundout,Ground Ball,,000,,,
Bottom 1,1,0,0,0,'0-0,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yosuke Fujie,Josh Barenbaum,L,R,,Foul,,,000,,,
Bottom 1,1,0,0,1,'0-1,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yosuke Fujie,Josh Barenbaum,L,R,,Called Strike,,,000,,,
Bottom 1,1,0,0,2,'0-2,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yosuke Fujie,Josh Barenbaum,L,R,,Foul,,,000,,,
Bottom 1,1,0,0,2,'0-2,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yosuke Fujie,Josh Barenbaum,L,R,,Ball,,,000,,,
Bottom 1,1,0,1,2,'1-2,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yosuke Fujie,Josh Barenbaum,L,R,,Groundout,Ground Ball,,000,,,
Bottom 1,1,1,0,0,'0-0,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yordan Manduley,Josh Barenbaum,R,R,,Ball,,,000,,,
Bottom 1,1,1,1,0,'1-0,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yordan Manduley,Josh Barenbaum,R,R,,Error,,,000,,,
Bottom 1,1,1,0,0,'0-0,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yosvani Penalver,Josh Barenbaum,L,R,,Called Strike,,,100,,,
Bottom 1,1,1,0,1,'0-1,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yosvani Penalver,Josh Barenbaum,L,R,,Called Strike,,,100,,,
Bottom 1,1,1,0,2,'0-2,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yosvani Penalver,Josh Barenbaum,L,R,,Ball,,,100,,,
Bottom 1,1,1,1,2,'1-2,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yosvani Penalver,Josh Barenbaum,L,R,,Ball,,,100,,,
Bottom 1,1,1,2,2,'2-2,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yosvani Penalver,Josh Barenbaum,L,R,,Ball,,,100,,,
Bottom 1,1,1,3,2,'3-2,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yosvani Penalver,Josh Barenbaum,L,R,,Walk,,,100,,,
Bottom 1,1,1,0,0,'0-0,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yunior Ibarra,Josh Barenbaum,R,R,,Called Strike,,,110,,,
Bottom 1,1,1,0,1,'0-1,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yunior Ibarra,Josh Barenbaum,R,R,,Ball,,,110,,,
Bottom 1,1,1,1,1,'1-1,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yunior Ibarra,Josh Barenbaum,R,R,,Called Strike,,,101,,,
Bottom 1,1,1,1,2,'1-2,Kitchener Panthers,Toronto Maple Leafs,"May 29, 2025",,,,Yunior Ibarra,Josh Barenbaum,R,R,,Double Play,,,101,,,
Top 2,2,0,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Marcus Knecht,Andy Vargas,R,R,,Swinging Strike,,,000,,,
Top 2,2,0,0,1,'0-1,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Marcus Knecht,Andy Vargas,R,R,,Ball,,,000,,,
Top 2,2,0,1,1,'1-1,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Marcus Knecht,Andy Vargas,R,R,,Ball,,,000,,,
Top 2,2,0,2,1,'2-1,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Marcus Knecht,Andy Vargas,R,R,,Swinging Strike,,,000,,,
Top 2,2,0,2,2,'2-2,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Marcus Knecht,Andy Vargas,R,R,,Foul,,,000,,,
Top 2,2,0,2,2,'2-2,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Marcus Knecht,Andy Vargas,R,R,,Strikeout Swinging,,,000,,,
Top 2,2,1,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Justin Marra,Andy Vargas,L,R,Fastball,Called Strike,,,000,,,
Top 2,2,1,0,1,'0-1,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Justin Marra,Andy Vargas,L,R,Offspeed,Ball,,,000,,,
Top 2,2,1,1,1,'1-1,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Justin Marra,Andy Vargas,L,R,Fastball,Swinging Strike,,,000,,,
Top 2,2,1,1,2,'1-2,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Justin Marra,Andy Vargas,L,R,Fastball,Strikeout Swinging,,,000,,,
Top 2,2,2,0,0,'0-0,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Dan Marra,Andy Vargas,R,R,,Ball,,,000,,,
Top 2,2,2,1,0,'1-0,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Dan Marra,Andy Vargas,R,R,Fastball,Ball,,,000,,,
Top 2,2,2,2,0,'2-0,Toronto Maple Leafs,Kitchener Panthers,"May 29, 2025",,,,Dan Marra,Andy Vargas,R,R,Fastball,Called Strike,,,000,,,
