Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",Hamilton Cardinals,Barrie Baycats,,Noel McGarry Doyle,Owen Boon,L,R,Fastball,Called Strike,,,000,0.69131628,0.23672238,
Top 1,1,0,0,1,'0-1,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Noel McGarry Doyle,Owen Boon,L,R,Fastball,Called Strike,,,000,-0.6915784,0.21593907,
Top 1,1,0,0,2,'0-2,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Noel McGarry Doyle,Owen Boon,L,R,Fastball,Ball,,,000,1.32149612,1.19275493,
Top 1,1,0,1,2,'1-2,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Noel McGarry Doyle,Owen Boon,L,R,Offspeed,Popout,Pop Up,Straightaway,000,-0.3064685,0.59696653,
Top 1,1,1,0,0,'0-0,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Brandon Hernandez,Owen Boon,L,R,Fastball,Double,Line Drive,Opposite Field,000,0.37622637,0.41684446,
Top 1,1,1,0,0,'0-0,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Malik Williams,Owen Boon,R,R,Offspeed,Ball,,,010,-0.3414785,-0.2482217,
Top 1,1,1,1,0,'1-0,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Malik Williams,Owen Boon,R,R,Fastball,Called Strike,,,010,-0.8841333,0.01503368,
Top 1,1,1,1,1,'1-1,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Malik Williams,Owen Boon,R,R,Offspeed,Called Strike,,,010,-0.7265884,0.0843114,
Top 1,1,1,1,2,'1-2,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Malik Williams,Owen Boon,R,R,Offspeed,Ball,,,010,-1.1992232,-0.3244272,
Top 1,1,1,2,2,'2-2,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Malik Williams,Owen Boon,R,R,Offspeed,Ball,,,010,-1.3917782,-0.0819551,
Top 1,1,1,3,2,'3-2,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Malik Williams,Owen Boon,R,R,Fastball,Walk,,,010,-0.9891633,0.61082207,
Top 1,1,1,0,0,'0-0,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Nolan Machibroda,Owen Boon,L,R,Fastball,Called Strike,,,110,-0.7615983,0.15358912,
Top 1,1,1,0,1,'0-1,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Nolan Machibroda,Owen Boon,L,R,Offspeed,Ball,,,110,-0.7440933,-0.2205106,
Top 1,1,1,1,1,'1-1,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Nolan Machibroda,Owen Boon,L,R,Fastball,Swinging Strike,,,110,0.81385125,0.97106622,
Top 1,1,1,1,2,'1-2,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Nolan Machibroda,Owen Boon,L,R,Fastball,Foul,,,110,0.86636624,0.18130021,
Top 1,1,1,1,2,'1-2,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Nolan Machibroda,Owen Boon,L,R,Fastball,Strikeout Looking,,,110,-0.8841333,0.35449451,
Top 1,1,2,0,0,'0-0,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Willy Garcia,Owen Boon,R,R,Fastball,Ball,,,110,-0.8841333,-0.0750274,
Top 1,1,2,1,0,'1-0,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Willy Garcia,Owen Boon,R,R,Fastball,Called Strike,,,110,-0.0088835,0.02888922,
Top 1,1,2,1,1,'1-1,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Willy Garcia,Owen Boon,R,R,Fastball,Ball,,,110,0.21868141,1.1996827,
Top 1,1,2,2,1,'2-1,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Willy Garcia,Owen Boon,R,R,Offspeed,Swinging Strike,,,110,-0.6740734,0.58311099,
Top 1,1,2,2,2,'2-2,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Willy Garcia,Owen Boon,R,R,Fastball,Ball,,,110,-1.3042532,1.01263286,
Top 1,1,2,3,2,'3-2,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Willy Garcia,Owen Boon,R,R,Fastball,Strikeout Swinging,,,110,-0.9366483,0.28521679,
Bottom 1,1,0,0,0,'0-0,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Jaden Brown,Frank Garces,R,L,Offspeed,Called Strike,,,000,-0.8491233,0.35449451,
Bottom 1,1,0,0,1,'0-1,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Jaden Brown,Frank Garces,R,L,Offspeed,Ball,,,000,-1.2867482,0.07045585,
Bottom 1,1,0,1,1,'1-1,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Jaden Brown,Frank Garces,R,L,Fastball,Foul,,,000,-0.7265884,0.22979461,
Bottom 1,1,0,1,2,'1-2,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Jaden Brown,Frank Garces,R,L,Offspeed,Strikeout Swinging,,,000,-1.0941933,-0.0196052,
Bottom 1,1,1,0,0,'0-0,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Tyler Duncan,Frank Garces,L,L,Offspeed,Called Strike,,,000,1.16395116,0.65931648,
Bottom 1,1,1,0,1,'0-1,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Tyler Duncan,Frank Garces,L,L,Offspeed,Ball,,,000,1.63658604,-0.1373773,
Bottom 1,1,1,1,1,'1-1,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Tyler Duncan,Frank Garces,L,L,Fastball,Ball,,,000,1.46153609,0.16051689,
Bottom 1,1,1,2,1,'2-1,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Tyler Duncan,Frank Garces,L,L,Fastball,Lineout,Line Drive,Opposite Field,000,0.74383127,0.2575057,
Bottom 1,1,2,0,0,'0-0,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Brandon Nicoll,Frank Garces,R,L,Fastball,Swinging Strike,,,000,-0.8491233,0.10509471,
Bottom 1,1,2,0,1,'0-1,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Brandon Nicoll,Frank Garces,R,L,Fastball,Popout,Pop Up,Straightaway,000,-0.6740734,0.17437243,
Top 2,2,0,0,0,'0-0,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Noah Hull,Owen Boon,L,R,Fastball,Swinging Strike,,,000,0.21868141,-0.1927995,
Top 2,2,0,0,1,'0-1,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Noah Hull,Owen Boon,L,R,Fastball,Flyout,Fly Ball,Opposite Field,000,0.28870139,0.78401638,
Top 2,2,1,0,0,'0-0,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Tristan Clarke,Owen Boon,R,R,Offspeed,Swinging Strike,,,000,-0.6740734,0.45148332,
Top 2,2,1,0,1,'0-1,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Tristan Clarke,Owen Boon,R,R,Fastball,Foul,,,000,0.67381129,0.45841109,
Top 2,2,1,0,2,'0-2,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Tristan Clarke,Owen Boon,R,R,Fastball,Strikeout Swinging,,,000,-0.6565684,1.06805503,
Top 2,2,2,0,0,'0-0,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Lelis Beltran,Owen Boon,L,R,Offspeed,Swinging Strike,,,000,-0.4290034,0.34756674,
Top 2,2,2,0,1,'0-1,Barrie Baycats,Hamilton Cardinals,"May 30, 2025",,,,Lelis Beltran,Owen Boon,L,R,Fastball,Groundout,Ground Ball,Opposite Field,000,0.84886124,0.33371119,
Bottom 2,2,0,0,0,'0-0,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Johnathan Solazzo,Frank Garces,L,L,Fastball,Ball,,,000,0.21868141,-0.0611718,
Bottom 2,2,0,1,0,'1-0,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,Johnathan Solazzo,Frank Garces,L,L,Fastball,Popout,Pop Up,Opposite Field,000,-0.6915784,0.36142228,
Bottom 2,2,1,0,0,'0-0,Hamilton Cardinals,Barrie Baycats,"May 30, 2025",,,,July Vittini,Frank Garces,R,L,Offspeed,Foul,,,000,-0.7265884,0.18130021,
