Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Toronto Maple Leafs,London Majors,"May 30, 2025",London Majors,Toronto Maple Leafs,,Ryan Dos Santos,Travis Keys,L,L,Fastball,Called Strike,,,000,-0.8163923488,0.07841756473,
Top 1,1,0,0,1,'0-1,Toronto Maple Leafs,London Majors,"May 30, 2025",,,,Ryan Dos Santos,Travis Keys,L,L,Fastball,Error,Ground Ball,Straightaway,000,-0.8518047789,0.134476818,
Top 1,1,0,0,0,'0-0,Toronto Maple Leafs,London Majors,"May 30, 2025",,,1.66,Jhon Javier,Travis Keys,R,L,Fastball,Ball,,,100,-1.560053381,0.9333211775,
Top 1,1,0,1,0,'1-0,Toronto Maple Leafs,London Majors,"May 30, 2025",,,1.85,Jhon Javier,Travis Keys,R,L,Offspeed,Called Strike,,,100,-0.8990213523,0.4801755467,
Top 1,1,0,1,1,'1-1,Toronto Maple Leafs,London Majors,"May 30, 2025",,,1.71,Jhon Javier,Travis Keys,R,L,Offspeed,Foul,,,100,-0.4622680478,0.2138940935,
Top 1,1,0,1,2,'1-2,Toronto Maple Leafs,London Majors,"May 30, 2025",,,1.69,Jhon Javier,Travis Keys,R,L,Offspeed,Flyout,Fly Ball,Straightaway,100,-0.7101550585,0.01768670699,
Top 1,1,1,0,0,'0-0,Toronto Maple Leafs,London Majors,"May 30, 2025",,,1.72,Rando Moreno,Travis Keys,R,L,Fastball,Ball,,,100,-0.1553603203,1.017410057,
Top 1,1,1,1,0,'1-0,Toronto Maple Leafs,London Majors,"May 30, 2025",,,,Rando Moreno,Travis Keys,R,L,Offspeed,Called Strike,,,010,-0.6747426284,0.03637312476,
Top 1,1,1,1,1,'1-1,Toronto Maple Leafs,London Majors,"May 30, 2025",,,,Rando Moreno,Travis Keys,R,L,Fastball,Ball,,,010,1.202116167,-0.1037750085,
Top 1,1,1,2,1,'2-1,Toronto Maple Leafs,London Majors,"May 30, 2025",,,,Rando Moreno,Travis Keys,R,L,Fastball,Foul,,,010,-0.7101550585,0.3026545779,
Top 1,1,1,2,2,'2-2,Toronto Maple Leafs,London Majors,"May 30, 2025",,,,Rando Moreno,Travis Keys,R,L,Fastball,Groundout,Ground Ball,Straightaway,010,0.9070125826,-0.1504910529,
Top 1,1,2,0,0,'0-0,Toronto Maple Leafs,London Majors,"May 30, 2025",,,,Jordan Castaldo,Travis Keys,L,L,Offspeed,Called Strike,,,010,-0.03731888663,0.02235831143,
Top 1,1,2,0,1,'0-1,Toronto Maple Leafs,London Majors,"May 30, 2025",,,,Jordan Castaldo,Travis Keys,L,L,Fastball,Ball,,,010,0.8125794357,-0.08976019516,
