Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Hamilton Cardinals,Barrie Baycats,"May 31, 2025",Barrie Baycats,Hamilton Cardinals,,Brandon Nicoll,Juan Benitez,R,R,Fastball,Flyout,Fly Ball,Pull,000,-0.8518047789,0.4287878978,
Top 1,1,1,0,0,'0-0,Hamilton Cardinals,Barrie Baycats,"May 31, 2025",,,,Tyler Duncan,Juan Benitez,L,R,Offspeed,Flyout,Fly Ball,Opposite Field,000,0.7771670056,0.3026545779,
Top 1,1,2,0,0,'0-0,Hamilton Cardinals,Barrie Baycats,"May 31, 2025",,,,Johnathan Solazzo,Juan Benitez,L,R,Fastball,Called Strike,,,000,0.7653628622,0.4708323378,
Top 1,1,2,0,1,'0-1,Hamilton Cardinals,Barrie Baycats,"May 31, 2025",,,,Johnathan Solazzo,Juan Benitez,L,R,Offspeed,Single,Ground Ball,Pull,000,-0.9344337824,0.04571633364,
Top 1,1,2,0,0,'0-0,Hamilton Cardinals,Barrie Baycats,"May 31, 2025",,,1.46,Matt Hilderbrandt,Juan Benitez,L,R,Offspeed,Called Strike,,,100,-0.6039177682,0.03637312476,
Top 1,1,2,0,1,'0-1,Hamilton Cardinals,Barrie Baycats,"May 31, 2025",,,1.26,Matt Hilderbrandt,Juan Benitez,L,R,Fastball,Foul,,,100,-1.146908363,0.6670397244,
Top 1,1,2,0,2,'0-2,Hamilton Cardinals,Barrie Baycats,"May 31, 2025",,,1.39,Matt Hilderbrandt,Juan Benitez,L,R,Fastball,Ball,,,100,1.261136884,0.5549212178,
Top 1,1,2,1,2,'1-2,Hamilton Cardinals,Barrie Baycats,"May 31, 2025",,,1.59,Matt Hilderbrandt,Juan Benitez,L,R,Fastball,Groundout,Ground Ball,Straightaway,100,-0.8281964921,0.4661607334,
Bottom 1,1,0,0,0,'0-0,Barrie Baycats,Hamilton Cardinals,"May 31, 2025",,,,Noel McGarry-Doyle,Freisis Adames,L,R,Fastball,Ball,,,000,-1.288558083,1.087484124,
Bottom 1,1,0,1,0,'1-0,Barrie Baycats,Hamilton Cardinals,"May 31, 2025",,,,Noel McGarry-Doyle,Freisis Adames,L,R,Fastball,Swinging Strike,,,000,0.09252669039,0.4147730845,
Bottom 1,1,0,1,1,'1-1,Barrie Baycats,Hamilton Cardinals,"May 31, 2025",,,,Noel McGarry-Doyle,Freisis Adames,L,R,Fastball,Ball,,,000,-1.630878241,0.2606101379,
Bottom 1,1,0,2,1,'2-1,Barrie Baycats,Hamilton Cardinals,"May 31, 2025",,,,Noel McGarry-Doyle,Freisis Adames,L,R,Fastball,Ball,,,000,-1.31216637,0.8585755065,
Bottom 1,1,0,3,1,'3-1,Barrie Baycats,Hamilton Cardinals,"May 31, 2025",,,,Noel McGarry-Doyle,Freisis Adames,L,R,Fastball,Swinging Strike,,,000,-0.5094846213,0.6203236799,
Bottom 1,1,0,3,2,'3-2,Barrie Baycats,Hamilton Cardinals,"May 31, 2025",,,,Noel McGarry-Doyle,Freisis Adames,L,R,Fastball,Walk,,,000,-1.3475788,0.09243237805,
