Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Welland Jackfish,Chatham-Kent Barnstormers,"May 31, 2025",Chatham-Kent Barnstormers,Welland Jackfish,,Jonah Weisner,Mizuki Akatsuka,L,L,Fastball,Called Strike,,,000,1.261136884,0.3680570401,
Top 1,1,0,0,1,'0-1,Welland Jackfish,Chatham-Kent Barnstormers,"May 31, 2025",,,,Jonah Weisner,Mizuki Akatsuka,L,L,Offspeed,Groundout,Ground Ball,Pull,000,-0.7573716319,0.6063088666,
Top 1,1,1,0,0,'0-0,Welland Jackfish,Chatham-Kent Barnstormers,"May 31, 2025",,,,Gianfranco Morello,Mizuki Akatsuka,L,L,Fastball,Called Strike,,,000,-0.6747426284,0.134476818,
Top 1,1,1,0,1,'0-1,Welland Jackfish,Chatham-Kent Barnstormers,"May 31, 2025",,,,Gianfranco Morello,Mizuki Akatsuka,L,L,Offspeed,Ball,,,000,1.379178317,0.9706940131,
Top 1,1,1,1,1,'1-1,Welland Jackfish,Chatham-Kent Barnstormers,"May 31, 2025",,,,Gianfranco Morello,Mizuki Akatsuka,L,L,Offspeed,Ball,,,000,-0.2970100407,1.129528564,
Top 1,1,1,2,1,'2-1,Welland Jackfish,Chatham-Kent Barnstormers,"May 31, 2025",,,,Gianfranco Morello,Mizuki Akatsuka,L,L,Fastball,Ball,,,000,1.509023894,1.026753266,
Top 1,1,1,3,1,'3-1,Welland Jackfish,Chatham-Kent Barnstormers,"May 31, 2025",,,,Gianfranco Morello,Mizuki Akatsuka,L,L,Fastball,Single,Line Drive,Straightaway,000,1.367374174,1.026753266,
Top 1,1,1,0,0,'0-0,Welland Jackfish,Chatham-Kent Barnstormers,"May 31, 2025",,,1.48,Jake Sanford,Mizuki Akatsuka,L,L,Offspeed,Ball,,,100,0.6001048551,-0.1878638884,
Top 1,1,1,1,0,'1-0,Welland Jackfish,Chatham-Kent Barnstormers,"May 31, 2025",,,1.55,Jake Sanford,Mizuki Akatsuka,L,L,Fastball,Ball,,,100,-0.6039177682,1.199602631,
Top 1,1,1,2,0,'2-0,Welland Jackfish,Chatham-Kent Barnstormers,"May 31, 2025",,,1.35,Jake Sanford,Mizuki Akatsuka,L,L,Fastball,Groundout,Ground Ball,Straightaway,100,-0.7573716319,0.5409064044,
