Half Inning,Inning,Outs,Balls,Strikes,Count,Batter_Team,Pitcher_Team,Date,Home Team,Away Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 1,1,0,0,0,'0-0,Brantford Red Sox,Kitchener Panthers,"May 31, 2025",Kitchener Panthers,Brantford Red Sox,,Rene Tachioka,Evan Elliott,R,R,Fastball,Called Strike,,,000,-0.5448970513,0.5128767778,
Top 1,1,0,0,1,'0-1,Brantford Red Sox,Kitchener Panthers,"May 31, 2025",,,,Rene Tachioka,Evan Elliott,R,R,Fastball,Foul,,,000,-1.38299123,0.1578348402,
Top 1,1,0,0,2,'0-2,Brantford Red Sox,Kitchener Panthers,"May 31, 2025",,,,Rene Tachioka,Evan Elliott,R,R,Fastball,Ball,,,000,1.343765887,0.4708323378,
Top 1,1,0,1,2,'1-2,Brantford Red Sox,Kitchener Panthers,"May 31, 2025",,,,Rene Tachioka,Evan Elliott,R,R,,Strikeout Swinging,,,000,,,
Top 1,1,1,0,0,'0-0,Brantford Red Sox,Kitchener Panthers,"May 31, 2025",,,,Christian Ortega,Evan Elliott,L,R,,Ball,,,000,,,
Top 1,1,1,1,0,'1-0,Brantford Red Sox,Kitchener Panthers,"May 31, 2025",,,,Christian Ortega,Evan Elliott,L,R,Fastball,Ball,,,000,1.379178317,-0.03370094187,
Top 1,1,1,2,0,'2-0,Brantford Red Sox,Kitchener Panthers,"May 31, 2025",,,,Christian Ortega,Evan Elliott,L,R,Offspeed,Ball,,,000,-1.323970513,-0.1224614263,
Top 1,1,1,3,0,'3-0,Brantford Red Sox,Kitchener Panthers,"May 31, 2025",,,,Christian Ortega,Evan Elliott,L,R,,Called Strike,,,000,,,
Top 1,1,1,3,1,'3-1,Brantford Red Sox,Kitchener Panthers,"May 31, 2025",,,,Christian Ortega,Evan Elliott,L,R,Fastball,Called Strike,,,000,0.9542291561,0.8212026709,
Top 1,1,1,3,2,'3-2,Brantford Red Sox,Kitchener Panthers,"May 31, 2025",,,,Christian Ortega,Evan Elliott,L,R,Offspeed,Strikeout Swinging,,,000,-0.6865467717,0.1625064447,
Top 1,1,2,0,0,'0-0,Brantford Red Sox,Kitchener Panthers,"May 31, 2025",,,,Tim Holyk,Evan Elliott,R,R,Offspeed,Ball,,,000,1.367374174,0.5922940533,
